Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.0080,0.2405,0.0450

1.7080,0.2405,0.0450

2.7070,0.2173,0.0193

3.7070,0.2961,0.1067

4.7070,0.2405,0.0450

5.7070,0.2498,0.0553

6.7070,0.2359,0.0399

7.7080,0.2312,0.0347

8.7070,0.2498,0.0553

9.7070,0.2822,0.0913

10.7070,0.2544,0.0604

11.7080,0.1479,-0.0579

12.7070,0.2359,0.0399

13.7070,0.2405,0.0450

14.7070,0.2498,0.0553

15.7080,0.2451,0.0501

16.7070,0.2451,0.0501

17.7080,0.2451,0.0501

18.7070,0.2451,0.0501

19.7070,0.2405,0.0450

20.7070,0.2359,0.0399

21.7070,0.2405,0.0450

