Elapsed Time (s), Rod voltage (V)
1.6380,NaN

2.1350,0.0014

3.1350,0.0014

4.1350,0.0014

5.1350,0.0014

6.1350,0.0014

7.1360,0.0014

8.1360,0.0014

9.1360,0.0014

10.1350,0.0014

11.1360,0.0014

12.1350,0.0014

13.1350,0.0014

14.1360,0.0014

15.1360,0.0014

16.1350,0.0014

17.1350,0.0014

18.1360,0.0014

19.1350,0.0014

20.1350,0.0014

21.1350,0.0014

22.1350,0.0014

23.1360,0.0014

24.1480,0.0014

25.1350,0.0014

26.1360,0.0014

27.1350,0.0014

28.1350,0.0014

29.1350,0.0014

30.1350,0.0014

31.1350,0.0014

32.1360,0.0015

33.1350,0.0014

34.1360,0.0014

35.1360,0.0014

36.1350,0.0014

37.1350,0.0014

38.1350,0.0014

39.1350,0.0014

40.1350,0.0014

41.1350,0.0014

42.1350,0.0014

43.1350,0.0014

44.1360,0.0014

45.1350,0.0014

46.1350,0.0014

47.1350,0.0014

48.1360,0.0014

49.1350,0.0014

