Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.6380,2385.0030,23.8283,23.5176,23.5772,2384.6757,2385.0030,2385.0030,2385.0030,968.1203,2385.0030,1499.4513

2.1350,2385.0039,23.8224,23.5187,23.5580,2384.6771,2385.0039,2385.0039,2385.0039,968.1160,2385.0039,1499.4490

3.1350,2385.0065,23.8383,23.5456,23.5517,2384.6787,2385.0065,2385.0065,2385.0065,968.1242,2385.0065,1499.4550

4.1350,2385.0084,23.8318,23.5258,23.5731,2384.6807,2385.0084,2385.0084,2385.0084,968.1240,2385.0084,1499.4556

5.1350,2385.0111,23.8080,23.4992,23.5735,2384.6824,2385.0111,2385.0111,2385.0111,968.1148,2385.0111,1499.4509

6.1350,2385.0131,23.8010,23.5168,23.5906,2384.6845,2385.0131,2385.0131,2385.0131,968.1212,2385.0131,1499.4557

7.1360,2385.0157,23.8220,23.5297,23.5860,2384.6866,2385.0157,2385.0157,2385.0157,968.1280,2385.0157,1499.4609

8.1360,2385.0185,23.8075,23.5427,23.5815,2384.6880,2385.0185,2385.0185,2385.0185,968.1276,2385.0185,1499.4617

9.1360,2385.0203,23.8259,23.5180,23.5582,2384.6897,2385.0203,2385.0203,2385.0203,968.1224,2385.0203,1499.4591

10.1350,2385.0227,23.8126,23.5180,23.5771,2384.6915,2385.0227,2385.0227,2385.0227,968.1244,2385.0227,1499.4613

11.1360,2385.0251,23.8122,23.5270,23.5786,2384.6935,2385.0251,2385.0251,2385.0251,968.1273,2385.0251,1499.4639

12.1350,2385.0264,23.8064,23.5245,23.5557,2384.6951,2385.0264,2385.0264,2385.0264,968.1216,2385.0264,1499.4609

13.1350,2385.0286,23.8195,23.5206,23.5622,2384.6967,2385.0286,2385.0286,2385.0286,968.1255,2385.0286,1499.4641

14.1360,2385.0306,23.8052,23.5252,23.5574,2384.6985,2385.0306,2385.0306,2385.0306,968.1234,2385.0306,1499.4636

15.1360,2385.0331,23.8159,23.5278,23.5633,2384.6999,2385.0331,2385.0331,2385.0331,968.1280,2385.0331,1499.4674

16.1350,2385.0342,23.8206,23.5298,23.5766,2384.7009,2385.0342,2385.0342,2385.0342,968.1324,2385.0342,1499.4706

17.1350,2385.0368,23.8172,23.5197,23.5684,2384.7025,2385.0368,2385.0368,2385.0368,968.1289,2385.0368,1499.4694

18.1360,2385.0374,23.8044,23.5254,23.5670,2384.7035,2385.0374,2385.0374,2385.0374,968.1275,2385.0374,1499.4687

19.1350,2385.0395,23.8210,23.5292,23.5784,2384.7054,2385.0395,2385.0395,2385.0395,968.1347,2385.0395,1499.4740

20.1350,2385.0405,23.8156,23.5167,23.5848,2384.7060,2385.0405,2385.0405,2385.0405,968.1327,2385.0405,1499.4732

21.1350,2385.0426,23.8146,23.5124,23.5697,2384.7069,2385.0426,2385.0426,2385.0426,968.1293,2385.0426,1499.4718

22.1350,2385.0436,23.7929,23.5214,23.5948,2384.7079,2385.0436,2385.0436,2385.0436,968.1321,2385.0436,1499.4739

23.1360,2385.0447,23.8140,23.5278,23.5690,2384.7093,2385.0447,2385.0447,2385.0447,968.1330,2385.0447,1499.4749

24.1480,2385.0462,23.8186,23.5202,23.5704,2384.7102,2385.0462,2385.0462,2385.0462,968.1331,2385.0462,1499.4755

25.1350,2385.0472,23.8173,23.5326,23.5681,2384.7104,2385.0472,2385.0472,2385.0472,968.1351,2385.0472,1499.4771

26.1360,2385.0488,23.7987,23.5371,23.5712,2384.7109,2385.0488,2385.0488,2385.0488,968.1334,2385.0488,1499.4766

27.1350,2385.0503,23.8086,23.5192,23.5906,2384.7119,2385.0503,2385.0503,2385.0503,968.1361,2385.0503,1499.4790

28.1350,2385.0503,23.8157,23.5262,23.5929,2384.7128,2385.0503,2385.0503,2385.0503,968.1396,2385.0503,1499.4811

29.1350,2385.0512,23.8180,23.5428,23.5749,2384.7127,2385.0512,2385.0512,2385.0512,968.1399,2385.0512,1499.4816

30.1350,2385.0524,23.8167,23.5291,23.5485,2384.7138,2385.0524,2385.0524,2385.0524,968.1321,2385.0524,1499.4772

31.1350,2385.0528,23.8135,23.5013,23.5675,2384.7140,2385.0528,2385.0528,2385.0528,968.1298,2385.0528,1499.4759

32.1360,2385.0541,23.8162,23.5206,23.5670,2384.7138,2385.0541,2385.0541,2385.0541,968.1344,2385.0541,1499.4793

33.1350,2385.0550,23.8120,23.5240,23.5661,2384.7148,2385.0550,2385.0550,2385.0550,968.1344,2385.0550,1499.4796

34.1360,2385.0555,23.8029,23.5158,23.5749,2384.7156,2385.0555,2385.0555,2385.0555,968.1330,2385.0555,1499.4789

35.1360,2385.0564,23.8173,23.5217,23.5790,2384.7161,2385.0564,2385.0564,2385.0564,968.1381,2385.0564,1499.4825

36.1350,2385.0572,23.8044,23.5240,23.5476,2384.7158,2385.0572,2385.0572,2385.0572,968.1298,2385.0572,1499.4776

37.1350,2385.0578,23.8073,23.5032,23.5529,2384.7159,2385.0578,2385.0578,2385.0578,968.1274,2385.0578,1499.4763

38.1350,2385.0580,23.7924,23.5252,23.5673,2384.7163,2385.0580,2385.0580,2385.0580,968.1318,2385.0580,1499.4791

39.1350,2385.0590,23.8056,23.5020,23.5672,2384.7172,2385.0590,2385.0590,2385.0590,968.1302,2385.0590,1499.4785

40.1350,2385.0598,23.8077,23.5249,23.5665,2384.7167,2385.0598,2385.0598,2385.0598,968.1351,2385.0598,1499.4819

41.1350,2385.0602,23.8191,23.4946,23.5537,2384.7176,2385.0602,2385.0602,2385.0602,968.1290,2385.0602,1499.4782

42.1350,2385.0614,23.7969,23.5173,23.5609,2384.7177,2385.0614,2385.0614,2385.0614,968.1308,2385.0614,1499.4798

43.1350,2385.0615,23.8074,23.5174,23.5780,2384.7179,2385.0615,2385.0615,2385.0615,968.1364,2385.0615,1499.4833

44.1360,2385.0622,23.8081,23.5134,23.5503,2384.7174,2385.0622,2385.0622,2385.0622,968.1303,2385.0622,1499.4797

45.1350,2385.0633,23.8164,23.5108,23.5766,2384.7179,2385.0633,2385.0633,2385.0633,968.1370,2385.0633,1499.4844

46.1350,2385.0635,23.7962,23.4945,23.5588,2384.7183,2385.0635,2385.0635,2385.0635,968.1263,2385.0635,1499.4777

47.1350,2385.0636,23.7961,23.5194,23.5856,2384.7189,2385.0636,2385.0636,2385.0636,968.1367,2385.0636,1499.4843

48.1360,2385.0648,23.8055,23.5004,23.5752,2384.7188,2385.0648,2385.0648,2385.0648,968.1330,2385.0648,1499.4824

49.1350,2385.0653,23.7926,23.5083,23.5641,2384.7195,2385.0653,2385.0653,2385.0653,968.1300,2385.0653,1499.4807

