Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.1850,0.2405,0.0450

1.9110,0.2359,0.0399

2.9100,0.2544,0.0604

3.9100,0.2405,0.0450

4.9100,0.2498,0.0553

5.9100,0.2359,0.0399

6.9100,0.2359,0.0399

7.9100,0.2173,0.0193

8.9100,0.2451,0.0501

9.9100,0.2266,0.0296

10.9110,0.2266,0.0296

11.9100,0.2451,0.0501

12.9110,0.2544,0.0604

13.9100,0.2451,0.0501

14.9100,0.2266,0.0296

15.9110,0.2405,0.0450

16.9110,0.2359,0.0399

17.9100,0.2451,0.0501

18.9100,0.2359,0.0399

19.9110,0.2637,0.0707

20.9100,0.2451,0.0501

21.9100,0.2405,0.0450

22.9100,0.2405,0.0450

23.9100,0.2405,0.0450

24.9110,0.2405,0.0450

25.9100,0.2405,0.0450

26.9100,0.2359,0.0399

27.9110,0.2359,0.0399

28.9100,0.2359,0.0399

29.9100,0.2451,0.0501

30.9110,0.2405,0.0450

31.9100,0.2405,0.0450

32.9110,0.2359,0.0399

33.9100,0.2405,0.0450

34.9100,0.2405,0.0450

35.9110,0.2451,0.0501

36.9100,0.2405,0.0450

37.9100,0.2729,0.0810

38.9100,0.2405,0.0450

39.9100,0.2405,0.0450

40.9100,0.2544,0.0604

41.9100,0.2405,0.0450

42.9100,0.2683,0.0759

43.9110,0.2312,0.0347

44.9100,0.2220,0.0244

45.9100,0.2312,0.0347

46.9110,0.3285,0.1428

47.9100,0.2683,0.0759

48.9110,0.2359,0.0399

49.9100,0.2451,0.0501

50.9100,0.2266,0.0296

51.9100,0.2405,0.0450

52.9100,0.2451,0.0501

53.9100,0.2498,0.0553

54.9100,0.2405,0.0450

55.9100,0.2359,0.0399

56.9100,0.2544,0.0604

57.9110,0.2220,0.0244

58.9100,0.2220,0.0244

59.9100,0.2498,0.0553

