Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9160,-0.0785,0.2917,1.0947,1.8981,1.5886,9.8617,0.3529,0.8579,9.8617,2.1442

2.4190,-0.1402,-0.0170,0.1068,1.4660,1.5886,9.6147,0.2912,0.5492,9.6147,1.8443

3.4190,-0.0785,0.2917,-0.1401,1.9599,1.6503,5.9106,0.2294,0.6521,5.9106,1.4033

4.4190,-0.2019,-0.0788,0.2303,1.2191,1.9590,4.0585,0.8468,0.6624,4.0585,1.1476

5.4190,0.0450,-0.0788,0.3538,1.5895,1.8355,3.2560,1.1555,0.8168,3.2560,1.1652

6.4190,0.1067,-0.0788,-0.2019,1.5895,1.4033,2.5769,-1.0671,0.2920,2.5769,0.6184

7.4190,-0.0785,-0.0788,-0.1401,1.6512,1.5268,2.2064,0.2912,0.5286,2.2064,0.7683

8.4200,-0.8809,-0.1405,0.2303,1.6512,1.8355,1.9595,1.3408,0.6727,1.9595,0.8566

9.4190,0.1067,0.1065,-0.0167,1.8981,1.7121,2.0212,0.5999,0.7344,2.0212,0.9183

10.4190,0.2302,0.3534,-0.2019,1.8364,1.8355,1.7126,0.4147,0.7447,1.7126,0.8830

11.4200,0.1067,-0.0788,0.2920,1.6512,2.0208,1.7126,0.7851,0.7962,1.7126,0.9271

12.4190,-0.0785,-0.2640,0.2920,1.6512,1.9590,1.5274,0.7234,0.7139,1.5274,0.8301

13.4190,-0.0168,0.0447,-0.2019,1.8364,1.5886,1.8360,0.2912,0.5904,1.8360,0.7683

14.4200,-0.0785,0.6003,0.3538,1.5895,1.7738,1.7743,0.3529,0.7653,1.7743,0.9094

15.4190,-0.1402,-0.1405,-0.0784,1.5895,1.7738,1.3421,0.4764,0.5801,1.3421,0.6890

16.4190,-0.1402,0.9708,0.1686,1.7129,1.6503,1.4039,0.3529,0.7859,1.4039,0.8742

17.4190,0.1067,-0.0788,0.1068,1.5277,1.7738,1.1569,0.4147,0.6418,1.1569,0.7154

18.4190,-0.0168,0.0447,-0.2019,1.7129,1.2181,0.8483,0.1677,0.4875,0.8483,0.5390

19.4190,-0.0168,0.1682,-0.0167,1.9599,1.8355,1.2804,0.4147,0.7241,1.2804,0.8036

20.4190,0.2919,0.1682,0.4155,1.8981,1.9590,1.2187,0.7851,0.9196,1.2187,0.9624

21.4190,-0.0785,-0.0788,-0.2636,1.6512,1.7121,1.1569,0.1677,0.5183,1.1569,0.6096

22.4200,0.2919,0.4151,0.0451,1.7747,1.8973,1.3421,0.5381,0.8270,1.3421,0.9006

23.4190,-0.3871,-0.0170,-0.5723,1.2808,1.4651,0.6013,0.0442,0.3023,0.6013,0.3450

24.4190,1.0326,-0.2022,-0.1401,1.5277,1.7738,1.0335,0.4764,0.7447,1.0335,0.7859

25.4190,0.0450,0.3534,-0.0784,2.0834,1.8355,1.4656,0.2912,0.7550,1.4656,0.8565

26.4190,-0.0785,-0.0788,0.6625,1.6512,1.6503,1.7126,1.0938,0.8168,1.7126,0.9447

27.4190,-0.0785,0.1065,-0.7576,1.7129,1.9590,1.3421,-0.0793,0.4772,1.3421,0.6008

28.4190,0.1067,-0.2640,-0.2636,2.2686,1.7738,1.2187,0.7234,0.7241,1.2187,0.7948

29.4190,-0.5106,0.4769,-0.2636,1.6512,2.2060,1.4039,0.1677,0.6213,1.4039,0.7331

30.4190,-0.1402,-0.0788,-0.3871,1.8364,1.5886,1.1569,0.4147,0.5389,1.1569,0.6272

31.4200,0.1684,0.0447,0.6625,1.8981,1.5886,1.1569,0.7851,0.8579,1.1569,0.9006

32.4190,-0.0168,-0.1405,0.1686,1.7129,1.9590,1.2804,0.6616,0.7241,1.2804,0.8036

33.4190,-0.0168,-0.0788,-0.3254,1.8981,1.7121,1.4039,0.5381,0.6212,1.4039,0.7330

34.4190,0.1067,-0.5726,0.0451,1.5895,1.9590,1.4039,-0.1410,0.4978,1.4039,0.6272

35.4190,0.0450,-0.0788,-0.3254,1.7129,1.4651,1.2804,0.3529,0.5286,1.2804,0.6360

36.4190,0.9709,0.2917,-0.4489,1.7129,2.0825,1.3421,0.3529,0.8270,1.3421,0.9006

37.4200,0.2302,-0.3874,-0.2636,1.8981,1.6503,1.5274,0.5381,0.6109,1.5274,0.7419

38.4190,-0.0785,-0.0788,-0.2019,1.5277,1.5886,0.5396,0.0442,0.4669,0.5396,0.4773

39.4190,-0.0168,-0.1405,-0.0167,1.8364,1.5268,1.6508,0.5381,0.6212,1.6508,0.7683

40.4190,0.3536,-0.0788,-0.2636,2.2068,1.8355,1.2804,0.7234,0.7962,1.2804,0.8653

41.4190,0.2919,-0.0788,-0.6341,1.8981,1.5268,1.4039,0.5381,0.5904,1.4039,0.7066

42.4190,-0.1402,0.4769,0.2303,1.5895,2.1443,1.5891,0.4147,0.7859,1.5891,0.9006

43.4190,0.1684,-0.3874,-0.3254,1.8364,1.5268,1.4656,0.4147,0.5389,1.4656,0.6713

44.4190,-0.2019,0.1065,-0.0784,1.6512,1.9590,1.2187,0.4147,0.6418,1.2187,0.7242

45.4190,0.2302,0.1065,-0.3871,1.8364,2.0825,1.5891,0.2912,0.6933,1.5891,0.8212

46.4190,-0.0785,-0.2022,-0.0167,1.7747,1.5268,1.6508,0.5381,0.5904,1.6508,0.7419

47.4190,0.1067,-0.5109,-0.2636,1.8364,1.6503,1.1569,0.4147,0.5389,1.1569,0.6272

48.4190,-0.0785,0.3534,-0.2636,1.4660,1.8355,1.0952,0.7851,0.6830,1.0952,0.7419

49.4190,-0.1402,0.1065,-0.0167,1.4043,1.8355,0.0457,0.1677,0.5595,0.0457,0.4861

50.4200,0.4153,0.1065,-0.6341,1.8981,1.6503,0.1692,0.4764,0.6521,0.1692,0.5831

51.4190,-0.1402,-0.3257,0.9094,2.0216,1.7121,-0.4482,0.6616,0.8065,-0.4482,0.6272

52.4190,0.1067,0.2299,-0.1401,1.8364,1.6503,0.2309,0.5381,0.7036,0.2309,0.6360

53.4190,-0.0168,-0.2640,-0.1401,1.8981,1.1564,0.1074,0.7851,0.5698,0.1074,0.5037

54.4190,-0.0785,0.6003,0.1068,1.6512,2.0208,-0.2013,0.4764,0.7962,-0.2013,0.6537

55.4190,-0.1402,0.4769,-0.0784,1.5895,1.8973,-0.0160,0.4764,0.7036,-0.0160,0.6008

56.4190,0.1684,0.2299,-0.3254,2.0216,1.7121,0.2926,0.2912,0.6830,0.2926,0.6272

