Elapsed Time (s), Rod voltage (V)
1.9560,NaN

2.3110,0.0016

3.2270,0.0015

4.2270,0.0015

5.2270,0.0015

6.2270,0.0015

7.2270,0.0016

8.2270,0.0016

9.2270,0.0016

10.2270,0.0016

11.2270,0.0016

12.2270,0.0016

13.2270,0.0016

14.2270,0.0016

15.2270,0.0016

16.2280,0.0016

17.2270,0.0016

18.2270,0.0016

19.2270,0.0016

20.2270,0.0016

21.2270,0.0016

22.2270,0.0016

23.2270,0.0016

24.2280,0.0016

25.2270,0.0016

26.2270,0.0016

27.2270,0.0016

28.2270,0.0016

29.2270,0.0016

30.2280,0.0016

31.2270,0.0016

32.2270,0.0016

33.2270,0.0016

34.2270,0.0016

35.2270,0.0015

36.2270,0.0016

37.2270,0.0016

38.2280,0.0016

39.2270,0.0016

40.2270,0.0016

41.2270,0.0016

42.2270,0.0016

43.2270,0.0016

44.2280,0.0016

45.2270,0.0016

46.2270,0.0016

47.2270,0.0016

48.2270,0.0016

49.2270,0.0015

50.2270,0.0015

51.2270,0.0016

52.2270,0.0016

53.2270,0.0016

54.2270,0.0016

55.2270,0.0016

56.2270,0.0016

57.2270,0.0016

58.2270,0.0016

59.2270,0.0016

60.2270,0.0016

61.2270,0.0016

62.2270,0.0016

63.2270,0.0016

64.2270,0.0016

65.2270,0.0016

66.2270,0.0016

67.2270,0.0016

68.2270,0.0016

69.2270,0.0016

70.2270,0.0016

71.2270,0.0016

72.2270,0.0016

73.2270,0.0016

74.2280,0.0016

75.2270,0.0016

76.2280,0.0016

77.2270,0.0015

78.2270,0.0016

79.2270,0.0015

80.2280,0.0015

81.2270,0.0016

82.2270,0.0015

83.2280,0.0016

84.2270,0.0016

85.2270,0.0016

86.2270,0.0016

87.2270,0.0016

88.2280,0.0016

89.2280,0.0016

90.2270,0.0016

91.2270,0.0016

92.2280,0.0016

93.2270,0.0016

94.2270,0.0016

95.2270,0.0016

96.2270,0.0016

97.2270,0.0016

98.2270,0.0016

99.2270,0.0016

100.2270,0.0016

101.2270,0.0016

102.2270,0.0016

103.2270,0.0016

104.2270,0.0016

105.2270,0.0016

106.2270,0.0016

107.2270,0.0016

108.2270,0.0016

109.2270,0.0016

110.2270,0.0016

111.2280,0.0016

112.2280,0.0016

113.2270,0.0016

114.2280,0.0016

115.2270,0.0016

116.2270,0.0016

117.2270,0.0016

118.2270,0.0015

119.2270,0.0016

120.2270,0.0016

121.2280,0.0016

122.2270,0.0016

123.2270,0.0016

124.2270,0.0016

125.2270,0.0016

126.2270,0.0016

127.2270,0.0016

128.2270,0.0016

129.2270,0.0016

130.2270,0.0016

131.2280,0.0016

132.2270,0.0016

133.2270,0.0016

134.2270,0.0016

135.2270,0.0016

136.2270,0.0016

137.2270,0.0016

138.2270,0.0016

139.2270,0.0016

140.2270,0.0016

141.2280,0.0016

142.2270,0.0016

143.2270,0.0016

144.2270,0.0016

145.2270,0.0016

146.2270,0.0016

147.2270,0.0016

148.2270,0.0016

149.2270,0.0016

150.2270,0.0016

151.2280,0.0016

152.2270,0.0016

153.2270,0.0016

154.2280,0.0016

155.2270,0.0016

156.2270,0.0016

157.2270,0.0016

158.2270,0.0016

159.2270,0.0016

160.2270,0.0016

161.2270,0.0016

162.2270,0.0016

163.2280,0.0016

164.2280,0.0016

165.2280,0.0016

166.2270,0.0016

167.2270,0.0016

168.2270,0.0016

169.2270,0.0016

170.2270,0.0016

171.2270,0.0016

172.2270,0.0016

173.2270,0.0015

174.2280,0.0016

175.2270,0.0015

176.2270,0.0015

177.2280,0.0015

178.2270,0.0016

179.2270,0.0016

180.2270,0.0016

181.2270,0.0016

182.2270,0.0016

183.2270,0.0016

184.2270,0.0016

185.2270,0.0016

186.2270,0.0016

187.2270,0.0016

188.2270,0.0016

189.2270,0.0016

190.2270,0.0016

191.2270,0.0016

192.2270,0.0016

193.2270,0.0016

194.2270,0.0016

