Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8510,-0.1402,0.2917,-0.1401,1.7129,1.8355,10.9729,0.5381,0.6830,10.9729,2.1530

2.7890,-0.1402,0.4151,0.7242,2.0216,1.6503,10.9112,0.4764,0.8579,10.9112,2.2941

3.7890,-0.0168,-0.3257,0.0451,1.5277,1.7121,11.0347,0.5381,0.5801,11.0347,2.0736

4.7890,0.1067,0.0447,-0.4489,1.5277,2.0208,10.9112,0.2912,0.5904,10.9112,2.0648

5.7900,0.3536,0.1682,-0.1401,1.8981,1.7738,8.9974,0.5381,0.7653,8.9974,1.9413

6.7900,-0.1402,-0.0788,-0.3871,1.8364,1.7738,8.2565,0.4764,0.5801,8.2565,1.6767

7.7890,0.1067,-0.6344,-0.4489,2.0834,1.7121,8.2565,0.5381,0.5595,8.2565,1.6591

8.7890,0.0450,-0.1405,0.2920,1.7747,2.3295,8.0713,0.2912,0.7653,8.0713,1.8090

9.7890,0.1067,-0.1405,-0.0784,1.7129,0.9094,7.8244,0.2912,0.4669,7.8244,1.5180

10.7900,-0.0785,0.4769,-0.0167,1.8981,1.7738,7.0836,0.1060,0.6933,7.0836,1.6062

11.7890,-0.0785,0.0447,-0.0784,1.7747,1.6503,7.2070,0.5381,0.6418,7.2070,1.5797

12.7890,0.1684,-0.1405,-0.2019,1.8364,1.9590,6.6514,0.9086,0.7550,6.6514,1.5974

13.7890,-0.0785,0.1065,-0.2636,2.0216,1.8973,6.3427,0.1060,0.6315,6.3427,1.4474

14.7900,-0.0168,-0.0788,-0.2636,2.0216,1.7738,6.3427,0.5381,0.6624,6.3427,1.4739

15.7890,0.4153,-0.2640,-0.1401,1.4660,1.9590,4.6141,0.9086,0.7241,4.6141,1.2799

16.7900,0.0450,0.1065,-0.0784,1.9599,1.8973,3.9350,0.5999,0.7550,3.9350,1.2093

17.7900,-0.4489,0.2299,-0.2019,2.2686,1.7121,3.7498,1.4025,0.8271,3.7498,1.2446

18.7900,0.6005,0.0447,0.5390,1.8981,2.2677,3.2560,0.6616,1.0020,3.2560,1.3240

19.7890,0.1067,-0.3874,-0.3254,1.4660,1.4651,2.5151,0.5999,0.4875,2.5151,0.7771

20.7890,0.7240,-0.1405,-0.0784,1.8364,1.7121,2.5769,0.3529,0.7344,2.5769,0.9976

21.7890,0.8474,-0.0170,0.4155,1.8981,1.8355,2.9473,0.3529,0.8888,2.9473,1.1828

22.7890,0.1684,-0.2022,-0.3254,1.7129,1.7121,2.3917,0.5999,0.6110,2.3917,0.8653

23.7890,-0.3871,0.1682,0.0451,2.1451,1.6503,3.0090,0.5381,0.6933,3.0090,1.0241

24.7890,-0.1402,-0.1405,0.2303,1.4660,1.5886,2.2064,0.2294,0.5389,2.2064,0.7771

25.7890,0.1067,-0.1405,1.2799,2.0834,2.4530,2.3299,0.5381,1.0534,2.3299,1.2358

26.7890,0.2302,-0.3257,0.0451,1.8364,1.6503,2.3299,0.4764,0.6521,2.3299,0.8918

27.7890,0.1684,-0.0788,0.0451,1.7129,1.9590,2.4534,0.4764,0.7139,2.4534,0.9624

28.7890,0.0450,0.2299,-0.1401,1.8981,1.8355,2.5151,0.4764,0.7241,2.5151,0.9800

29.7890,0.0450,0.4151,0.3538,1.8364,1.9590,2.5151,0.7234,0.8888,2.5151,1.1211

30.7890,0.1067,0.1065,-0.4489,1.8364,1.8973,2.9473,0.5381,0.6727,2.9473,0.9976

31.7890,-0.1402,0.1682,0.2920,1.6512,2.0208,3.9968,0.5381,0.7550,3.9968,1.2181

32.7890,0.2302,0.1065,0.1686,1.5895,1.7121,4.9846,0.2912,0.6830,4.9846,1.2975

33.7890,-0.0785,0.0447,-0.0167,1.9599,1.5886,5.7871,0.6616,0.6933,5.7871,1.4210

34.7900,0.2302,0.4151,-0.5723,2.0216,1.9590,5.9106,0.3529,0.7344,5.9106,1.4739

35.7900,0.1067,-0.2022,0.2303,2.1451,1.6503,5.7871,0.5999,0.7550,5.7871,1.4739

36.7890,-0.0168,-0.0788,0.1686,2.0216,1.4651,5.9106,0.5381,0.6830,5.9106,1.4298

37.7890,-0.2637,0.0447,-0.0784,2.3303,1.7738,6.0341,0.5999,0.7344,6.0341,1.4915

38.7890,0.0450,0.1065,0.3538,1.6512,1.7121,6.5897,0.4147,0.7139,6.5897,1.5533

39.7900,-0.0785,0.1682,0.5390,1.7129,0.2302,5.9723,0.7851,0.5595,5.9723,1.3328

40.7890,-0.0168,0.2299,0.3538,1.4660,1.8355,6.7749,0.3529,0.7036,6.7749,1.5709

41.7900,0.2302,0.2299,-1.1897,2.2068,2.0208,5.7871,0.7851,0.7138,5.7871,1.4386

42.7890,-0.0785,-0.3874,-0.0167,1.8981,1.8355,6.5279,0.5381,0.6315,6.5279,1.4739

43.7890,0.0450,-1.9926,0.1068,1.3425,1.5268,6.4045,0.5999,0.2714,6.4045,1.1476

44.7890,0.2302,-0.0788,-0.3871,1.5895,1.9590,5.6636,0.4764,0.6315,5.6636,1.3504

45.7890,0.2919,0.2299,-0.0784,2.3920,2.0208,6.3427,0.1060,0.8270,6.3427,1.6150

46.7890,-0.0785,-0.1405,0.0451,1.7129,1.9590,6.8984,0.6616,0.6933,6.8984,1.5797

47.7890,-0.0785,0.6621,-0.1401,1.7129,1.8973,7.6392,0.4147,0.7447,7.6392,1.7296

48.7900,0.2302,0.3534,-0.5106,1.8364,1.5886,7.9479,0.2912,0.6315,7.9479,1.6767

49.7890,0.2919,-0.0170,-0.1401,1.7129,1.7738,8.2565,1.0321,0.7756,8.2565,1.8443

50.7890,0.4153,0.0447,-0.4489,1.8981,2.0208,8.4418,0.6616,0.7653,8.4418,1.8619

51.7890,-0.0785,0.4769,-0.0784,1.5895,1.8973,8.6887,0.4764,0.7139,8.6887,1.8531

52.7900,-0.0168,-0.0170,-0.7576,1.8981,2.0825,8.9356,0.5381,0.6212,8.9356,1.8090

53.7900,0.0450,0.4151,0.0451,1.8981,1.5886,8.8739,0.4764,0.7447,8.8739,1.9060

54.7890,0.2302,0.2917,-0.3871,1.9599,1.9590,8.9974,0.5381,0.7653,8.9974,1.9413

55.7890,-0.1402,-0.0170,0.2303,1.7747,1.8355,9.9234,0.3529,0.6727,9.9234,1.9942

56.7890,-0.0785,-0.3874,0.1686,1.7747,1.8355,9.7382,0.4147,0.6213,9.7382,1.9237

57.7890,0.2919,0.4151,0.3538,1.4660,1.7738,9.8617,0.1677,0.7447,9.8617,2.0471

58.7890,-0.5106,-0.2022,0.2303,2.0834,1.5886,9.4913,0.3529,0.5904,9.4913,1.8619

59.7890,0.1684,-0.1405,-0.0167,1.7747,1.7738,8.9974,0.4764,0.6727,8.9974,1.8619

60.7890,0.4771,0.2299,-0.1401,2.0834,1.9590,8.0096,0.9086,0.9196,8.0096,1.9325

61.7890,-0.0785,0.4769,0.2303,1.6512,1.9590,7.1453,0.7234,0.8270,7.1453,1.7297

62.7890,0.1067,-0.1405,0.2303,1.9599,1.7121,6.8984,0.5999,0.7447,6.8984,1.6238

63.7890,-0.2019,0.2299,-0.2019,1.8364,1.5268,5.0463,0.9703,0.6933,5.0463,1.3151

64.7890,0.0450,-0.0170,0.1686,1.8364,1.8973,6.3427,0.4147,0.7241,6.3427,1.5268

65.7900,-0.0785,0.4769,0.2920,1.8981,2.0825,5.7871,0.4147,0.8476,5.7871,1.5533

66.7900,0.4153,-0.1405,0.0451,1.8364,1.7738,5.9106,0.1677,0.6830,5.9106,1.4298

67.7890,-0.0168,-0.3257,0.2920,1.8981,1.7738,6.0958,0.7234,0.7241,6.0958,1.4915

