Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9160,29.4176,28.0752,27.0847,26.1168,25.0502,29.8800,25.3667,30.0224,27.1489,29.9512,27.6267

2.2700,29.4317,28.0576,27.0864,26.1218,25.0922,29.8668,25.3802,30.0092,27.1579,29.9380,27.6307

2.9380,29.4096,28.0791,27.1060,26.1348,25.0501,29.8677,25.3800,30.0337,27.1559,29.9507,27.6326

3.9380,29.4268,28.0540,27.0813,26.1295,25.0815,29.8947,25.3879,30.0034,27.1546,29.9491,27.6324

4.9380,29.4163,28.0960,27.0947,26.1410,25.0615,29.8617,25.3824,30.0018,27.1619,29.9317,27.6319

5.9380,29.4216,28.0659,27.0711,26.1372,25.0536,29.8848,25.3895,30.0123,27.1499,29.9485,27.6295

6.9380,29.4323,28.0871,27.1046,26.1235,25.0724,29.8669,25.3899,30.0065,27.1640,29.9367,27.6354

7.9380,29.4352,28.0897,27.0996,26.1147,25.0711,29.8688,25.3878,30.0202,27.1620,29.9445,27.6359

8.9380,29.4089,28.1036,27.0886,26.1575,25.0811,29.8755,25.3871,30.0199,27.1679,29.9477,27.6403

9.9380,29.4391,28.0840,27.0765,26.1242,25.0590,29.8760,25.3967,30.0114,27.1565,29.9437,27.6334

10.9390,29.4336,28.0944,27.0874,26.1346,25.0766,29.8856,25.3940,30.0159,27.1653,29.9507,27.6403

11.9380,29.4138,28.0673,27.0768,26.1438,25.0774,29.8737,25.3999,30.0063,27.1558,29.9400,27.6324

12.9380,29.4290,28.0834,27.0773,26.1353,25.0852,29.8824,25.4004,30.0117,27.1620,29.9471,27.6381

13.9380,29.4206,28.1014,27.0878,26.1237,25.0791,29.8866,25.4038,30.0300,27.1625,29.9583,27.6416

14.9380,29.4091,28.0974,27.0941,26.1286,25.0544,29.8790,25.4050,30.0346,27.1567,29.9568,27.6378

15.9380,29.4056,28.0825,27.0929,26.1288,25.0674,29.8689,25.3952,30.0170,27.1554,29.9430,27.6323

16.9380,29.4083,28.0928,27.0975,26.1401,25.0526,29.8772,25.4065,30.0183,27.1583,29.9478,27.6367

17.9380,29.4112,28.0937,27.0975,26.1462,25.0597,29.8697,25.4103,30.0183,27.1617,29.9440,27.6383

18.9380,29.4117,28.1041,27.0980,26.1438,25.0428,29.8834,25.4089,30.0014,27.1601,29.9424,27.6368

19.9380,29.3935,28.0874,27.0940,26.1474,25.0671,29.8596,25.3964,30.0529,27.1579,29.9563,27.6373

20.9390,29.4088,28.0903,27.1115,26.1559,25.0706,29.8749,25.4011,30.0193,27.1674,29.9471,27.6415

21.9380,29.4140,28.0983,27.1148,26.1361,25.0928,29.8674,25.4021,30.0286,27.1712,29.9480,27.6442

22.9380,29.4051,28.1028,27.0948,26.1614,25.0848,29.8670,25.4070,30.0301,27.1698,29.9486,27.6441

23.9380,29.4076,28.1019,27.0934,26.1378,25.0751,29.8925,25.4147,30.0270,27.1632,29.9598,27.6437

24.9380,29.4271,28.0846,27.0974,26.1342,25.0682,29.8857,25.3950,30.0295,27.1623,29.9576,27.6402

25.9380,29.4118,28.0959,27.0992,26.1776,25.0769,29.8863,25.3860,30.0349,27.1723,29.9606,27.6461

