Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
0.9340,1.8843,2.3907,4.5521,4.7245,4.6140,-0.0160,3.6929,3.6431,-0.0160,3.1203

1.5490,1.6271,2.5759,4.7991,4.7245,4.6140,0.0457,2.9211,3.5436,0.0457,3.0439

2.5500,1.6271,2.3907,4.9226,6.5251,4.5522,0.1074,3.4356,3.9089,0.1074,3.3658

3.5490,2.6559,2.5142,4.7373,4.7245,3.8731,0.1074,2.1494,3.4424,0.1074,2.9660

4.5490,2.3987,2.5759,4.8608,6.2678,4.6757,-0.0778,3.4356,4.0358,-0.0778,3.4481

5.5490,1.8843,2.3907,4.4904,5.2389,4.7375,0.1074,2.4066,3.5247,0.1074,3.0365

6.5500,1.8843,2.5759,4.7991,4.2100,4.6757,0.0457,3.4356,3.5968,0.0457,3.0895

7.5500,2.6559,2.6376,4.9226,6.2678,4.1818,-0.0160,3.1784,3.9740,-0.0160,3.4040

8.5490,3.9418,2.5142,4.8608,4.9817,4.7992,-0.0778,3.6929,4.1318,-0.0778,3.5304

9.5490,1.6271,2.5759,5.1078,4.9817,4.6140,0.0457,5.4937,4.0667,0.0457,3.4923

10.5490,2.1415,2.3907,4.9843,3.6956,4.6757,0.1074,3.1784,3.5110,0.1074,3.0248

11.5490,1.8843,2.4524,4.9843,4.2100,4.7992,0.1692,2.9211,3.5419,0.1692,3.0601

12.5490,1.6271,2.5759,5.8487,4.9817,4.7375,0.0457,2.9211,3.7820,0.0457,3.2482

13.5490,1.8843,2.6376,4.9226,3.4383,4.6757,0.1692,6.2654,3.9707,0.1692,3.4276

14.5490,3.6847,3.7489,5.3548,3.6956,4.6757,0.0457,3.9501,4.1850,0.0457,3.5936

15.5490,2.1415,2.6376,5.0460,4.7245,5.2932,0.2309,3.6929,3.9226,0.2309,3.3952

16.5500,2.3987,2.4524,4.7991,4.7245,4.6140,0.1074,3.6929,3.7803,0.1074,3.2556

17.5490,1.6271,2.4524,4.5521,4.9817,4.7375,0.1692,2.4066,3.4596,0.1692,2.9895

18.5500,3.1703,2.0820,4.9226,4.4672,4.7992,-0.1395,3.4356,3.8128,-0.1395,3.2482

19.5490,1.8843,2.3907,4.9226,5.2389,4.6140,-0.0778,4.4647,3.9192,-0.0778,3.3482

20.5500,1.1127,2.3907,4.8608,4.2100,4.6140,0.8483,1.8921,3.1801,0.8483,2.8469

21.5490,1.6271,2.3907,4.7991,4.9817,4.6140,-0.2013,3.9501,3.7271,-0.2013,3.1659

22.5500,2.9131,2.3290,4.7373,4.7245,4.7992,0.1074,3.6929,3.8660,0.1074,3.3291

23.5490,1.6271,2.3907,4.7991,5.4962,4.6757,-0.0778,3.9501,3.8231,-0.0778,3.2659

24.5500,1.1127,2.5142,4.7991,5.4962,4.6757,-0.2630,3.4356,3.6722,-0.2630,3.1101

25.5490,1.6271,2.0820,4.9843,4.4672,4.6140,-0.3247,3.9501,3.6208,-0.3247,3.0571

26.5490,2.1415,2.3907,4.9226,4.9817,4.4905,0.2309,3.9501,3.8128,0.2309,3.3011

27.5490,1.8843,2.2672,4.9226,4.7245,4.7375,0.1074,2.1494,3.4476,0.1074,2.9704

28.5500,1.8843,2.3290,5.1695,4.4672,4.7375,0.4161,2.6639,3.5419,0.4161,3.0953

29.5490,2.1415,2.2672,4.9843,4.7245,4.5522,-0.5099,3.4356,3.6842,-0.5099,3.0851

30.5490,1.8843,2.2055,5.0460,4.9817,4.5522,0.1692,4.4647,3.8557,0.1692,3.3291

31.5500,1.3699,2.0820,4.7991,5.2389,4.6757,-0.2630,3.4356,3.6002,-0.2630,3.0483

32.5500,2.1415,2.3907,4.5521,4.9817,4.6140,-0.0778,3.6929,3.7288,-0.0778,3.1850

33.5490,1.8843,2.2672,4.8608,5.2389,4.6140,0.0457,3.4356,3.7168,0.0457,3.1924

34.5510,1.3699,2.6376,5.0460,4.9817,4.6140,-0.0778,2.9211,3.5951,-0.0778,3.0704

35.5490,1.3699,2.4524,4.6139,5.2389,4.6757,-0.0778,2.9211,3.5453,-0.0778,3.0277

36.5490,1.6271,2.5142,4.7373,4.4672,4.6757,0.2309,2.6639,3.4476,0.2309,2.9880

37.5490,2.1415,2.3907,4.7373,4.9817,4.7375,-0.0160,2.6639,3.6088,-0.0160,3.0909

38.5490,2.3987,2.3907,4.6139,4.9817,4.5522,-0.0778,2.9211,3.6430,-0.0778,3.1115

39.5490,1.6271,2.4524,4.9843,4.7245,4.6757,-0.0160,3.6929,3.6928,-0.0160,3.1630

40.5490,1.3699,2.2672,4.1199,1.6377,3.9965,0.1692,2.4066,2.6330,0.1692,2.2810

41.5490,1.8843,2.1438,4.7991,4.4672,4.4905,-0.0778,2.9211,3.4510,-0.0778,2.9469

42.5490,1.6271,2.4524,4.7373,4.4672,4.5522,0.3544,3.1784,3.5025,0.3544,3.0527

43.5490,2.3987,2.5142,4.6139,5.4962,4.6140,-0.0778,5.2364,4.1455,-0.0778,3.5422

44.5490,2.1415,2.3907,4.7373,5.2389,4.3670,0.0457,1.3776,3.3755,0.0457,2.8998

45.5490,1.8843,2.5759,4.7373,4.2100,5.4784,-0.0778,3.9501,3.8060,-0.0778,3.2512

46.5490,1.6271,2.3907,4.7373,4.4672,4.3670,-0.2013,3.4356,3.5042,-0.2013,2.9748

47.5490,2.3987,2.2672,4.8608,4.9817,4.6140,-0.1395,4.2074,3.8883,-0.1395,3.3129

48.5490,2.3987,2.2672,4.7991,3.9528,4.5522,0.0457,2.9211,3.4819,0.0457,2.9910

49.5490,1.8843,2.4524,4.6139,4.2100,4.6757,-0.0778,3.1784,3.5024,-0.0778,2.9910

50.5490,1.3699,2.3290,4.7991,4.7245,4.6140,0.2309,2.6639,3.4167,0.2309,2.9616

51.5500,2.3987,2.3290,4.6139,5.2389,4.5522,-0.2013,2.9211,3.6756,-0.2013,3.1218

52.5490,3.1703,2.3290,4.7991,4.7245,4.4905,-0.2013,3.6929,3.8677,-0.2013,3.2864

53.5490,1.6271,2.3907,4.6756,4.7245,4.6140,-0.0778,4.2074,3.7065,-0.0778,3.1659

54.5490,1.6271,2.2055,4.7991,4.9817,4.6140,-0.1395,3.1784,3.5676,-0.1395,3.0380

55.5490,1.6271,1.5264,4.8608,4.4672,4.7375,-0.0778,3.6929,3.4853,-0.0778,2.9763

56.5500,2.1415,2.4524,4.7991,4.4672,4.5522,-0.2013,3.4356,3.6414,-0.2013,3.0924

57.5500,2.3987,2.3290,4.9843,5.2389,4.7375,-0.1395,3.6929,3.8969,-0.1395,3.3202

58.5490,2.3987,2.3907,4.6139,4.7245,4.4905,-0.0160,3.4356,3.6756,-0.0160,3.1483

59.5500,2.1415,2.3907,4.6756,3.6956,4.7375,-0.0778,3.1784,3.4699,-0.0778,2.9631

60.5490,2.3987,2.4524,4.8608,1.8950,4.9227,-0.0778,2.9211,3.2418,-0.0778,2.7676

61.5500,1.3699,2.1438,4.8608,4.9817,4.6140,0.2309,4.4647,3.7391,0.2309,3.2380

62.5490,1.3699,2.6376,4.9843,3.4383,4.6140,0.0457,3.4356,3.4133,0.0457,2.9322

63.5490,1.8843,2.1438,4.8608,4.7245,4.7375,0.2309,2.9211,3.5453,0.2309,3.0718

64.5490,1.8843,2.5759,4.7991,3.6956,4.7375,-0.0778,3.6929,3.5642,-0.0778,3.0439

65.5500,2.1415,2.5759,4.6139,5.2389,4.6140,-0.0160,3.4356,3.7700,-0.0160,3.2291

66.5490,2.1415,2.3907,4.7991,6.0106,4.7375,-0.0778,3.6929,3.9620,-0.0778,3.3849

67.5490,2.1415,2.5759,4.9843,5.2389,4.4905,-0.0160,3.9501,3.8969,-0.0160,3.3379

68.5490,1.8843,2.2672,4.9226,4.7245,4.7375,-0.2013,1.6349,3.3618,-0.2013,2.8528

