Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.2480,-0.1733,-0.0170,1.7121,1.8950,1.6503,-0.0778,0.6059,0.9455,-0.0778,0.7993

1.8520,-0.9449,0.0447,1.7738,6.0106,1.2181,0.1074,0.0913,1.3656,0.1074,1.1859

2.8520,-0.9449,0.1682,1.7121,2.1522,1.6503,-0.0160,0.0913,0.8049,-0.0160,0.6876

3.8520,-0.4305,0.0447,1.9590,1.6377,1.6503,-0.1395,0.8631,0.9541,-0.1395,0.7978

4.8530,-0.9449,0.0447,1.8355,2.4094,1.6503,0.0457,0.3486,0.8906,0.0457,0.7699

5.8520,-1.2021,-0.0170,1.7738,1.8950,1.7121,-0.0778,0.3486,0.7517,-0.0778,0.6332

6.8530,-0.9449,0.1065,1.6503,1.8950,1.6503,-0.0778,-0.4232,0.6557,-0.0778,0.5509

7.8520,-0.6877,-0.0788,1.6503,2.1522,1.6503,-0.2013,0.3486,0.8392,-0.2013,0.6905

8.8520,-1.2021,-0.0788,1.8355,1.8950,1.4651,-0.1395,0.3486,0.7106,-0.1395,0.5891

9.8520,-0.4305,-0.0170,1.8973,1.6377,1.6503,-0.0778,0.8631,0.9335,-0.0778,0.7890

10.8530,-0.9449,0.0447,1.7121,2.6666,1.5886,0.2309,0.6059,0.9455,0.2309,0.8434

11.8520,-0.9449,0.0447,1.7738,2.6666,1.5886,0.1692,0.6059,0.9558,0.1692,0.8434

12.8530,-0.6877,0.0447,1.7121,2.4094,1.5886,0.1692,0.3486,0.9026,0.1692,0.7978

13.8530,-0.6877,-0.0170,1.7738,2.4094,1.5886,-0.0160,0.3486,0.9026,-0.0160,0.7714

14.8520,-1.4593,0.2299,1.5886,2.6666,1.5268,0.0457,0.3486,0.8169,0.0457,0.7067

15.8520,-0.9449,0.1065,1.5268,1.3805,1.5886,-0.0160,1.3776,0.8392,-0.0160,0.7170

16.8520,-0.4305,-0.3257,1.5886,1.8950,1.5886,-0.0160,0.6059,0.8203,-0.0160,0.7008

17.8530,-0.6877,-0.0788,1.7121,1.8950,1.6503,-0.2630,0.0913,0.7637,-0.2630,0.6170

18.8520,-0.1733,0.0447,2.2060,-0.1629,1.8973,-0.2630,0.0913,0.6505,-0.2630,0.5200

19.8520,-0.9449,-0.0788,1.7121,2.1522,1.5886,-0.1395,0.0913,0.7534,-0.1395,0.6259

20.8520,-1.2021,-0.0170,1.7738,1.3805,1.4651,-0.0778,0.6059,0.6677,-0.0778,0.5612

21.8530,-0.1733,0.0447,1.8355,2.1522,1.7121,0.1692,0.6059,1.0295,0.1692,0.9066

22.8530,-2.7453,0.4769,1.7738,2.4094,1.5268,-0.0160,0.6059,0.6746,-0.0160,0.5759

23.8530,-1.7165,0.2299,1.7121,2.4094,1.6503,0.1074,0.0913,0.7294,0.1074,0.6406

24.8530,-1.4593,-0.0170,1.7121,2.1522,1.7738,0.2309,0.6059,0.7946,0.2309,0.7141

25.8520,-0.9449,-0.0170,1.8355,2.4094,1.5268,-0.0778,0.3486,0.8597,-0.0778,0.7258

26.8520,-0.1733,0.0447,1.7121,1.8950,2.0825,-0.0778,0.8631,1.0707,-0.0778,0.9066

27.8520,-0.9449,0.1065,1.5886,1.6377,1.6503,0.0457,0.0913,0.6883,0.0457,0.5965

28.8520,-0.4305,0.1065,1.8355,1.3805,1.4651,-0.2013,-1.1949,0.5270,-0.2013,0.4230

29.8520,-0.4305,-0.0788,1.8973,1.3805,1.7121,-0.0160,0.3486,0.8049,-0.0160,0.6876

30.8530,-0.6877,0.1682,1.7738,2.1522,1.5268,-0.0160,0.6059,0.9232,-0.0160,0.7890

31.8520,-0.6877,0.2299,1.7121,2.1522,1.5886,0.1074,-0.1659,0.8049,0.1074,0.7052

32.8520,-0.6877,0.1065,1.6503,2.9239,1.4033,-0.0778,0.6059,1.0004,-0.0778,0.8463

33.8520,-0.9449,0.0447,1.7738,1.8950,1.6503,-0.0778,0.8631,0.8803,-0.0778,0.7435

34.8520,-0.6877,-0.0170,1.7121,1.6377,1.5268,-0.0778,-0.1659,0.6677,-0.0778,0.5612

35.8520,-0.4305,0.1682,1.6503,1.8950,1.5886,-0.0160,-0.6804,0.6985,-0.0160,0.5964

36.8520,-0.4305,-0.0170,1.7738,2.1522,1.7121,-0.2013,2.9211,1.3519,-0.2013,1.1301

37.8520,-0.9449,0.0447,1.8355,1.8950,1.7121,-0.0778,0.3486,0.8152,-0.0778,0.6876

38.8530,-1.4593,0.1065,1.7121,1.3805,1.4651,0.0457,0.3486,0.5922,0.0457,0.5142

39.8520,-0.9449,0.0447,1.7121,2.1522,2.4530,-0.3865,1.1204,1.0896,-0.3865,0.8787

40.8520,-0.1733,0.1065,1.7738,2.4094,1.4651,-0.0778,0.3486,0.9883,-0.0778,0.8360

41.8530,-0.4305,-0.0788,1.7738,2.1522,1.5886,-0.3247,0.0913,0.8494,-0.3247,0.6817

42.8520,-0.9449,0.1065,1.5886,1.6377,1.5886,-0.0160,-1.4522,0.4207,-0.0160,0.3583

43.8530,-0.6877,0.1065,1.8355,1.1233,1.4651,-0.0160,0.3486,0.6985,-0.0160,0.5965

44.8520,-0.9449,0.0447,1.5886,1.6377,1.6503,-0.0160,0.6059,0.7637,-0.0160,0.6523

45.8520,-1.9737,-0.0170,1.7738,2.4094,1.6503,-0.0778,0.6059,0.7414,-0.0778,0.6244

46.8530,-1.2021,0.1065,1.7738,-4.7930,2.3295,-0.3865,1.1204,-0.1108,-0.3865,-0.1502

47.8530,0.8555,-0.2022,1.8973,2.1522,1.6503,-0.0778,0.3486,1.1169,-0.0778,0.9463

48.8530,-0.6877,0.1065,1.6503,1.6377,1.1564,0.3544,0.0913,0.6591,0.3544,0.6156

49.8520,3.6847,-0.2022,1.7121,1.6377,1.7738,-0.0778,0.6059,1.5353,-0.0778,1.3049

50.8520,-0.6877,0.1065,1.7738,2.6666,1.5886,0.0457,0.6059,1.0089,0.0457,0.8713

