Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2300,28.7508,26.8361,24.7639,24.7407,24.7568,25.1272,25.3421,27.6653,25.9697,26.3962,25.9979

1.8930,28.7539,26.8297,24.7566,24.7282,24.7570,25.1331,25.3583,27.6598,25.9651,26.3964,25.9971

2.8920,28.7469,26.8385,24.7810,24.7668,24.7555,25.1406,25.3569,27.6594,25.9777,26.4000,26.0057

3.8920,28.7450,26.8401,24.7703,24.7249,24.7552,25.1289,25.3135,27.6632,25.9671,26.3960,25.9927

4.8920,28.7570,26.8291,24.7654,24.7323,24.7630,25.1400,25.3194,27.6809,25.9694,26.4104,25.9984

5.8920,28.7655,26.8322,24.7676,24.7378,24.7619,25.1404,25.3355,27.6559,25.9730,26.3981,25.9996

6.8920,28.7520,26.8276,24.7602,24.7361,24.7635,25.1496,25.3555,27.6565,25.9679,26.4031,26.0001

7.8920,28.7650,26.8659,24.7522,24.7484,24.7640,25.1555,25.3119,27.6644,25.9791,26.4100,26.0034

8.8920,28.7380,26.8334,24.7617,24.7532,24.7451,25.1237,25.3419,27.6703,25.9663,26.3970,25.9959

9.8920,28.7500,26.8355,24.7879,24.7416,24.7709,25.1320,25.3271,27.6565,25.9772,26.3942,26.0002

10.8920,28.7653,26.8322,24.7482,24.7288,24.7708,25.1247,25.3315,27.6524,25.9691,26.3885,25.9942

11.8920,28.7581,26.8160,24.7589,24.7494,24.7631,25.1364,25.3314,27.6532,25.9691,26.3948,25.9958

12.8930,28.7458,26.8297,24.7660,24.7329,24.7722,25.1283,25.3323,27.6343,25.9693,26.3813,25.9927

13.8920,28.7518,26.8299,24.7837,24.7236,24.7614,25.1418,25.3350,27.6460,25.9701,26.3939,25.9966

14.8920,28.7509,26.8396,24.7371,24.7414,24.7669,25.1144,25.3260,27.6634,25.9672,26.3889,25.9925

15.8920,28.7386,26.8174,24.7603,24.7248,24.7669,25.1253,25.3397,27.6370,25.9616,26.3811,25.9887

16.8930,28.7588,26.8316,24.7646,24.7424,24.7656,25.1261,25.3330,27.6586,25.9726,26.3924,25.9976

17.8920,28.7480,26.8177,24.7856,24.7416,24.7620,25.1347,25.3410,27.6610,25.9710,26.3978,25.9989

18.8930,28.7376,26.8455,24.7610,24.7520,24.7435,25.1432,25.3368,27.6582,25.9680,26.4007,25.9972

19.8920,28.7353,26.8371,24.7701,24.7223,24.7573,25.1182,25.3529,27.6337,25.9644,26.3760,25.9909

20.8920,28.7656,26.8283,24.7637,24.7405,24.7580,25.1354,25.3366,27.6405,25.9712,26.3879,25.9961

21.8920,28.7517,26.8161,24.7590,24.7467,24.7609,25.1417,25.3419,27.6472,25.9668,26.3945,25.9956

22.8930,28.7345,26.8476,24.7769,24.7216,24.7688,25.1287,25.3200,27.6300,25.9699,26.3794,25.9910

23.8920,28.7402,26.8201,24.7705,24.7483,24.7573,25.1439,25.3475,27.6499,25.9673,26.3969,25.9972

24.8920,28.7348,26.8200,24.7733,24.7482,24.7600,25.1446,25.3383,27.6577,25.9673,26.4012,25.9971

25.8930,28.7507,26.8335,24.7306,24.7476,24.7603,25.1138,25.3410,27.6321,25.9645,26.3730,25.9887

26.8920,28.7347,26.8266,24.7719,24.7341,24.7525,25.1247,25.3410,27.6543,25.9640,26.3895,25.9925

27.8920,28.7340,26.8192,24.7607,24.7295,24.7583,25.1259,25.3190,27.6385,25.9604,26.3822,25.9856

28.8920,28.7321,26.8377,24.7598,24.7347,24.7588,25.1168,25.3393,27.6253,25.9646,26.3711,25.9881

29.8920,28.7315,26.8308,24.7666,24.7505,24.7652,25.1186,25.3373,27.6224,25.9689,26.3705,25.9904

30.8930,28.7261,26.8374,24.7623,24.7416,24.7382,25.1297,25.3243,27.6306,25.9611,26.3801,25.9863

31.8920,28.7308,26.8183,24.7452,24.7390,24.7593,25.1274,25.3220,27.6217,25.9585,26.3745,25.9830

32.8920,28.7388,26.8371,24.7597,24.7366,24.7531,25.0088,25.3446,27.5887,25.9651,26.2988,25.9709

33.8920,28.7300,26.8092,24.7559,24.7422,24.7304,24.9807,25.3509,27.6477,25.9535,26.3142,25.9684

34.8930,28.7200,26.8355,24.7585,24.7236,24.7557,24.9663,25.3314,27.6070,25.9586,26.2867,25.9623

35.8920,28.7091,26.8154,24.7479,24.7493,24.7786,24.9667,25.3252,27.5344,25.9600,26.2505,25.9533

36.8920,28.7329,26.8362,24.7512,24.7262,24.7300,24.9684,25.3175,27.4650,25.9553,26.2167,25.9409

37.8930,28.7361,26.8034,24.7406,24.7312,24.7557,24.9816,25.3131,27.4258,25.9534,26.2037,25.9359

38.8920,28.7233,26.8143,24.7629,24.7185,24.7563,25.0202,25.3262,27.3926,25.9551,26.2064,25.9393

39.8920,28.7298,26.8144,24.7474,24.7459,24.7478,25.0139,25.3341,27.3671,25.9571,26.1905,25.9376

40.8920,28.7271,26.7973,24.7525,24.7397,24.7539,25.0557,25.3348,27.3479,25.9541,26.2018,25.9386

41.8940,28.7135,26.8195,24.7671,24.7118,24.7440,25.0958,25.3202,27.3611,25.9512,26.2285,25.9416

42.8920,28.7092,26.8351,24.7502,24.7365,24.7341,25.1297,25.3361,27.3686,25.9530,26.2492,25.9499

43.8930,28.7241,26.8217,24.7485,24.7159,24.7603,25.1434,25.3096,27.3614,25.9541,26.2524,25.9481

44.8920,28.7213,26.8236,24.7339,24.7334,24.7467,25.1825,25.3327,27.3524,25.9518,26.2675,25.9533

45.8920,28.7070,26.8297,24.7599,24.7230,24.7339,25.2126,25.3306,27.3466,25.9507,26.2796,25.9554

46.8920,28.7230,26.8315,24.7465,24.7049,24.7399,25.2371,25.3344,27.3716,25.9492,26.3044,25.9611

47.8920,28.7116,26.8079,24.7380,24.7328,24.7730,25.2866,25.3254,27.3913,25.9527,26.3390,25.9708

48.8930,28.6940,26.7979,24.7445,24.7185,24.7266,25.3167,25.3238,27.4175,25.9363,26.3671,25.9675

49.8930,28.7117,26.8156,24.7324,24.7183,24.7424,25.3604,25.3038,27.4593,25.9441,26.4099,25.9805

50.8920,28.6890,26.8075,24.7442,24.7116,24.7494,25.3853,25.3178,27.5190,25.9403,26.4521,25.9905

51.8920,28.6905,26.8137,24.7557,24.7018,24.7264,25.3963,25.3283,27.5535,25.9376,26.4749,25.9958

52.8920,28.7126,26.7932,24.7441,24.7224,24.7370,25.4401,25.3244,27.5770,25.9418,26.5086,26.0064

53.8920,28.7063,26.8169,24.7442,24.7310,24.7414,25.4645,25.3234,27.6099,25.9480,26.5372,26.0172

54.8920,28.6697,26.8195,24.7482,24.7104,24.7359,25.4831,25.3192,27.6340,25.9368,26.5586,26.0150

55.8930,28.7003,26.8283,24.7301,24.7268,24.7244,25.4925,25.3254,27.6651,25.9420,26.5788,26.0241

56.8920,28.6837,26.8114,24.7448,24.7226,24.7245,25.5288,25.3215,27.7022,25.9374,26.6155,26.0299

57.8920,28.6820,26.7995,24.7301,24.7012,24.7150,25.5261,25.3084,27.7212,25.9256,26.6237,26.0229

58.8920,28.6948,26.8081,24.7424,24.7306,24.7231,25.5578,25.3274,27.7727,25.9398,26.6653,26.0446

59.8920,28.7063,26.8075,24.7310,24.7310,24.7381,25.5622,25.3242,27.7578,25.9428,26.6600,26.0448

60.8920,28.6883,26.8020,24.7420,24.7339,24.7439,25.5692,25.3138,27.7765,25.9420,26.6729,26.0462

61.8920,28.6824,26.8174,24.7527,24.7107,24.7423,25.5940,25.3366,27.7588,25.9411,26.6764,26.0494

62.8920,28.6632,26.7889,24.7261,24.7105,24.7337,25.6059,25.3085,27.7284,25.9245,26.6671,26.0331

63.8920,28.6882,26.8186,24.7473,24.7024,24.7256,25.6088,25.3279,27.7661,25.9364,26.6874,26.0481

64.8920,28.6871,26.8163,24.7427,24.7186,24.7257,25.5902,25.3031,27.7659,25.9381,26.6781,26.0437

65.8920,28.6818,26.8020,24.7444,24.7094,24.7326,25.6086,25.2908,27.7687,25.9341,26.6886,26.0423

66.8920,28.6775,26.8004,24.7215,24.6955,24.7276,25.5981,25.3081,27.8025,25.9245,26.7003,26.0414

67.8930,28.6890,26.7943,24.7192,24.7112,24.7188,25.6020,25.3131,27.8046,25.9265,26.7033,26.0440

68.8920,28.6779,26.8086,24.7326,24.7094,24.7222,25.6089,25.3180,27.7987,25.9301,26.7038,26.0470

69.8920,28.6962,26.8117,24.7295,24.7007,24.7475,25.6126,25.3293,27.8245,25.9371,26.7185,26.0565

70.8930,28.6760,26.8128,24.7326,24.6971,24.7184,25.5857,25.3109,27.8142,25.9274,26.6999,26.0435

71.8920,28.6796,26.7914,24.7555,24.7229,24.7177,25.5955,25.3268,27.8173,25.9334,26.7064,26.0508

72.8920,28.6839,26.7914,24.7413,24.7049,24.7144,25.6016,25.3089,27.8489,25.9272,26.7253,26.0494

73.8920,28.6813,26.8015,24.7278,24.6796,24.7372,25.5816,25.3233,27.8685,25.9255,26.7250,26.0501

74.8920,28.6613,26.7945,24.7411,24.7000,24.7303,25.5861,25.3273,27.9116,25.9255,26.7488,26.0565

75.8920,28.6603,26.8002,24.7426,24.7062,24.7246,25.5883,25.3135,27.9558,25.9268,26.7721,26.0614

76.8920,28.6742,26.8028,24.7206,24.6942,24.7263,25.5797,25.3148,28.0008,25.9236,26.7902,26.0642

77.8920,28.6601,26.7935,24.7198,24.7099,24.7264,25.5881,25.3086,28.0648,25.9219,26.8265,26.0714

78.8920,28.6449,26.8034,24.7293,24.7042,24.7146,25.5668,25.3193,28.1142,25.9193,26.8405,26.0746

79.8920,28.6670,26.8106,24.7204,24.6869,24.7166,25.5578,25.3047,28.1688,25.9203,26.8633,26.0791

80.8920,28.6709,26.8020,24.7458,24.6948,24.7179,25.5522,25.3237,28.2330,25.9263,26.8926,26.0926

81.8920,28.6747,26.7880,24.7384,24.7010,24.7346,25.5518,25.3247,28.2999,25.9273,26.9259,26.1016

82.8920,28.6745,26.7902,24.7320,24.6848,24.7226,25.5719,25.3321,28.3576,25.9208,26.9648,26.1082

