Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.2710,0.0104,0.0501,60.4413,0.3042

2.2020,0.0080,0.0450,Inf,0.0000

3.2020,0.4230,1.3364,0.0000,0.3483

4.2020,0.8740,2.3449,60.4494,0.3199

5.2020,1.1248,2.2420,60.4587,0.3035

6.2020,1.3002,2.2934,60.5038,0.3362

7.2020,1.3808,1.9693,60.4125,0.2786

8.2020,1.4319,1.8921,60.4328,0.3299

9.2020,1.4639,1.8201,60.7501,0.3413

10.2020,1.4881,1.8046,60.6088,0.3427

11.2020,1.6576,1.8046,60.5021,0.3354

12.2020,1.8265,1.7943,60.7797,0.3466

13.2020,1.8708,1.7943,60.3766,0.3342

14.2020,1.8131,1.7480,60.5219,0.3216

15.2020,1.7654,1.7480,60.5545,0.3028

16.2020,1.7102,1.7223,60.4966,0.3414

17.2020,1.6814,1.6709,60.6614,0.3442

18.2030,1.6610,1.6811,60.5544,0.3431

19.2020,1.6461,1.6657,60.5670,0.3413

20.2030,1.6287,1.6245,60.5771,0.3306

21.2020,1.6123,1.6348,60.5863,0.3296

22.2020,1.5979,1.6451,60.6008,0.3272

23.2020,1.5755,1.5628,60.4953,0.3391

24.2020,1.5572,1.5577,60.6908,0.3223

25.2020,1.5408,1.5782,60.4986,0.3338

26.2030,1.5248,1.5577,60.5579,0.3429

27.2020,1.5114,1.5319,60.6573,0.3133

28.2020,1.4975,1.5371,60.5323,0.3220

29.2020,1.4786,1.4702,60.4069,0.2973

30.2020,1.4637,1.4702,60.6805,0.3452

31.2020,1.4443,1.4342,60.7240,0.3193

32.2020,1.4230,1.4239,60.5403,0.3062

33.2030,1.4076,1.4033,60.4764,0.3227

34.2020,1.3907,1.3827,60.7547,0.3375

35.2020,1.3733,1.3982,60.5917,0.3083

36.2030,1.3544,1.3621,60.6174,0.3036

37.2020,1.3365,1.3467,60.5982,0.2899

38.2030,1.3161,1.3261,60.6506,0.3272

39.2020,1.3032,1.3364,60.6314,0.3396

40.2020,1.2888,1.3210,60.4703,0.2959

41.2030,1.2793,1.3364,60.7952,0.3443

42.2030,1.2714,1.3416,60.5418,0.3345

43.2020,1.2654,1.3416,60.5916,0.3361

44.2020,1.2594,1.3210,60.6030,0.3366

45.2030,1.2520,1.3210,60.4630,0.3294

46.2020,1.2480,1.3210,60.7576,0.3398

47.2020,1.2465,1.3313,60.5836,0.3398

48.2020,1.2450,1.3107,60.4708,0.2877

49.2030,1.2430,1.3158,60.5239,0.3016

50.2020,1.2435,1.3261,60.5157,0.3009

51.2020,1.2406,1.3055,60.6826,0.2540

52.2020,1.2371,1.3055,60.8063,0.3463

53.2020,1.2351,1.3210,60.7354,0.3230

54.2020,1.2341,1.3107,60.3902,0.3354

55.2020,1.2336,1.3158,60.7196,0.3472

56.2020,1.2281,1.2644,60.6258,0.3363

57.2020,1.2271,1.3210,60.5052,0.3293

58.2020,1.2306,1.3467,60.6117,0.3213

59.2030,1.2316,1.3261,60.6875,0.3278

60.2020,1.2336,1.3467,60.5423,0.3229

61.2020,1.2386,1.3570,60.4545,0.2945

62.2020,1.2406,1.3261,60.7559,0.3222

63.2020,1.2425,1.3416,60.6765,0.3375

64.2020,1.2470,1.3570,60.7199,0.3267

65.2020,1.2525,1.3724,60.3638,0.3383

66.2040,1.2594,1.3364,60.5308,0.3431

67.2020,1.2594,1.3210,60.5584,0.3334

68.2030,1.2604,1.3570,60.6251,0.3374

69.2020,1.2659,1.3827,60.6290,0.3292

70.2020,1.2674,1.3621,60.5474,0.3283

71.2020,1.2674,1.3570,60.6846,0.3406

72.2020,1.2619,1.2695,60.5978,0.3316

73.2030,1.2669,1.3930,60.4694,0.3174

74.2020,1.2684,1.3724,60.7462,0.3406

75.2020,1.2689,1.3776,60.5194,0.3410

76.2020,1.2744,1.3930,60.8433,0.3296

77.2020,1.2798,1.3776,60.4722,0.2837

78.2020,1.2783,1.3416,60.6902,0.3319

79.2020,1.2744,1.3416,60.5025,0.3060

80.2020,1.2719,1.3364,60.5443,0.3414

81.2020,1.2694,1.3313,60.5892,0.3447

82.2030,1.2788,1.3673,60.4039,0.3212

83.2020,1.2689,1.2901,60.4914,0.3127

84.2020,1.2619,1.3004,60.6284,0.3377

85.2020,1.2560,1.3158,60.6219,0.3291

86.2030,1.2455,1.2850,60.5295,0.3099

87.2020,1.2371,1.2901,60.5653,0.3424

88.2020,1.2306,1.2747,60.7410,0.3374

89.2020,1.2251,1.2850,60.5936,0.3151

90.2030,1.2232,1.3158,60.8083,0.3409

91.2020,1.2212,1.3107,60.8300,0.3434

92.2020,1.2172,1.3261,60.6960,0.3389

93.2020,1.2182,1.3004,60.6019,0.3406

94.2020,1.2187,1.3055,60.6248,0.3442

95.2020,1.2167,1.2953,60.6826,0.3261

96.2020,1.2192,1.3107,60.5345,0.3113

97.2020,1.2217,1.3158,60.6898,0.3467

98.2020,1.2256,1.3158,60.6272,0.3301

99.2020,1.2286,1.3158,60.8834,0.2963

100.2020,1.2296,1.3261,60.4405,0.3391

101.2030,1.2331,1.3467,60.2935,0.3179

102.2020,1.2351,1.3467,60.6038,0.3088

103.2020,1.2381,1.3313,60.5874,0.3287

104.2020,1.2425,1.3519,60.6213,0.3387

105.2020,1.2500,1.3724,60.4960,0.3339

106.2020,1.2560,1.3724,60.8572,0.2837

107.2020,1.2624,1.3827,60.4851,0.3365

108.2040,1.2669,1.3621,60.5001,0.3394

