Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.2290,-0.6877,-0.3257,1.8973,2.1522,1.6503,0.0457,2.9211,1.2679,0.0457,1.0933

1.5820,-0.6877,0.2917,1.6503,1.8950,1.4033,-0.0778,0.0913,0.7740,-0.0778,0.6523

2.3950,-0.6877,-0.1405,1.8973,2.1522,1.6503,0.0457,1.1204,0.9987,0.0457,0.8625

3.3950,-0.9449,-0.0170,1.4651,2.4094,1.6503,-0.0160,0.3486,0.8186,-0.0160,0.6994

4.3950,-0.1733,-0.1405,2.0208,1.6377,1.7121,0.2309,0.8631,0.9866,0.2309,0.8787

5.3950,-0.4305,0.1682,1.7738,2.4094,2.6382,0.0457,0.6059,1.1942,0.0457,1.0301

6.3950,-0.1733,0.1682,1.7738,1.8950,1.7121,-0.0778,0.8631,1.0398,-0.0778,0.8801

7.3950,-0.6877,0.0447,1.8973,1.8950,1.8355,0.4161,-0.6804,0.7174,0.4161,0.6744

8.3950,-0.1733,-0.0788,1.8973,2.1522,1.7738,-0.0160,1.1204,1.1153,-0.0160,0.9536

9.3950,-0.6877,-0.0170,1.8973,1.8950,1.7121,0.1074,0.6059,0.9009,0.1074,0.7875

10.3950,-0.4305,-0.1405,1.7121,2.9239,1.7121,-0.1395,1.1204,1.1496,-0.1395,0.9654

11.3950,-0.1733,0.7238,1.4651,3.1811,1.5886,0.1692,1.3776,1.3605,0.1692,1.1903

12.3950,0.0839,-0.0788,2.7617,2.6666,1.7738,-0.0160,0.0913,1.2164,-0.0160,1.0404

13.3960,-0.9449,0.0447,1.9590,1.6377,1.7121,0.1074,0.3486,0.7929,0.1074,0.6949

14.3950,-1.7165,0.2299,1.9590,3.1811,1.9590,0.0457,0.3486,0.9935,0.0457,0.8581

15.3950,-0.9449,0.0447,1.8973,1.3805,1.8973,0.1074,1.8921,1.0278,0.1074,0.8963

16.3950,-0.9449,0.4151,1.8973,1.3805,1.8973,-0.2013,0.0913,0.7894,-0.2013,0.6479

17.3950,-0.1733,0.1065,3.0704,4.2100,1.4651,-0.0160,0.6059,1.5474,-0.0160,1.3241

18.3950,-1.7165,0.2299,1.8355,2.1522,1.7738,-0.1395,1.1204,0.8992,-0.1395,0.7508

19.3950,-0.1733,0.1682,1.9590,1.3805,1.7738,-0.0160,-1.1949,0.6522,-0.0160,0.5567

20.3950,-1.9737,0.1682,1.8973,1.8950,2.1443,-0.2013,0.6059,0.7895,-0.2013,0.6479

21.3950,-0.6877,-0.0170,2.0208,1.1233,1.7121,0.6630,-0.4232,0.6214,0.6630,0.6273

22.3960,-0.6877,0.8473,1.8355,2.1522,1.6503,-0.2013,0.8631,1.1101,-0.2013,0.9228

23.3950,-0.4305,0.1065,1.7738,1.8950,1.8973,0.2309,0.3486,0.9318,0.2309,0.8316

24.3950,-1.4593,0.0447,1.9590,1.3805,1.8355,1.0335,1.8921,0.9421,1.0335,0.9552

25.3950,-0.1733,-0.0170,1.8973,2.1522,1.5886,0.1074,0.8631,1.0518,0.1074,0.9169

26.3950,-0.9449,0.1065,1.8355,2.1522,1.7738,-0.0160,0.8631,0.9644,-0.0160,0.8243

27.3950,-0.6877,0.1065,1.8973,2.1522,1.7121,0.2309,0.8631,1.0072,0.2309,0.8963

28.3950,-0.9449,-0.4492,2.0825,2.4094,1.6503,0.3544,0.0913,0.8066,0.3544,0.7420

29.3950,-0.6877,0.1065,1.8973,2.4094,1.8355,0.2309,0.6059,1.0278,0.2309,0.9140

30.3950,-0.4305,0.2299,1.8973,2.6666,1.8355,0.2926,0.6059,1.1341,0.2926,1.0139

31.3950,-0.9449,0.0447,2.0825,-1.1918,1.3416,0.4161,0.0913,0.2372,0.4161,0.2628

32.3950,-0.9449,-0.0170,1.8973,4.2100,1.8973,0.4161,0.6059,1.2748,0.4161,1.1521

33.3950,0.5983,0.1065,1.9590,2.4094,1.8973,0.2309,0.6059,1.2627,0.2309,1.1153

