Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.2030,3.8987,4.1096

2.0090,3.9079,4.1199

3.0090,3.8940,4.1045

4.0090,0.2498,0.0553

5.0090,0.2359,0.0399

6.0090,0.2405,0.0450

7.0090,0.2173,0.0193

8.0090,0.2498,0.0553

9.0090,0.2451,0.0501

10.0100,0.2405,0.0450

11.0100,0.2359,0.0399

12.0090,0.2451,0.0501

13.0100,4.0839,4.3154

14.0090,4.3062,4.5624

15.0090,4.2737,4.5264

16.0100,4.2876,4.5418

17.0090,4.2876,4.5418

18.0090,4.3108,4.5675

19.0090,4.2830,4.5367

20.0090,4.2830,4.5367

21.0090,4.2599,4.5109

22.0100,4.2599,4.5109

23.0100,4.1858,4.4286

24.0090,4.2413,4.4904

25.0100,4.2413,4.4904

26.0090,4.2460,4.4955

27.0090,4.2460,4.4955

28.0090,4.2182,4.4646

29.0100,4.2182,4.4646

30.0090,4.2135,4.4595

31.0090,4.2089,4.4544

32.0090,4.1950,4.4389

33.0090,4.2043,4.4492

34.0090,4.2043,4.4492

35.0090,4.2043,4.4492

36.0090,4.1950,4.4389

37.0090,4.1950,4.4389

38.0090,4.1858,4.4286

39.0090,4.1904,4.4338

40.0090,4.1858,4.4286

