Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2020,29.9621,29.9100,29.9655,29.9575,30.0398,26.0335,25.0727,30.1036,29.9670,28.0686,28.8806

1.9270,29.9847,29.9038,29.9715,29.9682,30.0420,26.0312,25.0879,30.0957,29.9741,28.0634,28.8856

2.9270,29.9698,29.8881,29.9780,29.9737,30.0687,26.0361,25.0937,30.0986,29.9757,28.0674,28.8883

3.9270,29.9877,29.9033,29.9780,29.9729,30.0570,26.0276,25.0819,30.1062,29.9798,28.0669,28.8893

4.9270,29.9906,29.9221,29.9908,29.9837,30.0538,26.0357,25.0678,30.0940,29.9882,28.0648,28.8923

5.9270,29.9539,29.9132,29.9866,29.9687,30.0496,26.0357,25.0767,30.1180,29.9744,28.0768,28.8878

6.9270,29.9817,29.9148,29.9830,29.9821,30.0813,26.0470,25.0607,30.1006,29.9886,28.0738,28.8939

7.9270,29.9764,29.9180,29.9923,29.9853,30.0751,26.0516,25.0771,30.1240,29.9894,28.0878,28.9000

8.9270,29.9742,29.9184,29.9964,29.9856,30.0566,26.0358,25.0764,30.0993,29.9862,28.0675,28.8928

9.9270,29.9713,29.9198,30.0199,30.0039,30.0697,26.0502,25.0753,30.1010,29.9969,28.0756,28.9014

10.9270,29.9916,29.9246,29.9998,30.0022,30.0746,26.0537,25.0830,30.1110,29.9986,28.0823,28.9051

11.9270,29.9978,29.9395,30.0058,30.0232,30.0622,26.0679,25.0788,30.0998,30.0057,28.0839,28.9094

12.9280,29.9797,29.9600,30.0479,30.0051,30.0897,26.0365,25.0970,30.0967,30.0165,28.0666,28.9141

13.9270,30.0031,29.9497,30.0291,30.0094,30.0724,26.0661,25.0893,30.0962,30.0127,28.0811,28.9144

14.9270,30.0042,29.9456,30.0246,30.0199,30.0951,26.0446,25.1013,30.1284,30.0179,28.0865,28.9205

15.9280,29.9828,29.9551,30.0331,30.0157,30.1088,26.0661,25.1205,30.1093,30.0191,28.0877,28.9239

16.9270,29.9953,29.9493,30.0344,30.0335,30.0970,26.0480,25.1065,30.0945,30.0219,28.0712,28.9198

17.9280,30.0020,29.9487,30.0408,30.0192,30.1057,26.0504,25.0953,30.0937,30.0233,28.0721,28.9195

18.9280,30.0216,29.9734,30.0360,30.0317,30.1023,26.0715,25.1112,30.1166,30.0330,28.0940,28.9330

19.9270,30.0167,29.9626,30.0542,30.0058,30.1379,26.0495,25.0850,30.1050,30.0354,28.0773,28.9271

20.9270,30.0170,29.9815,30.0530,30.0262,30.1193,26.0494,25.0882,30.1021,30.0394,28.0758,28.9296

21.9270,30.0384,29.9720,30.0694,30.0313,30.1187,26.0634,25.0795,30.1240,30.0460,28.0937,28.9371

22.9270,30.0339,29.9638,30.0230,30.0404,30.1175,26.0574,25.0980,30.1114,30.0357,28.0844,28.9307

23.9270,30.0432,29.9790,30.0646,30.0392,30.1163,26.0470,25.0904,30.0983,30.0485,28.0726,28.9348

24.9270,30.0334,29.9859,30.0677,30.0517,30.1453,26.0687,25.0886,30.1237,30.0568,28.0962,28.9456

25.9270,30.0394,29.9999,30.0502,30.0493,30.1358,26.0497,25.0969,30.1437,30.0549,28.0967,28.9456

26.9280,30.0300,29.9933,30.0695,30.0512,30.1433,26.0729,25.0932,30.1344,30.0575,28.1036,28.9485

27.9270,30.0522,29.9959,30.0621,30.0725,30.1256,26.0668,25.0885,30.1316,30.0617,28.0992,28.9494

28.9270,30.0533,30.0088,30.0760,30.0544,30.1423,26.0736,25.0883,30.1478,30.0670,28.1107,28.9556

29.9270,30.0610,30.0009,30.0761,30.0780,30.1475,26.0709,25.0960,30.1329,30.0727,28.1019,28.9579

30.9270,30.0458,30.0202,30.0856,30.0875,30.1585,26.0722,25.1072,30.1309,30.0795,28.1016,28.9635

31.9280,30.0684,30.0134,30.0750,30.0586,30.1568,26.0614,25.0916,30.1549,30.0744,28.1081,28.9600

32.9270,30.0579,30.0103,30.0785,30.0733,30.1565,26.0655,25.0863,30.1491,30.0753,28.1073,28.9597

