Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.2060,0.0000,0.0553

2.1340,0.0000,0.0501

3.1340,0.0000,0.0501

4.1350,0.0000,0.0501

5.1340,0.0000,0.0501

6.1340,0.0000,0.0450

7.1340,0.0000,0.0347

8.1340,0.0000,0.0450

9.1340,0.0000,0.0296

10.1340,0.0000,0.0193

11.1350,0.0000,0.0450

12.1340,0.0000,0.0399

13.1350,0.0000,0.0604

14.1340,0.0000,0.0193

15.1340,0.0000,0.0553

16.1340,0.0000,0.0759

17.1340,0.0000,0.0707

18.1340,0.9995,1.0740

19.1350,0.0000,0.0707

20.1340,0.0000,0.0296

21.1340,0.0000,0.0399

22.1340,0.0000,0.0604

23.1350,0.0000,0.0501

24.1350,0.0000,0.0501

25.1340,0.0000,0.0450

26.1350,0.0000,0.0399

27.1340,0.0000,0.1016

28.1340,0.0000,0.0399

29.1340,0.0000,0.0501

30.1350,0.0000,0.0501

31.1340,0.0000,0.0501

32.1340,0.0000,0.0604

33.1340,0.0000,0.0399

34.1340,0.0000,0.0399

35.1350,0.0000,0.0347

36.1340,0.0000,-0.0167

37.1340,0.0000,0.0399

38.1350,0.0000,0.0347

39.1340,0.0000,-0.0322

40.1340,0.0000,0.0604

41.1340,0.0000,0.0450

42.1340,0.0000,0.1325

43.1340,0.0000,0.0656

44.1340,0.0000,0.0759

45.1340,0.0000,0.0244

46.1350,0.0000,0.0501

47.1340,0.0000,0.0450

48.1350,0.0000,0.0399

49.1340,0.0000,0.0553

50.1340,0.0000,0.0553

51.1340,0.0000,0.0656

52.1340,0.0000,0.0296

53.1340,0.0000,0.0450

54.1340,0.0000,0.0553

55.1340,0.0000,0.0604

56.1340,0.0000,0.0501

57.1350,0.0000,0.0244

58.1350,0.0000,0.1067

59.1350,0.0000,0.0347

60.1340,0.0000,0.0399

61.1340,0.0000,0.0656

62.1340,0.0000,0.0399

63.1340,0.0000,0.0399

64.1340,0.0000,0.0604

65.1350,0.0000,0.0296

66.1340,0.0000,0.0604

67.1340,0.0000,0.0296

68.1340,0.0000,0.0501

69.1340,0.0000,0.0707

70.1340,0.0000,0.0347

71.1340,0.0000,0.0141

72.1340,0.0000,0.0604

73.1350,0.0000,0.0501

74.1340,0.0000,0.0450

75.1340,0.0000,0.0399

76.1350,0.0000,0.0296

77.1340,0.0000,0.0399

78.1340,0.0000,0.0141

79.1340,0.0000,0.0553

80.1340,0.0000,0.0399

81.1340,0.0000,0.0244

82.1340,0.0000,0.0501

83.1340,0.0000,0.0399

84.1350,0.0000,0.0862

85.1340,0.0000,0.0399

86.1340,0.0000,0.0450

87.1350,0.0000,0.0193

88.1340,0.0000,0.0553

89.1350,0.0000,0.0399

90.1340,0.0000,0.0553

91.1340,0.0000,0.0347

92.1350,0.0000,0.0193

93.1350,0.0000,0.0501

94.1340,1.3375,1.4239

95.1340,1.3673,1.4548

96.1340,1.3574,1.4445

97.1340,1.4418,1.5319

98.1350,1.3772,1.4650

99.1350,1.3772,1.4650

100.1340,1.3971,1.4856

101.1340,1.3673,1.4548

102.1340,1.3524,1.4393

103.1350,1.3474,1.4342

104.1340,1.3524,1.4393

105.1340,1.3772,1.4650

106.1340,1.4369,1.5268

107.1340,1.5263,1.6194

108.1350,1.5363,1.6297

109.1340,1.5313,1.6245

110.1360,1.5313,1.6245

111.1340,1.5462,1.6400

112.1340,1.5611,1.6554

113.1340,1.5512,1.6451

114.1350,1.5611,1.6554

115.1340,1.5562,1.6503

116.1350,1.5611,1.6554

117.1350,1.5512,1.6451

118.1340,1.5611,1.6554

119.1340,1.5760,1.6709

120.1340,1.5760,1.6709

121.1340,1.5661,1.6606

122.1340,1.5611,1.6554

123.1340,1.5959,1.6914

124.1350,1.5910,1.6863

125.1350,1.5760,1.6709

126.1340,1.5512,1.6451

127.1340,1.5164,1.6091

128.1340,1.5810,1.6760

129.1340,1.5711,1.6657

130.1340,1.5860,1.6811

131.1340,1.5810,1.6760

132.1340,1.5860,1.6811

133.1340,1.5959,1.6914

134.1340,1.5611,1.6554

135.1340,1.5711,1.6657

136.1340,1.5562,1.6503

137.1340,1.5760,1.6709

138.1340,1.5810,1.6760

139.1340,1.5860,1.6811

140.1340,1.5711,1.6657

141.1340,1.5214,1.6143

142.1340,1.5810,1.6760

143.1340,1.5860,1.6811

144.1350,1.5760,1.6709

145.1340,1.5562,1.6503

146.1340,1.5562,1.6503

147.1340,1.5462,1.6400

148.1350,1.5711,1.6657

149.1340,1.5810,1.6760

150.1340,1.5462,1.6400

151.1340,1.5661,1.6606

152.1340,1.6506,1.7480

153.1340,1.5711,1.6657

154.1340,1.5711,1.6657

155.1340,1.5760,1.6709

156.1340,1.5711,1.6657

157.1340,1.5611,1.6554

158.1340,1.5661,1.6606

159.1340,1.5611,1.6554

160.1340,1.5512,1.6451

161.1340,1.5611,1.6554

162.1340,1.5760,1.6709

163.1340,1.5214,1.6143

164.1340,1.5711,1.6657

165.1340,1.5860,1.6811

166.1340,1.5760,1.6709

167.1340,1.5711,1.6657

168.1340,1.5860,1.6811

169.1340,1.5711,1.6657

170.1340,1.5860,1.6811

171.1340,1.5711,1.6657

172.1340,1.5959,1.6914

173.1340,1.5661,1.6606

174.1340,1.6059,1.7017

175.1340,1.5611,1.6554

176.1340,1.6009,1.6966

177.1340,1.5860,1.6811

178.1340,1.5611,1.6554

179.1340,1.6009,1.6966

180.1340,1.5711,1.6657

181.1350,1.5760,1.6709

182.1340,1.5760,1.6709

183.1340,1.5711,1.6657

184.1340,1.6059,1.7017

185.1350,1.5810,1.6760

186.1340,1.5760,1.6709

187.1340,1.5611,1.6554

188.1340,1.5661,1.6606

189.1340,1.5661,1.6606

190.1340,1.5910,1.6863

191.1340,1.5760,1.6709

192.1340,1.5611,1.6554

193.1340,1.5959,1.6914

194.1350,1.5711,1.6657

195.1340,1.5959,1.6914

196.1340,1.5562,1.6503

197.1350,1.5562,1.6503

198.1340,1.6009,1.6966

199.1340,1.5910,1.6863

200.1340,1.5910,1.6863

201.1340,1.5661,1.6606

202.1340,1.6158,1.7120

203.1340,1.5860,1.6811

204.1350,1.5910,1.6863

205.1340,1.5760,1.6709

206.1350,1.5810,1.6760

207.1340,1.5810,1.6760

208.1340,1.5760,1.6709

209.1340,1.5611,1.6554

210.1340,1.5910,1.6863

211.1350,1.6009,1.6966

212.1340,1.5860,1.6811

213.1340,1.5959,1.6914

214.1340,1.6009,1.6966

215.1340,1.5910,1.6863

216.1340,1.5810,1.6760

217.1350,1.5910,1.6863

218.1340,1.5860,1.6811

219.1340,1.5959,1.6914

220.1350,1.5959,1.6914

221.1340,1.5959,1.6914

222.1350,1.6407,1.7377

223.1340,1.5910,1.6863

224.1340,1.5959,1.6914

225.1340,1.5810,1.6760

226.1340,1.6009,1.6966

227.1340,1.6009,1.6966

228.1350,1.5810,1.6760

229.1340,1.6158,1.7120

230.1340,1.6009,1.6966

231.1340,1.5959,1.6914

232.1340,1.5711,1.6657

233.1340,1.5910,1.6863

234.1350,1.6357,1.7326

235.1350,1.6009,1.6966

236.1340,1.5959,1.6914

237.1340,1.5860,1.6811

238.1340,1.5910,1.6863

239.1340,1.5810,1.6760

240.1340,1.6059,1.7017

241.1350,1.5263,1.6194

242.1340,1.6307,1.7274

243.1340,1.5910,1.6863

244.1350,1.5910,1.6863

245.1350,1.6158,1.7120

246.1340,1.5910,1.6863

247.1350,1.5860,1.6811

248.1340,1.6108,1.7069

249.1340,1.6108,1.7069

250.1340,1.6158,1.7120

251.1340,1.6059,1.7017

252.1340,1.6158,1.7120

253.1340,1.6407,1.7377

254.1340,1.6257,1.7223

255.1340,1.6357,1.7326

256.1340,1.6407,1.7377

257.1340,1.6257,1.7223

258.1340,1.6556,1.7532

259.1340,1.6357,1.7326

260.1350,1.6456,1.7429

261.1340,1.6556,1.7532

262.1340,1.6655,1.7635

