Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.2060,4.4562,4.4280,6.6513,7.5540,6.4663,10.5408,5.4937,5.8416,10.5408,6.5129

2.1340,4.1990,4.2428,6.7748,7.8112,6.5898,10.7877,5.2364,5.8090,10.7877,6.5202

3.1340,4.1990,4.2428,6.8983,6.7823,5.8488,10.8495,4.7219,5.4489,10.8495,6.2204

4.1350,4.7134,4.4897,6.7130,7.0395,6.6515,10.6025,5.7509,5.8930,10.6025,6.5658

5.1340,3.6847,4.1810,7.1452,7.5540,6.5898,10.8495,5.7509,5.8176,10.8495,6.5364

6.1340,3.6847,4.3045,6.5278,7.2968,6.6515,10.6025,6.0082,5.7456,10.6025,6.4394

7.1340,3.9418,4.3045,6.6513,6.5251,6.5898,10.6025,4.9792,5.4986,10.6025,6.2277

8.1340,3.4275,4.3045,6.7748,6.0106,6.5280,10.6642,5.2364,5.3803,10.6642,6.1351

9.1340,3.9418,4.1810,6.8983,8.8401,6.3428,10.7877,5.7509,5.9925,10.7877,6.6775

10.1340,4.1990,4.4280,6.8365,7.2968,6.5280,10.6025,5.4937,5.7970,10.6025,6.4835

11.1350,4.7134,4.1810,6.4661,6.7823,6.5898,10.7877,5.2364,5.6615,10.7877,6.3938

12.1340,3.6847,4.1193,6.8365,6.7823,6.5898,10.9112,4.9792,5.4986,10.9112,6.2718

13.1350,3.6847,4.2428,6.7748,3.6956,6.7750,10.5408,4.9792,5.0253,10.5408,5.8132

14.1340,4.1990,4.1193,6.7748,9.3546,6.4663,10.7877,5.2364,6.0251,10.7877,6.7054

15.1340,3.9418,4.6749,6.6513,6.7823,6.6515,10.4173,5.2364,5.6564,10.4173,6.3365

16.1340,3.9418,4.2428,6.8983,7.2968,6.4045,10.6642,4.9792,5.6272,10.6642,6.3468

17.1340,4.4562,4.2428,6.7748,6.5251,6.5280,3.9350,4.2074,5.4557,3.9350,5.2385

18.1340,3.6847,4.1810,6.7130,7.0395,6.6515,1.7126,6.0082,5.7130,1.7126,5.1415

19.1350,4.4562,4.1193,6.8365,6.5251,6.6515,1.7743,5.7509,5.7233,1.7743,5.1591

20.1340,3.9418,4.1810,6.5278,7.0395,6.4045,1.8978,5.2364,5.5552,1.8978,5.0327

21.1340,4.1990,4.3045,6.8365,6.2678,6.4663,1.6508,5.4937,5.5946,1.6508,5.0312

22.1340,4.1990,4.2428,6.6513,6.2678,6.5280,1.5891,5.2364,5.5209,1.5891,4.9592

23.1350,3.9418,4.1193,6.6513,6.7823,6.4045,1.7126,5.2364,5.5226,1.7126,4.9783

24.1350,4.7134,4.1193,6.7130,6.7823,6.5280,1.8360,4.4647,5.5535,1.8360,5.0224

25.1340,4.4562,4.0576,6.8365,6.2678,6.4663,1.5891,5.7509,5.6392,1.5891,5.0606

26.1350,4.4562,4.1193,6.5896,6.5251,6.4045,1.7126,5.2364,5.5552,1.7126,5.0062

27.1340,4.1990,4.1193,6.3426,7.0395,6.3428,1.6508,6.0082,5.6752,1.6508,5.1003

28.1340,3.9418,4.6132,6.6513,7.0395,6.3428,1.2804,5.4937,5.6804,1.2804,5.0518

29.1340,3.9418,4.1810,6.6513,7.2968,6.4663,1.4656,5.4937,5.6718,1.4656,5.0709

30.1350,3.1703,4.2428,6.4661,6.0106,6.4045,2.0830,5.4937,5.2980,2.0830,4.8387

31.1340,3.4275,4.1810,6.8983,6.5251,6.4663,1.8360,5.4937,5.4986,1.8360,4.9754

32.1340,4.1990,4.3045,6.7748,6.0106,6.3428,1.8978,5.2364,5.4780,1.8978,4.9666

33.1340,3.9418,4.1193,6.6513,6.7823,6.4663,1.7743,6.0082,5.6615,1.7743,5.1062

34.1340,4.4562,4.3045,6.3426,6.5251,6.6515,1.6508,5.4937,5.6289,1.6508,5.0606

35.1350,11.6578,4.5515,6.2809,7.2968,6.5280,1.5891,6.0082,7.0538,1.5891,6.2732

36.1340,3.9418,4.3663,6.4661,6.5251,6.5280,1.7743,6.7799,5.7679,1.7743,5.1974

37.1340,3.1703,4.1193,6.5278,7.5540,6.5280,1.5891,5.2364,5.5226,1.5891,4.9607

38.1350,4.9706,4.0576,6.8365,5.7534,6.4663,1.7126,6.0082,5.6821,1.7126,5.1150

39.1340,3.9418,4.1810,6.4043,6.7823,6.5280,1.7126,5.4937,5.5552,1.7126,5.0063

40.1340,3.6847,4.1193,6.7130,7.0395,4.3670,2.3299,3.9501,4.9789,2.3299,4.6005

41.1340,5.7422,4.4280,6.5896,7.0395,6.4045,1.6508,5.7509,5.9925,1.6508,5.3722

42.1340,4.4562,4.1810,6.6513,6.5251,6.4045,1.8360,2.4066,5.1041,1.8360,4.6373

43.1340,4.1990,4.3663,6.6513,5.2389,5.8488,2.1447,4.7219,5.1710,2.1447,4.7387

44.1340,3.9418,4.3663,6.7130,6.7823,6.5280,1.7743,4.7219,5.5089,1.7743,4.9754

45.1340,3.9418,4.1193,6.7130,6.5251,6.4663,1.7743,3.9501,5.2859,1.7743,4.7843

46.1350,3.4275,4.2428,6.5896,7.2968,6.5280,1.5274,5.4937,5.5964,1.5274,5.0151

47.1340,3.6847,4.1193,6.7130,7.2968,6.4045,1.9595,5.4937,5.6187,1.9595,5.0959

48.1350,4.1990,4.2428,6.6513,6.5251,6.4663,1.4656,5.7509,5.6392,1.4656,5.0430

49.1340,4.9706,4.3045,6.6513,7.2968,6.4045,1.7126,5.2364,5.8107,1.7126,5.2252

50.1340,4.1990,4.2428,6.5896,7.5540,6.3428,2.8238,5.4937,5.7370,2.8238,5.3208

51.1340,3.6847,4.1810,6.7748,6.0106,6.5280,1.4656,3.9501,5.1882,1.4656,4.6564

52.1340,4.4562,4.1810,6.7130,6.5251,6.5280,1.5891,6.0082,5.7353,1.5891,5.1430

53.1340,4.1990,4.1810,6.9600,6.5251,6.7750,1.7126,5.7509,5.7318,1.7126,5.1577

54.1340,3.1703,4.3663,6.4661,8.3257,6.5280,1.8360,5.4937,5.7250,1.8360,5.1694

55.1340,3.6847,4.3663,7.0835,7.0395,6.4045,1.6508,5.2364,5.6358,1.6508,5.0665

56.1340,3.1703,4.1193,6.6513,7.5540,6.3428,2.0212,4.9792,5.4695,2.0212,4.9769

57.1350,4.1990,4.2428,6.7130,7.0395,6.5280,1.5891,6.0082,5.7884,1.5891,5.1885

58.1350,3.4275,4.1810,6.5896,7.0395,6.4045,1.7126,4.9792,5.4369,1.7126,4.9048

59.1350,4.7134,4.0576,6.8365,6.7823,6.3428,1.5891,5.2364,5.6615,1.5891,5.0797

60.1340,0.5983,3.8106,7.0835,6.0106,6.5280,1.6508,5.4937,4.9208,1.6508,4.4536

61.1340,4.1990,4.2428,6.5896,6.5251,6.5898,1.8978,4.9792,5.5209,1.8978,5.0033

62.1340,6.2566,4.1810,6.8365,6.5251,6.4663,1.5274,5.4937,5.9599,1.5274,5.3267

63.1340,4.1990,4.4280,6.6513,7.2968,6.5898,1.5891,6.0082,5.8622,1.5891,5.2517

64.1340,4.4562,4.3045,6.6513,6.5251,6.5898,1.6508,4.7219,5.5415,1.6508,4.9857

65.1350,4.4562,4.1193,6.8365,7.2968,6.4045,1.7126,5.2364,5.7250,1.7126,5.1518

66.1340,3.6847,4.2428,6.8983,7.2968,6.5280,1.6508,4.4647,5.5192,1.6508,4.9666

67.1340,5.4850,4.2428,6.6513,5.7534,6.3428,1.7126,6.0082,5.7472,1.7126,5.1709

68.1340,4.1990,4.2428,6.5896,6.7823,6.5898,1.6508,3.6929,5.3494,1.6508,4.8210

69.1340,3.4275,4.1810,6.7748,6.0106,6.2810,2.0212,4.2074,5.1471,2.0212,4.7005

70.1340,4.7134,4.1193,6.7130,7.2968,6.4663,1.7743,4.9792,5.7147,1.7743,5.1518

71.1340,4.1990,4.1810,6.5896,7.0395,6.3428,1.5274,5.4937,5.6409,1.5274,5.0533

72.1340,4.1990,4.1193,6.5896,7.5540,6.4045,1.7743,5.2364,5.6838,1.7743,5.1253

73.1350,4.1990,4.3663,6.7130,5.4962,7.2072,1.2804,5.7509,5.6221,1.2804,5.0019

74.1340,4.4562,4.3045,6.5896,6.2678,6.4045,1.4039,5.7509,5.6289,1.4039,5.0254

75.1340,6.7710,4.0576,6.8365,6.5251,6.4663,1.8360,4.9792,5.9393,1.8360,5.3531

76.1350,1.3699,4.1810,6.6513,7.5540,6.4045,2.0212,5.4937,5.2757,2.0212,4.8108

77.1340,4.7134,4.0576,6.4043,7.0395,6.4045,2.6386,5.7509,5.7284,2.6386,5.2870

78.1340,4.4562,4.1193,6.5896,6.5251,6.5280,1.7126,4.9792,5.5329,1.7126,4.9871

79.1340,4.1990,4.2428,6.5896,7.0395,6.5280,1.3421,5.4937,5.6821,1.3421,5.0621

80.1340,3.6847,4.2428,6.8983,7.0395,6.4045,1.6508,4.7219,5.4986,1.6508,4.9489

81.1340,4.1990,4.1810,6.5278,6.5251,6.4663,1.7126,5.4937,5.5655,1.7126,5.0151

82.1340,3.4275,4.2428,6.5896,7.0395,6.4663,1.7743,3.6929,5.2431,1.7743,4.7475

83.1340,3.4275,4.3045,6.5896,6.7823,6.4663,1.7126,5.2364,5.4678,1.7126,4.9313

84.1350,5.2278,4.3663,6.5896,6.7823,6.5898,1.5891,6.7799,6.0559,1.5891,5.4178

85.1340,3.4275,4.1193,6.5896,7.0395,6.4663,1.7126,5.2364,5.4798,1.7126,4.9416

86.1340,3.4275,4.1810,6.0956,7.2968,6.3428,1.7126,8.3234,5.9445,1.7126,5.3400

87.1350,3.6847,4.2428,6.7748,6.5251,6.4045,1.0335,6.2654,5.6495,1.0335,4.9901

88.1340,3.9418,4.2428,6.4043,6.7823,6.4045,2.0212,4.2074,5.3305,2.0212,4.8578

89.1350,3.9418,4.1810,6.8365,6.0106,6.5898,1.3421,5.4937,5.5089,1.3421,4.9137

