Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9160,26.8843,26.1081,24.4368,24.5753,24.0522,25.0631,24.8370,26.7683,25.2113,25.9157,25.3406

2.4190,26.8783,26.1080,24.4475,24.5945,24.0632,25.0509,24.8473,26.7944,25.2183,25.9226,25.3480

3.4190,26.8884,26.1077,24.4199,24.5574,24.0549,24.9670,24.8522,26.8068,25.2057,25.8869,25.3318

4.4190,26.8840,26.1125,24.4620,24.5986,24.0572,24.7708,24.8509,26.7501,25.2229,25.7605,25.3108

5.4190,26.8687,26.1160,24.4485,24.5681,24.0668,24.6170,24.8563,26.7334,25.2136,25.6752,25.2844

6.4190,26.8879,26.1042,24.4645,24.5732,24.0686,24.5526,24.8534,26.6738,25.2197,25.6132,25.2723

7.4190,26.8780,26.1208,24.4576,24.5965,24.0658,24.4959,24.8304,26.6285,25.2237,25.5622,25.2592

8.4200,26.9145,26.1031,24.4649,24.5868,24.0579,24.4715,24.8292,26.5981,25.2255,25.5348,25.2533

9.4190,26.8943,26.0966,24.4375,24.5807,24.0618,24.4484,24.8462,26.5830,25.2142,25.5157,25.2436

10.4190,26.8942,26.1037,24.4475,24.5770,24.0688,24.4205,24.8421,26.5815,25.2183,25.5010,25.2419

11.4200,26.8753,26.1129,24.4601,24.5843,24.0895,24.4256,24.8296,26.5772,25.2244,25.5014,25.2443

12.4190,26.8853,26.1064,24.4469,24.5627,24.0797,24.4290,24.8197,26.5476,25.2162,25.4883,25.2346

13.4190,26.8833,26.1117,24.4569,24.5841,24.0772,24.4431,24.8184,26.5386,25.2226,25.4908,25.2392

14.4200,26.8861,26.1284,24.4368,24.5809,24.0909,24.4374,24.8474,26.5536,25.2246,25.4955,25.2452

15.4190,26.8769,26.1283,24.4438,24.5827,24.0661,24.4249,24.8341,26.5312,25.2196,25.4780,25.2360

16.4190,26.8936,26.1296,24.4508,24.5751,24.0583,24.4379,24.8350,26.5277,25.2215,25.4828,25.2385

17.4190,26.8659,26.1185,24.4618,24.5951,24.0626,24.4303,24.8564,26.5225,25.2207,25.4764,25.2391

18.4190,26.8715,26.1083,24.4332,24.5788,24.0531,24.4104,24.8434,26.5399,25.2090,25.4752,25.2298

19.4190,26.8665,26.1120,24.4515,24.5673,24.0793,24.4229,24.8305,26.5302,25.2153,25.4766,25.2325

20.4190,26.8931,26.1130,24.4483,24.5910,24.0591,24.4638,24.8410,26.5342,25.2209,25.4990,25.2429

21.4190,26.8696,26.1113,24.4405,24.5657,24.0611,24.4303,24.8247,26.5498,25.2096,25.4901,25.2316

22.4200,26.8900,26.1280,24.4331,24.5508,24.0669,24.4559,24.8489,26.5424,25.2138,25.4992,25.2395

23.4190,26.8972,26.1123,24.4523,24.5756,24.0590,24.4300,24.8270,26.5519,25.2193,25.4910,25.2382

24.4190,26.8853,26.1115,24.4373,24.6013,24.0692,24.4361,24.8470,26.5391,25.2209,25.4876,25.2408

25.4190,26.8888,26.1180,24.4197,24.5691,24.0860,24.4556,24.8332,26.5515,25.2163,25.5036,25.2402

26.4190,26.8849,26.1200,24.4331,24.5532,24.0708,24.4679,24.8164,26.5303,25.2124,25.4991,25.2346

27.4190,26.8836,26.1048,24.4368,24.5918,24.0808,24.4599,24.8238,26.5487,25.2195,25.5043,25.2412

28.4190,26.8811,26.1140,24.4484,24.5764,24.0712,24.4404,24.8236,26.5476,25.2182,25.4940,25.2378

29.4190,26.9025,26.1026,24.4351,24.5778,24.0520,24.4831,24.8117,26.5483,25.2140,25.5157,25.2392

30.4190,26.8909,26.1188,24.4337,24.5765,24.0593,24.4256,24.8373,26.5749,25.2158,25.5003,25.2396

31.4200,26.9037,26.1036,24.4460,24.5726,24.0679,24.4598,24.8235,26.5566,25.2188,25.5082,25.2417

32.4190,26.8839,26.0969,24.4549,24.5541,24.0514,24.4579,24.8244,26.5675,25.2083,25.5127,25.2364

33.4190,26.8936,26.1026,24.4468,24.5867,24.0616,24.4482,24.8329,26.5479,25.2183,25.4981,25.2401

34.4190,26.8842,26.0965,24.4356,24.5670,24.0563,24.4515,24.8269,26.5682,25.2079,25.5099,25.2358

35.4190,26.8766,26.0932,24.4488,24.5589,24.0554,24.4548,24.8363,26.5899,25.2066,25.5223,25.2392

36.4190,26.8792,26.1271,24.4308,24.5669,24.0533,24.4475,24.8296,26.5595,25.2114,25.5035,25.2367

37.4200,26.8864,26.1195,24.4227,24.5456,24.0681,24.4585,24.8144,26.5917,25.2085,25.5251,25.2384

38.4190,26.8910,26.1096,24.4487,24.5668,24.0722,24.4357,24.8272,26.5491,25.2177,25.4924,25.2375

39.4190,26.8842,26.1009,24.4390,24.5689,24.0635,24.4695,24.8113,26.5725,25.2113,25.5210,25.2387

