Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2710,2387.2707,24.0297,23.6670,23.7072,2386.6606,2387.2707,2387.2707,2387.2707,969.0671,2387.2707,1500.8934

1.6590,2387.2714,24.0346,23.6629,23.7287,2386.6608,2387.2714,2387.2714,2387.2714,969.0717,2387.2714,1500.8965

2.6580,2387.2739,24.0227,23.6638,23.7163,2386.6635,2387.2739,2387.2739,2387.2739,969.0681,2387.2739,1500.8952

3.6590,2387.2747,24.0095,23.6672,23.7102,2386.6646,2387.2747,2387.2747,2387.2747,969.0652,2387.2747,1500.8938

4.6580,2387.2766,24.0245,23.6637,23.7238,2386.6671,2387.2766,2387.2766,2387.2766,969.0711,2387.2766,1500.8982

5.6590,2387.2792,24.0139,23.6503,23.7245,2386.6687,2387.2792,2387.2792,2387.2792,969.0673,2387.2792,1500.8968

6.6580,2387.2808,24.0293,23.6586,23.7357,2386.6701,2387.2808,2387.2808,2387.2808,969.0749,2387.2808,1500.9021

7.6580,2387.2824,24.0332,23.6644,23.7339,2386.6722,2387.2824,2387.2824,2387.2824,969.0772,2387.2824,1500.9042

8.6580,2387.2843,24.0272,23.6608,23.7170,2386.6735,2387.2843,2387.2843,2387.2843,969.0726,2387.2843,1500.9020

9.6600,2387.2866,24.0329,23.6731,23.7123,2386.6754,2387.2866,2387.2866,2387.2866,969.0761,2387.2866,1500.9050

10.6590,2387.2882,24.0141,23.6614,23.7280,2386.6766,2387.2882,2387.2882,2387.2882,969.0737,2387.2882,1500.9041

11.6580,2387.2894,24.0123,23.6629,23.7210,2386.6787,2387.2894,2387.2894,2387.2894,969.0729,2387.2894,1500.9040

12.6580,2387.2913,24.0306,23.6631,23.7516,2386.6792,2387.2913,2387.2913,2387.2913,969.0832,2387.2913,1500.9112

13.6580,2387.2932,24.0211,23.6636,23.7284,2386.6810,2387.2932,2387.2932,2387.2932,969.0774,2387.2932,1500.9084

14.6580,2387.2944,24.0483,23.6818,23.7268,2386.6835,2387.2944,2387.2944,2387.2944,969.0869,2387.2944,1500.9147

15.6580,2387.2954,24.0224,23.6422,23.7320,2386.6836,2387.2954,2387.2954,2387.2954,969.0751,2387.2954,1500.9077

16.6580,2387.2968,24.0228,23.6814,23.7287,2386.6844,2387.2968,2387.2968,2387.2968,969.0828,2387.2968,1500.9131

17.6580,2387.2982,24.0237,23.6515,23.7239,2386.6862,2387.2982,2387.2982,2387.2982,969.0767,2387.2982,1500.9097

18.6580,2387.2989,24.0365,23.6653,23.7414,2386.6872,2387.2989,2387.2989,2387.2989,969.0859,2387.2989,1500.9158

19.6590,2387.3009,24.0373,23.6694,23.7247,2386.6879,2387.3009,2387.3009,2387.3009,969.0840,2387.3009,1500.9154

20.6590,2387.3012,24.0265,23.6718,23.7357,2386.6881,2387.3012,2387.3012,2387.3012,969.0847,2387.3012,1500.9159

21.6580,2387.3015,24.0485,23.6632,23.7270,2386.6887,2387.3015,2387.3015,2387.3015,969.0858,2387.3015,1500.9167

22.6580,2387.3025,24.0421,23.6519,23.7357,2386.6899,2387.3025,2387.3025,2387.3025,969.0844,2387.3025,1500.9162

23.6580,2387.3032,24.0414,23.6409,23.7421,2386.6905,2387.3032,2387.3032,2387.3032,969.0836,2387.3032,1500.9160

