Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.2360,-30.0083,-4.0299,-1.6837,-28.9724,-1.3133,0.0457,-29.7500,-15.9596,0.0457,-13.6731

1.9830,-31.0371,-2.3630,-2.6098,-25.6285,-1.9308,0.1074,-29.2355,-15.4674,0.1074,-13.2425

2.9840,-30.0083,-4.0916,-1.9306,-27.6863,-1.6838,-0.0778,-29.7500,-15.8584,-0.0778,-13.6041

3.9830,-31.0371,-3.9681,-1.7454,-27.4290,-1.8073,0.0457,-29.7500,-15.9562,0.0457,-13.6702

