Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.1240,23.6910,23.7325,23.0863,23.0570,23.0797,23.2672,23.1877,23.3576,23.3057,23.3124,23.3074

1.5900,23.6580,23.7128,23.0836,23.0751,23.0552,23.2351,23.1694,23.3775,23.2924,23.3063,23.2959

2.5900,23.6859,23.7339,23.0972,23.0806,23.0721,23.2616,23.1831,23.3534,23.3088,23.3075,23.3085

3.5900,23.6915,23.7124,23.0828,23.0762,23.1017,23.2857,23.1906,23.3424,23.3092,23.3141,23.3104

4.5910,23.6871,23.6999,23.1033,23.0906,23.0891,23.2571,23.1710,23.3678,23.3068,23.3124,23.3082

5.5900,23.7006,23.7178,23.1023,23.0952,23.0702,23.2730,23.1926,23.3691,23.3131,23.3210,23.3151

