Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.8410,24.2354,24.4640,23.9080,24.1458,23.7305,23.7423,24.5840,24.0614,24.0967,23.9019,24.1089

2.6420,24.2043,24.4852,23.9184,24.1250,23.7225,23.7494,24.5910,24.0384,24.0911,23.8939,24.1043

3.6420,24.2216,24.4680,23.9357,24.1447,23.7133,23.7450,24.5852,24.0448,24.0966,23.8949,24.1073

4.6430,24.2145,24.4751,23.9305,24.1347,23.7502,23.7374,24.5970,24.0452,24.1010,23.8913,24.1106

5.6420,24.2030,24.4799,23.9117,24.1344,23.6923,23.7401,24.5933,24.0394,24.0843,23.8898,24.0993

6.6440,24.2215,24.4729,23.9269,24.1227,23.7316,23.7335,24.5977,24.0480,24.0951,23.8907,24.1069

7.6420,24.2026,24.4683,23.9199,24.1473,23.7057,23.7307,24.6082,24.0334,24.0888,23.8821,24.1020

8.6420,24.2104,24.4979,23.9325,24.1467,23.7205,23.7484,24.6047,24.0269,24.1016,23.8877,24.1110

9.6420,24.2301,24.4585,23.8955,24.1451,23.7280,23.7573,24.5965,24.0382,24.0914,23.8977,24.1061

10.6420,24.2166,24.4583,23.9256,24.1260,23.7182,23.7598,24.6133,24.0516,24.0889,23.9057,24.1087

11.6420,24.2172,24.4627,23.9195,24.1342,23.7141,23.7477,24.6045,24.0508,24.0895,23.8992,24.1063

12.6430,24.1971,24.4628,23.9210,24.1385,23.7238,23.7517,24.5946,24.0605,24.0886,23.9061,24.1063

13.6430,24.2156,24.4739,23.9128,24.1208,23.7026,23.7405,24.6138,24.0530,24.0852,23.8967,24.1041

14.6420,24.2139,24.4492,23.8942,24.1401,23.7235,23.7505,24.5849,24.0394,24.0842,23.8949,24.0995

15.6430,24.2137,24.4791,23.9241,24.1388,23.7182,23.7210,24.5854,24.0600,24.0948,23.8905,24.1050

16.6420,24.2130,24.4685,23.9253,24.1339,23.6877,23.7208,24.6032,24.0466,24.0857,23.8837,24.0999

17.6420,24.2187,24.4621,23.9043,24.1284,23.7412,23.7506,24.5902,24.0447,24.0909,23.8977,24.1050

18.6420,24.2129,24.4614,23.9216,24.1206,23.7311,23.7575,24.5720,24.0658,24.0895,23.9117,24.1054

19.6420,24.2229,24.4721,23.9096,24.1394,23.7132,23.7454,24.5969,24.0570,24.0914,23.9012,24.1071

20.6430,24.2253,24.1353,23.9013,24.1277,23.7856,23.7435,24.6080,24.0702,24.0350,23.9068,24.0746

21.6420,24.1513,23.8739,23.9534,24.1439,24.0076,23.7551,24.5986,24.0435,24.0260,23.8993,24.0659

22.6420,23.9632,23.8815,24.2242,24.3230,23.9793,23.7452,24.5929,24.0445,24.0743,23.8949,24.0942

23.6420,23.8705,24.1239,24.3295,24.3985,23.8956,23.7584,24.5970,24.0506,24.1236,23.9045,24.1280

24.6420,23.9295,24.1879,24.1278,24.3509,23.8590,23.7243,24.6033,24.0354,24.0910,23.8798,24.1023

25.6420,23.9888,24.0421,24.0643,24.2969,23.9538,23.7505,24.5824,24.0508,24.0692,23.9006,24.0912

26.6420,23.9486,23.9923,24.1474,24.3322,23.9704,23.7453,24.6073,24.0522,24.0782,23.8987,24.0995

27.6430,23.9106,24.0778,24.2324,24.3804,23.9532,23.7541,24.5997,24.0544,24.1109,23.9043,24.1203

28.6420,23.9010,24.1294,24.1951,24.3861,23.9289,23.7478,24.5841,24.0556,24.1081,23.9017,24.1160

29.6430,23.9528,24.1079,24.1561,24.3594,23.9329,23.7381,24.5853,24.0459,24.1018,23.8920,24.1098

30.6420,23.9558,24.0775,24.1655,24.3730,23.9832,23.7411,24.5890,24.0494,24.1110,23.8952,24.1168

31.6420,23.9028,24.0720,24.2148,24.3939,23.9817,23.7666,24.5971,24.0649,24.1130,23.9158,24.1242

32.6420,23.9250,24.1428,24.2232,24.4056,23.9552,23.7420,24.5899,24.0455,24.1304,23.8938,24.1287

33.6430,23.9588,24.1217,24.1856,24.4177,23.9829,23.7483,24.5878,24.0585,24.1333,23.9034,24.1327

34.6420,23.9447,24.1063,24.1810,24.4117,23.9844,23.7296,24.5809,24.0677,24.1256,23.8986,24.1258

35.6420,23.9521,24.1291,24.2123,24.3981,23.9938,23.7318,24.5734,24.0552,24.1371,23.8935,24.1307

36.6420,23.9490,24.1485,24.2227,24.4297,23.9925,23.7617,24.5918,24.0487,24.1485,23.9052,24.1431

37.6420,23.9437,24.1540,24.2211,24.4239,23.9829,23.7474,24.5799,24.0543,24.1451,23.9008,24.1384

38.6420,23.9472,24.1472,24.2096,24.4332,24.0158,23.7463,24.5901,24.0352,24.1506,23.8907,24.1406

39.6420,23.9603,24.1271,24.2259,24.4277,24.0218,23.7447,24.5823,24.0449,24.1525,23.8948,24.1418

40.6420,23.9537,24.1716,24.2472,24.4410,24.0090,23.7381,24.5743,24.0634,24.1645,23.9007,24.1498

41.6430,23.9779,24.1616,24.2269,24.4377,24.0309,23.7334,24.5861,24.0507,24.1670,23.8921,24.1506

42.6420,23.9800,24.1631,24.2662,24.4458,24.0135,23.7521,24.5781,24.0594,24.1737,23.9057,24.1573

43.6420,23.9923,24.1603,24.2591,24.4704,24.0452,23.7459,24.5677,24.0443,24.1854,23.8951,24.1606

44.6420,23.9819,24.1686,24.2495,24.4314,24.0400,23.7459,24.5845,24.0500,24.1743,23.8979,24.1565

45.6420,24.0100,24.1967,24.2525,24.4454,24.0535,23.7457,24.5914,24.0384,24.1916,23.8920,24.1667

46.6420,23.9779,24.1685,24.2768,24.4630,24.0450,23.7353,24.5457,24.0441,24.1862,23.8897,24.1570

