Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
0.8770,24.7349,24.5072,23.8728,24.1068,23.9550,24.2495,24.1313,24.1762,24.2180,24.2129,24.2167

1.2300,24.7538,24.5051,23.8934,24.0830,23.9506,24.2269,24.1205,24.1773,24.2177,24.2021,24.2138

2.0000,24.7497,24.4923,23.9004,24.0957,23.9605,24.2455,24.1330,24.1538,24.2219,24.1996,24.2164

3.0000,24.7296,24.5143,23.9026,24.1007,23.9385,24.2471,24.1194,24.1662,24.2175,24.2066,24.2148

4.0010,24.7500,24.5144,23.8876,24.1230,23.9609,24.2543,24.1427,24.1649,24.2298,24.2096,24.2247

5.0010,24.7295,24.4871,23.8980,24.0976,23.9676,24.2441,24.1170,24.1614,24.2161,24.2028,24.2128

6.0000,24.7560,24.5011,23.9102,24.1197,23.9518,24.2404,24.1368,24.1628,24.2293,24.2016,24.2223

7.0000,24.7355,24.5182,23.9008,24.0927,23.9599,24.2364,24.1433,24.1702,24.2251,24.2033,24.2196

8.0000,24.7337,24.5134,23.9092,24.1040,23.9490,24.2488,24.1255,24.1694,24.2225,24.2091,24.2191

