Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
0.9510,27.9887,27.0264,24.6210,24.5520,24.2608,24.6531,24.3832,27.6396,25.6898,26.1463,25.6406

1.3050,27.9986,27.0467,24.6452,24.5492,24.2557,24.6531,24.3893,27.6509,25.6991,26.1520,25.6486

1.9840,27.9829,27.0344,24.6423,24.5709,24.2595,24.6543,24.3958,27.6644,25.6980,26.1594,25.6506

2.9850,27.9925,27.0265,24.6334,24.5488,24.2293,24.6554,24.3837,27.6561,25.6861,26.1557,25.6407

3.9840,27.9909,27.0423,24.6251,24.5486,24.2503,24.6657,24.3850,27.6408,25.6914,26.1533,25.6436

4.9840,27.9836,27.0104,24.6447,24.5696,24.2586,24.6635,24.3767,27.6547,25.6934,26.1591,25.6452

5.9840,27.9785,27.0261,24.6448,24.5555,24.2407,24.6722,24.3683,27.6520,25.6891,26.1621,25.6422

6.9850,28.0056,27.0206,24.6242,24.5538,24.2504,24.6487,24.3784,27.6664,25.6909,26.1576,25.6435

7.9840,28.0053,27.0340,24.6475,24.5558,24.2340,24.6546,24.3706,27.6430,25.6953,26.1488,25.6431

8.9840,27.9908,27.0317,24.6329,24.5550,24.2652,24.6580,24.3820,27.6388,25.6951,26.1484,25.6443

9.9850,27.9916,27.0213,24.6589,24.5569,24.2421,24.6570,24.3701,27.6637,25.6942,26.1603,25.6452

10.9850,27.9879,27.0444,24.6225,24.5639,24.2410,24.6495,24.3744,27.6548,25.6919,26.1521,25.6423

11.9840,27.9713,27.0212,24.6300,24.5548,24.2552,24.6607,24.3786,27.6453,25.6865,26.1530,25.6396

12.9840,27.9878,27.0267,24.6364,24.5476,24.2550,24.6602,24.3672,27.6444,25.6907,26.1523,25.6407

13.9840,27.9843,27.0358,24.6370,24.5605,24.2499,24.6586,24.3812,27.6493,25.6935,26.1540,25.6446

14.9840,27.9879,27.0348,24.6356,24.5411,24.2514,24.6291,24.3782,27.6459,25.6902,26.1375,25.6380

15.9840,27.9686,27.0415,24.6555,24.5691,24.2288,24.6329,24.3598,27.6445,25.6927,26.1387,25.6376

16.9840,27.9791,27.0376,24.6549,24.5628,24.2494,24.6453,24.3731,27.6521,25.6968,26.1487,25.6443

17.9840,27.9826,27.0259,24.6332,24.5666,24.2372,24.6532,24.3639,27.6538,25.6891,26.1535,25.6396

18.9840,27.9868,27.0248,24.6378,24.5438,24.2536,24.6507,24.3648,27.6344,25.6894,26.1426,25.6371

19.9840,27.9572,27.0111,24.6312,24.5471,24.2176,24.6508,24.3899,27.6420,25.6728,26.1464,25.6309

20.9840,27.9711,27.0277,24.6299,24.5429,24.2315,24.6349,24.3830,27.6483,25.6806,26.1416,25.6337

21.9840,27.9852,27.0242,24.6589,24.5351,24.2241,24.6377,24.3712,27.6233,25.6855,26.1305,25.6325

22.9840,27.9969,27.0241,24.6409,24.5488,24.2425,24.6480,24.3711,27.6355,25.6906,26.1418,25.6385

23.9840,27.9806,27.0309,24.6382,24.5608,24.2427,24.6312,24.3770,27.6715,25.6906,26.1514,25.6416

24.9840,27.9666,27.0291,24.6195,24.5429,24.2371,24.6262,24.3762,27.6297,25.6791,26.1280,25.6284

25.9840,27.9854,26.9896,24.6366,24.5383,24.2377,24.6479,24.3908,27.6274,25.6775,26.1376,25.6317

26.9840,27.9832,27.0259,24.6120,24.5510,24.2481,24.6504,24.3659,27.6251,25.6840,26.1378,25.6327

