Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2090,29.3629,32.9081,24.3164,24.4842,25.2807,24.9522,24.5544,27.6344,27.2705,26.2933,26.6867

1.9550,29.3395,32.9452,24.2933,24.4658,25.2812,24.9344,24.5493,27.6520,27.2650,26.2932,26.6826

2.9540,29.3575,32.9333,24.3144,24.4665,25.2744,24.9407,24.5358,27.6418,27.2692,26.2912,26.6830

3.9540,29.3653,32.9376,24.2970,24.4747,25.2934,24.9362,24.5487,27.6449,27.2736,26.2905,26.6872

4.9550,29.3479,32.9458,24.3005,24.4815,25.2913,24.9688,24.5426,27.6411,27.2734,26.3049,26.6899

5.9540,29.3549,32.9414,24.3055,24.4870,25.2844,24.9168,24.5364,27.6476,27.2746,26.2822,26.6842

6.9540,29.3700,32.9408,24.3116,24.4784,25.2967,24.9230,24.5422,27.6421,27.2795,26.2825,26.6881

7.9550,29.3567,32.9392,24.2816,24.4853,25.2865,24.9436,24.5411,27.6278,27.2699,26.2857,26.6827

8.9540,29.3674,32.9314,24.3011,24.4694,25.2697,24.9520,24.5395,27.6243,27.2678,26.2882,26.6818

9.9540,29.3565,32.9388,24.2793,24.4523,25.3008,24.9245,24.5517,27.6304,27.2655,26.2775,26.6793

10.9540,29.3519,32.9306,24.2705,24.4785,25.2953,24.9502,24.5528,27.6522,27.2654,26.3012,26.6853

11.9540,29.3765,32.9432,24.2638,24.4505,25.2820,24.9281,24.5430,27.6570,27.2632,26.2925,26.6805

12.9540,29.3764,32.9429,24.2782,24.4541,25.3078,24.9573,24.5354,27.6438,27.2719,26.3005,26.6870

13.9550,29.3740,32.9335,24.2602,24.4880,25.2987,24.9454,24.5480,27.6366,27.2709,26.2910,26.6855

14.9540,29.3846,32.9220,24.2746,24.4637,25.3008,24.9376,24.5578,27.6430,27.2692,26.2903,26.6855

15.9540,29.3829,32.9343,24.2771,24.4704,25.2991,24.9284,24.5329,27.6272,27.2728,26.2778,26.6815

16.9540,29.3812,32.9621,24.2432,24.4489,25.2978,24.9645,24.5525,27.6274,27.2667,26.2959,26.6847

17.9540,29.3901,32.9650,24.2457,24.4952,25.2884,24.9290,24.5373,27.6269,27.2769,26.2779,26.6847

18.9540,29.3727,32.9674,24.2576,24.4750,25.2994,24.9474,24.5317,27.6306,27.2744,26.2890,26.6852

