Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.2180,0.0104,0.0501

1.5740,0.0055,0.0399

2.5240,0.0022,0.0347

3.5240,0.3323,1.4085

4.5240,0.4786,1.1409

5.5230,0.5770,1.1461

6.5240,0.6480,1.1512

7.5240,0.6988,1.1306

8.5230,0.7388,1.1358

9.5230,0.7714,1.1409

10.5230,0.8797,1.1718

11.5230,0.9851,1.1306

12.5240,1.0934,1.1563

13.5230,1.0706,1.1718

14.5230,1.0706,1.1409

15.5230,1.0726,1.1666

16.5230,1.0721,1.1461

17.5230,1.0760,1.1718

18.5240,1.0795,1.1718

19.5240,1.0825,1.1718

20.5230,1.0840,1.1872

21.5230,1.0944,1.2387

22.5230,1.1158,1.3776

23.5240,1.1426,1.4496

24.5230,1.1715,1.4393

25.5230,1.1958,1.4187

26.5230,1.2227,1.4239

27.5240,1.2475,1.4290

28.5230,1.2729,1.4342

29.5230,1.2992,1.4445

30.5230,1.3221,1.4239

31.5240,1.3400,1.4239

32.5230,1.3464,1.4445

33.5240,1.3484,1.4702

34.5240,1.3539,1.4959

35.5230,1.3549,1.4290

36.5240,1.3579,1.4548

37.5230,1.3613,1.4650

38.5230,1.3658,1.4805

39.5230,1.3668,1.4548

40.5240,1.3718,1.4753

41.5230,1.3762,1.4702

42.5230,1.3782,1.4650

43.5230,1.3812,1.5011

44.5230,1.3797,1.4805

45.5230,1.3862,1.4959

46.5240,1.3912,1.5062

47.5230,1.3941,1.4959

48.5230,1.3951,1.4908

49.5230,1.3996,1.5011

50.5240,1.4011,1.4908

51.5240,1.4041,1.5011

52.5230,1.4051,1.4753

53.5250,1.4026,1.4753

54.5230,1.4041,1.4959

55.5230,1.4036,1.4908

56.5230,1.4031,1.5011

57.5230,1.4036,1.5011

58.5230,1.4041,1.4959

59.5230,1.4061,1.5216

60.5230,1.4071,1.5011

61.5230,1.4061,1.4908

62.5230,1.4100,1.5165

63.5230,1.4120,1.4959

64.5240,1.4130,1.5062

65.5230,1.4135,1.4959

66.5230,1.4140,1.5062

67.5240,1.4150,1.5114

68.5240,1.4115,1.4599

69.5230,1.4095,1.5011

70.5230,1.4105,1.5114

71.5240,1.4140,1.5268

72.5230,1.4150,1.5268

73.5230,1.4165,1.5114

74.5230,1.4185,1.5268

75.5230,1.4205,1.5165

76.5230,1.4225,1.5268

77.5230,1.4220,1.5062

78.5230,1.4259,1.5011

79.5230,1.4289,1.5319

80.5230,1.4314,1.5371

81.5230,1.4294,1.5062

82.5230,1.4289,1.5216

83.5230,1.4279,1.5011

84.5230,1.4284,1.5319

85.5230,1.4299,1.5319

86.5230,1.4274,1.5011

87.5230,1.4304,1.5371

88.5230,1.4274,1.4702

89.5230,1.4254,1.5114

90.5240,1.4240,1.5216

91.5230,1.4235,1.5011

92.5240,1.4264,1.5525

93.5230,1.4259,1.4959

94.5240,1.4254,1.5268

95.5230,1.4245,1.5216

96.5230,1.4284,1.5422

97.5230,1.4254,1.5062

98.5230,1.4284,1.5011

99.5230,1.4309,1.5371

100.5230,1.4304,1.5165

101.5230,1.4294,1.4908

102.5230,1.4269,1.5268

103.5230,1.4294,1.5216

104.5230,1.4284,1.5165

105.5230,1.4289,1.5268

106.5250,1.4254,1.5062

107.5230,1.4264,1.5165

108.5230,1.4289,1.5268

109.5240,1.4264,1.5114

110.5230,1.4279,1.5319

111.5240,1.4319,1.5319

112.5230,1.4324,1.5319

113.5230,1.4319,1.5165

114.5230,1.4304,1.5011

115.5230,1.4259,1.4805

116.5230,1.4254,1.5011

117.5230,1.4289,1.5525

118.5230,1.4294,1.5319

119.5230,1.4309,1.5268

120.5230,1.4279,1.5011

121.5230,1.4264,1.5165

122.5230,1.4269,1.5371

123.5240,1.4304,1.5525

124.5240,1.4334,1.5319

125.5230,1.4364,1.5114

126.5230,1.4379,1.5165

127.5230,1.4364,1.5371

128.5240,1.4364,1.5319

129.5230,1.4379,1.5422

130.5240,1.4399,1.5216

131.5240,1.4404,1.5216

132.5230,1.4404,1.5371

133.5230,1.4369,1.5165

134.5230,1.4364,1.5268

135.5230,1.4369,1.5165

136.5230,1.4369,1.5165

137.5240,1.4359,1.5268

138.5230,1.4404,1.5782

139.5230,1.4394,1.5319

140.5240,1.4394,1.5216

141.5230,1.4399,1.5268

142.5240,1.4394,1.5319

143.5230,1.4404,1.5268

144.5240,1.4414,1.5371

145.5230,1.4414,1.5165

146.5230,1.4428,1.5319

147.5230,1.4448,1.5474

148.5240,1.4458,1.5885

149.5230,1.4453,1.5268

150.5230,1.4463,1.5319

151.5230,1.4443,1.5062

152.5230,1.4423,1.5114

153.5240,1.4418,1.5216

154.5230,1.4493,1.6143

155.5230,1.4488,1.5114

156.5230,1.4453,1.4959

157.5230,1.4448,1.5422

158.5230,1.4399,1.5371

159.5240,1.4418,1.5474

160.5230,1.4423,1.5371

161.5240,1.4428,1.5114

162.5230,1.4438,1.5216

163.5240,1.4473,1.5577

164.5230,1.4394,1.5319

165.5230,1.4404,1.5216

166.5240,1.4428,1.5216

167.5240,1.4423,1.5371

168.5230,1.4418,1.5319

169.5230,1.4404,1.5319

170.5230,1.4414,1.5474

171.5230,1.4473,1.5731

172.5230,1.4508,1.5577

173.5240,1.4483,1.5319

174.5240,1.4488,1.5371

175.5230,1.4518,1.5525

176.5230,1.4528,1.5319

177.5240,1.4528,1.5371

178.5230,1.4548,1.5525

179.5240,1.4548,1.5319

180.5230,1.4558,1.5577

181.5240,1.4528,1.5422

182.5230,1.4493,1.5216

183.5230,1.4473,1.5114

184.5230,1.4508,1.5731

185.5240,1.4473,1.5165

186.5230,1.4483,1.5422

187.5250,1.4498,1.5525

188.5230,1.4548,1.6040

189.5230,1.4553,1.5371

190.5240,1.4533,1.5371

191.5250,1.4523,1.5319

192.5240,1.4538,1.5371

193.5230,1.4533,1.5062

194.5240,1.4488,1.5268

195.5230,1.4513,1.5422

196.5230,1.4513,1.5422

197.5230,1.4488,1.5268

198.5230,1.4423,1.5371

199.5240,1.4796,1.9230

200.5240,1.5179,1.9333

201.5230,1.5567,1.9333

202.5230,1.5954,1.9384

203.5230,1.6357,1.9230

204.5230,1.6740,1.9230

205.5230,1.7122,1.9384

206.5230,1.7510,1.9435

207.5240,1.7898,1.9281

208.5230,1.8280,1.9333

209.5230,1.8290,1.9333

210.5230,1.8246,1.8869

211.5240,1.8260,1.9487

212.5230,1.8280,1.9590

213.5230,1.8290,1.9333

214.5230,1.8300,1.9333

215.5230,1.8280,1.9178

216.5240,1.8285,1.9487

217.5230,1.8280,1.9230

218.5230,1.8285,1.9384

219.5240,1.8285,1.9333

220.5230,1.8355,1.9590

221.5240,1.8335,1.9281

222.5240,1.8320,1.9435

223.5230,1.8325,1.9384

224.5230,1.8335,1.9435

225.5230,1.8315,1.8972

226.5230,1.8315,1.9487

227.5240,1.8330,1.9384

228.5230,1.8345,1.9538

229.5240,1.8360,1.9487

230.5230,1.8400,2.0001

231.5240,1.8410,1.9384

232.5230,1.8479,2.0156

233.5240,1.8494,1.9538

234.5230,1.8469,1.9178

235.5230,1.8509,1.9384

236.5230,1.8504,1.9435

237.5230,1.8499,1.9333

238.5230,1.8489,1.9435

239.5240,1.8464,1.9230

240.5240,1.8385,1.9178

241.5240,1.8385,1.9384

242.5230,1.8270,1.8972

243.5230,1.8206,1.8869

244.5240,1.8206,1.9178

245.5230,1.8171,1.9024

246.5240,1.8196,1.9693

247.5230,1.8211,1.9487

248.5230,1.8196,1.9281

249.5230,1.8231,1.9590

250.5230,1.8231,1.9178

251.5230,1.8206,1.9127

252.5230,1.8221,1.9127

253.5230,1.8265,1.9333

254.5230,1.8280,1.9333

255.5230,1.8285,1.9075

256.5230,1.8246,1.9281

257.5240,1.8236,1.9384

258.5230,1.8255,1.9487

259.5230,1.8255,1.9590

260.5230,1.8270,1.9333

261.5240,1.8265,1.9075

262.5230,1.8300,1.9487

263.5240,1.8305,1.9384

264.5230,1.8330,1.9590

265.5230,1.8360,1.9384

266.5230,1.8375,1.9435

267.5230,1.8370,1.9333

268.5230,1.8360,1.9384

269.5230,1.8335,1.9333

270.5230,1.8345,1.9435

271.5230,1.8375,1.9384

272.5230,1.8375,1.9487

273.5230,1.8370,1.9333

274.5230,1.8365,1.9538

275.5230,1.8360,1.9333

276.5240,1.8350,1.9333

277.5230,1.8345,1.9281

278.5230,1.8345,1.9384

279.5230,1.8300,1.8869

280.5240,1.8290,1.9333

281.5230,1.8275,1.9230

282.5230,1.8290,1.9641

283.5230,1.8305,1.9487

284.5230,1.8290,1.9384

285.5230,1.8300,1.9435

286.5240,1.8310,1.9435

287.5230,1.8335,1.9538

288.5240,1.8340,1.9435

289.5240,1.8400,1.9487

290.5240,1.8395,1.9281

291.5230,1.8424,1.9538

292.5240,1.8385,1.9230

293.5250,1.8375,1.9384

294.5230,1.8380,1.9435

295.5230,1.8360,1.9230

296.5240,1.8340,1.9230

297.5230,1.8340,1.9538

298.5230,1.8325,1.9281

299.5240,1.8295,1.9178

300.5230,1.8285,1.9178

301.5230,1.8260,1.9281

302.5230,1.8246,1.9075

303.5230,1.8221,1.9127

304.5230,1.8216,1.9384

305.5230,1.8206,1.9127

306.5230,1.8206,1.9230

307.5240,1.8176,1.9230

308.5240,1.8176,1.9281

309.5230,1.8260,2.0053

310.5240,1.8275,1.9333

311.5230,1.8290,1.9435

312.5230,1.8325,1.9435

313.5240,1.8355,1.9435

314.5230,1.8345,1.9281

315.5240,1.8375,1.9435

316.5240,1.8390,1.9384

317.5230,1.8280,1.8098

318.5240,1.8290,1.9384

319.5230,1.8216,1.9281

320.5230,1.8236,1.9538

321.5230,1.8250,1.9590

322.5230,1.8250,1.9435

323.5250,1.8231,1.9230

324.5230,1.8206,1.9024

325.5250,1.8206,1.9435

326.5230,1.8206,1.9384

327.5230,1.8330,1.9384

328.5230,1.8335,1.9435

329.5240,1.8360,1.9538

330.5240,1.8330,1.9230

331.5240,1.8290,1.9178

332.5230,1.8280,1.9333

333.5230,1.8265,1.9075

334.5240,1.8250,1.8869

335.5240,1.8290,1.9847

336.5230,1.8280,1.9281

337.5230,1.8270,1.9281

338.5230,1.8246,1.9178

339.5240,1.8231,1.9384

340.5230,1.8260,1.9538

341.5230,1.8275,1.9333

342.5230,1.8275,1.9333

343.5230,1.8295,1.9281

344.5240,1.8330,1.9230

345.5230,1.8265,1.9178

346.5230,1.8265,1.9281

347.5230,1.8300,1.9641

348.5240,1.8325,1.9435

349.5230,1.8305,1.9178

350.5230,1.8290,1.9384

351.5230,1.8305,1.9487

352.5230,1.8300,1.9281

353.5230,1.8295,1.9230

354.5230,1.8295,1.9230

355.5240,1.8300,1.9230

356.5240,1.8285,1.9127

357.5230,1.8275,1.9538

358.5230,1.8340,2.0104

359.5230,1.8350,1.9281

360.5230,1.8285,1.8715

361.5240,1.8246,1.9075

362.5230,1.8265,1.9487

363.5230,1.8285,1.9435

364.5230,1.8285,1.9230

365.5240,1.8310,1.9487

366.5230,1.8325,1.9281

367.5230,1.8320,1.9487

368.5230,1.8250,1.9384

369.5230,1.8250,1.9281

370.5230,1.8310,1.9333

371.5230,1.8320,1.9178

372.5230,1.8315,1.9435

373.5230,1.8315,1.9435

374.5230,1.8320,1.9281

375.5230,1.8300,1.9281

376.5230,1.8260,1.8869

377.5240,1.8250,1.9384

378.5230,1.8265,1.9538

379.5230,1.8275,1.9384

380.5230,1.8275,1.9333

381.5230,1.8280,1.9230

382.5240,1.8270,1.9333

383.5230,1.8260,1.9333

384.5230,1.8265,1.9333

385.5230,1.8280,1.9435

386.5230,1.8320,1.9281

387.5230,1.8325,1.9435

388.5240,1.8315,1.9435

389.5230,1.8305,1.9281

390.5240,1.8315,1.9435

391.5230,1.8320,1.9281

392.5230,1.8300,1.9127

393.5230,1.8275,1.9075

394.5240,1.8265,1.9230

395.5240,1.8290,1.9693

396.5230,1.8300,1.9384

397.5230,1.8295,1.9384

398.5230,1.8241,1.8869

399.5240,1.8255,1.9435

400.5230,1.8241,1.9281

401.5230,1.8250,1.9384

402.5240,1.8275,1.9384

403.5230,1.8280,1.9127

404.5230,1.8285,1.9281

405.5230,1.8250,1.9333

