Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
0.9470,4.3062,4.5624

1.3000,4.2830,4.5367

2.0050,4.2876,4.5418

3.0050,4.2784,4.5315

4.0060,4.2969,4.5521

5.0050,4.2969,4.5521

6.0060,4.2691,4.5212

7.0050,4.2969,4.5521

8.0050,4.2830,4.5367

9.0050,4.2413,4.4904

10.0050,4.2830,4.5367

11.0050,4.2969,4.5521

12.0050,4.2876,4.5418

13.0050,4.2737,4.5264

14.0050,0.5091,0.3434

15.0050,0.2220,0.0244

16.0050,0.2266,0.0296

17.0050,0.2220,0.0244

18.0050,0.2498,0.0553

19.0060,0.2312,0.0347

20.0060,0.2266,0.0296

21.0050,0.2405,0.0450

22.0050,0.2868,0.0965

23.0050,0.2451,0.0501

24.0050,4.7970,5.1078

25.0050,4.6720,4.9689

26.0050,4.6951,4.9946

27.0050,4.6812,4.9792

28.0060,4.6859,4.9843

29.0050,4.6812,4.9792

30.0050,4.6581,4.9534

31.0050,4.5933,4.8814

32.0060,4.5840,4.8711

33.0050,4.5840,4.8711

34.0050,4.5747,4.8608

35.0050,4.5192,4.7991

36.0060,4.5701,4.8557

37.0060,4.5284,4.8094

38.0050,5.3110,5.6789

39.0060,5.4314,5.8127

40.0050,5.4360,5.8178

41.0050,5.4268,5.8075

42.0050,0.9212,0.8013

43.0050,0.2544,0.0604

44.0050,0.2451,0.0501

45.0060,0.2451,0.0501

46.0060,0.2544,0.0604

47.0050,0.2451,0.0501

48.0060,5.3712,5.7458

49.0050,0.2544,0.0604

50.0050,0.2498,0.0553

51.0060,0.2220,0.0244

52.0050,0.2451,0.0501

53.0050,0.3146,0.1273

54.0050,0.2451,0.0501

55.0050,0.2359,0.0399

56.0050,0.2220,0.0244

57.0060,0.2405,0.0450

58.0050,0.2544,0.0604

59.0050,0.2266,0.0296

60.0060,0.2405,0.0450

61.0060,0.2590,0.0656

62.0050,0.2359,0.0399

63.0050,0.2220,0.0244

64.0050,0.2312,0.0347

65.0050,0.2405,0.0450

66.0050,0.2312,0.0347

67.0050,0.2498,0.0553

68.0050,0.2451,0.0501

69.0050,0.2312,0.0347

70.0050,0.2405,0.0450

71.0050,0.2081,0.0090

72.0050,0.2405,0.0450

73.0050,0.2683,0.0759

74.0050,0.2312,0.0347

75.0050,2.6947,2.7719

76.0050,5.4129,5.7921

77.0050,5.4360,5.8178

78.0060,5.4221,5.8024

79.0050,5.4268,5.8075

80.0050,5.4545,5.8384

81.0050,5.4314,5.8127

82.0050,5.4360,5.8178

83.0050,5.4129,5.7921

84.0050,5.4268,5.8075

85.0050,5.3805,5.7561

86.0050,5.4082,5.7869

87.0050,5.4407,5.8229

88.0050,5.4129,5.7921

89.0050,5.4175,5.7972

90.0050,5.4360,5.8178

91.0050,5.4268,5.8075

92.0050,5.4082,5.7869

93.0050,5.4129,5.7921

94.0050,5.4314,5.8127

95.0050,5.4314,5.8127

96.0050,5.4221,5.8024

97.0060,5.4314,5.8127

98.0050,5.4268,5.8075

99.0050,5.4870,5.8744

100.0050,5.4175,5.7972

101.0050,5.4314,5.8127

102.0070,5.4268,5.8075

103.0060,0.3702,0.1891

104.0050,0.2544,0.0604

105.0050,0.2405,0.0450

106.0050,0.2359,0.0399

107.0050,0.2312,0.0347

108.0050,0.2359,0.0399

109.0050,0.2359,0.0399

110.0060,0.2451,0.0501

111.0050,0.2544,0.0604

112.0060,0.2451,0.0501

113.0050,0.2220,0.0244

114.0050,0.2451,0.0501

115.0060,4.8618,5.1798

116.0050,4.7229,5.0255

117.0050,4.7090,5.0100

118.0050,4.7044,5.0049

119.0050,4.6535,4.9483

120.0050,4.6766,4.9740

121.0050,4.6442,4.9380

122.0050,4.6396,4.9328

123.0060,4.6627,4.9586

124.0060,4.5655,4.8505

125.0050,4.5886,4.8762

126.0060,4.5794,4.8660

127.0050,4.5655,4.8505

128.0050,4.5701,4.8557

129.0050,4.5377,4.8197

130.0050,4.5747,4.8608

131.0050,4.5562,4.8402

132.0060,4.5655,4.8505

133.0050,4.5655,4.8505

134.0060,4.5469,4.8299

135.0060,4.5192,4.7991

136.0060,4.5516,4.8351

137.0050,4.5006,4.7785

138.0050,4.5145,4.7939

139.0050,4.5192,4.7991

140.0050,4.5145,4.7939

141.0050,4.5238,4.8042

142.0050,4.5006,4.7785

143.0050,4.5053,4.7836

144.0060,4.4960,4.7733

145.0050,4.5192,4.7991

146.0050,4.4821,4.7579

147.0050,4.4868,4.7631

148.0050,4.4636,4.7373

149.0050,4.4868,4.7631

150.0050,4.3062,4.5624

151.0060,4.4868,4.7631

152.0050,4.4682,4.7425

153.0060,4.4775,4.7528

154.0050,4.4821,4.7579

155.0050,4.4497,4.7219

156.0050,4.4636,4.7373

157.0050,4.5145,4.7939

158.0050,4.4682,4.7425

159.0050,4.4543,4.7270

160.0050,4.4636,4.7373

161.0050,4.4451,4.7168

162.0050,4.4729,4.7476

163.0050,4.4590,4.7322

164.0050,4.4590,4.7322

165.0050,4.4590,4.7322

166.0050,0.2405,0.0450

167.0060,0.2590,0.0656

168.0050,0.2590,0.0656

169.0050,0.2127,0.0141

