Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
0.9470,2.6559,1.9585,4.1817,5.2389,4.3053,0.7865,2.1494,3.4149,0.7865,3.0395

1.3000,1.3699,1.7116,4.7991,4.7245,3.9965,0.1074,2.9211,3.2538,0.1074,2.8043

2.0050,1.6271,1.6499,4.1817,4.4672,3.8113,-0.0778,3.1784,3.1526,-0.0778,2.6911

3.0050,2.1415,1.9585,4.1817,3.9528,4.1200,0.0457,4.2074,3.4270,0.0457,2.9439

4.0060,1.8843,1.8968,4.1817,4.4672,4.1200,-0.2013,3.9501,3.4167,-0.2013,2.8998

5.0050,1.8843,1.7733,4.1817,4.9817,3.5643,0.1074,2.4066,3.1320,0.1074,2.6999

6.0060,1.6271,1.9585,4.3052,3.6956,4.1200,-0.0160,3.4356,3.1903,-0.0160,2.7323

7.0050,1.8843,2.2672,4.4286,3.6956,4.1818,-0.1395,3.1784,3.2726,-0.1395,2.7852

8.0050,1.6271,1.9585,4.3669,3.9528,1.6503,0.9100,1.3776,2.4889,0.9100,2.2633

9.0050,0.8555,1.6499,4.1817,4.4672,3.8113,-0.0160,3.6929,3.1097,-0.0160,2.6632

10.0050,1.3699,1.8968,4.1199,3.6956,4.2435,-0.0160,3.1784,3.0840,-0.0160,2.6411

11.0050,1.8843,1.8351,4.4286,5.2389,3.9348,-0.0778,5.4937,3.8026,-0.0778,3.2482

12.0050,2.3987,1.9585,4.3669,4.9817,4.1818,-0.0778,2.1494,3.3395,-0.0778,2.8513

13.0050,2.1415,1.8968,4.1199,4.9817,4.0583,0.1074,4.2074,3.5676,0.1074,3.0733

14.0050,1.8843,1.9585,4.7373,4.4672,4.1818,0.2926,2.1494,3.2298,0.2926,2.8102

15.0050,2.1415,1.1560,3.8730,4.4672,3.9965,0.1074,3.6929,3.2212,0.1074,2.7764

16.0050,1.8843,1.7733,4.2434,3.1811,4.0583,0.1692,4.2074,3.2246,0.1692,2.7881

17.0050,1.6271,1.7733,4.3052,4.4672,3.9965,0.1692,4.2074,3.3961,0.1692,2.9351

18.0050,1.8843,1.5881,4.2434,6.2678,3.6261,-0.0160,4.2074,3.6362,-0.0160,3.1144

19.0060,1.6271,2.0820,4.3052,4.2100,3.8731,0.1692,3.6929,3.2984,0.1692,2.8513

20.0060,1.3699,2.0203,4.2434,4.9817,4.3053,-0.0160,3.9501,3.4784,-0.0160,2.9792

21.0050,0.8555,1.8968,4.0582,4.4672,3.8113,0.1692,3.4356,3.0874,0.1692,2.6705

22.0050,2.3987,1.9585,4.1199,4.2100,3.9348,0.0457,3.4356,3.3429,0.0457,2.8719

23.0050,0.3411,2.0203,4.3669,4.2100,4.0583,0.1074,3.6929,3.1149,0.1074,2.6853

24.0050,1.3699,1.8351,4.4286,5.2389,3.9965,-0.1395,3.9501,3.4699,-0.1395,2.9542

25.0050,2.9131,1.8351,4.3669,5.4962,4.1818,0.0457,3.4356,3.7048,0.0457,3.1820

26.0050,2.1415,1.8968,4.2434,4.4672,4.1818,0.3544,3.9501,3.4801,0.3544,3.0336

27.0050,1.3699,2.0203,4.3669,3.6956,4.1200,0.0457,2.1494,2.9537,0.0457,2.5382

28.0060,2.3987,1.8351,4.2434,6.0106,4.2435,-0.0160,3.1784,3.6516,-0.0160,3.1277

29.0050,1.8843,1.8968,4.1199,3.9528,4.2435,0.1074,3.9501,3.3412,0.1074,2.8793

30.0050,1.6271,1.7733,3.7495,4.4672,4.1200,0.1074,3.4356,3.1955,0.1074,2.7543

31.0050,1.6271,1.8351,4.2434,4.9817,3.9348,0.3544,4.4647,3.5145,0.3544,3.0630

32.0060,0.0839,2.0203,4.3052,4.2100,4.2435,-0.1395,3.6929,3.0926,-0.1395,2.6309

33.0050,1.3699,1.8968,4.2434,4.9817,4.1818,0.1692,3.6929,3.3944,0.1692,2.9337

34.0050,3.6847,1.8968,3.8112,2.6666,4.3053,-0.0160,3.4356,3.3000,-0.0160,2.8263

35.0050,1.8843,1.8351,4.3669,5.4962,3.9965,-0.0778,3.9501,3.5882,-0.0778,3.0645

36.0060,1.6271,2.1438,4.3669,4.2100,4.4287,-0.0160,3.4356,3.3687,-0.0160,2.8852

37.0060,2.1415,1.8968,4.3669,4.2100,4.0583,0.1692,3.6929,3.3944,0.1692,2.9336

38.0050,1.3699,1.6499,4.0582,4.7245,4.4287,0.2926,4.4647,3.4493,0.2926,2.9983

39.0060,1.3699,1.7733,4.3052,4.9817,4.1200,0.1692,4.2074,3.4596,0.1692,2.9895

40.0050,1.8843,1.8351,4.0582,4.7245,4.1200,-0.0160,3.9501,3.4287,-0.0160,2.9366

41.0050,1.1127,1.8351,4.3669,2.6666,3.5643,0.2926,3.1784,2.7873,0.2926,2.4310

42.0050,2.1415,1.8968,4.1817,5.7534,4.2435,0.2926,2.4066,3.4372,0.2926,2.9880

43.0050,1.8843,1.8968,4.1817,4.7245,4.1818,0.1692,2.1494,3.1697,0.1692,2.7411

44.0050,1.8843,2.0203,3.9965,5.2389,4.0583,0.1692,2.4066,3.2675,0.1692,2.8249

45.0060,2.6559,2.0203,4.2434,4.4672,4.4287,0.2309,3.6929,3.5847,0.2309,3.1056

46.0060,1.8843,1.7733,4.3052,4.7245,4.1818,-0.0160,3.9501,3.4699,-0.0160,2.9719

47.0050,1.6271,1.8968,3.9965,4.4672,4.1818,-0.0160,3.9501,3.3532,-0.0160,2.8719

48.0060,1.3699,2.0203,4.9226,2.1522,4.4287,0.2926,3.1784,3.0120,0.2926,2.6235

49.0050,1.8843,2.1438,4.1199,3.6956,4.1818,0.2309,3.6929,3.2864,0.2309,2.8499

50.0050,1.3699,1.7116,4.1817,4.9817,4.1818,0.1074,3.9501,3.3961,0.1074,2.9263

51.0060,1.6271,1.8968,4.3669,3.9528,3.9348,0.0457,3.6929,3.2452,0.0457,2.7881

