Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.1980,47.7981,47.7589,47.8918,47.7473,47.9283,33.5258,47.4513,41.1574,47.8249,37.3416,45.1574

1.5530,47.7964,47.7452,47.9114,47.7355,47.9202,33.5228,47.4640,41.1530,47.8217,37.3379,45.1561

2.4870,47.7977,47.7479,47.8993,47.7502,47.9076,33.5452,47.4519,41.1696,47.8206,37.3574,45.1587

3.4870,47.7981,47.7509,47.8810,47.7269,47.9227,33.5521,47.4500,41.1402,47.8159,37.3462,45.1527

4.4870,47.8148,47.7644,47.8917,47.7375,47.9209,33.5615,47.4453,41.0830,47.8258,37.3222,45.1524

5.4870,47.8020,47.7287,47.8606,47.7384,47.9208,33.6236,47.4585,41.0604,47.8101,37.3420,45.1491

6.4880,47.7881,47.7524,47.8848,47.7311,47.9139,33.6381,47.4404,40.9948,47.8140,37.3164,45.1429

7.4870,47.7906,47.7247,47.8826,47.7150,47.9257,33.6551,47.4415,40.9684,47.8077,37.3117,45.1379

8.4870,47.7886,47.7332,47.8489,47.7174,47.9100,33.6755,47.4483,40.9063,47.7996,37.2909,45.1285

9.4870,47.7916,47.7219,47.8766,47.7131,47.9131,33.6833,47.4624,40.8433,47.8033,37.2633,45.1257

10.4870,47.7876,47.7303,47.8757,47.7155,47.8988,33.6956,47.4455,40.7601,47.8016,37.2279,45.1136

11.4870,47.7839,47.7247,47.8686,47.7011,47.9057,33.7331,47.4427,40.6856,47.7968,37.2094,45.1057

12.4880,47.7826,47.7414,47.8752,47.7257,47.8812,33.7524,47.4432,40.6214,47.8012,37.1869,45.1029

13.4870,47.7760,47.7039,47.8650,47.7104,47.8956,33.7766,47.4431,40.5664,47.7902,37.1715,45.0921

14.4870,47.7819,47.7034,47.8515,47.7062,47.8904,33.7882,47.4291,40.4945,47.7867,37.1414,45.0807

15.4870,47.7896,47.7407,47.8564,47.7064,47.8800,33.8175,47.4261,40.4259,47.7946,37.1217,45.0803

16.4870,47.7653,47.7257,47.8493,47.7137,47.8808,33.8211,47.4324,40.3647,47.7870,37.0929,45.0691

17.4870,47.7814,47.7014,47.8597,47.6982,47.8857,33.8196,47.4282,40.2873,47.7853,37.0535,45.0577

18.4870,47.7612,47.7027,47.8693,47.7059,47.8869,33.8300,47.4352,40.2343,47.7852,37.0322,45.0532

19.4870,47.7779,47.7136,47.8450,47.7131,47.8770,33.8241,47.4080,40.1776,47.7853,37.0008,45.0420

20.4870,47.7725,47.7013,47.8554,47.7031,47.8601,33.8275,47.4141,40.1079,47.7785,36.9677,45.0302

21.4870,47.7696,47.7033,47.8292,47.6949,47.8857,33.8409,47.4093,40.0467,47.7765,36.9438,45.0224

22.4870,47.7677,47.7146,47.8275,47.7039,47.8669,33.8544,47.4176,39.9693,47.7761,36.9119,45.0152

23.4870,47.7539,47.6952,47.8193,47.6929,47.8707,33.8335,47.4002,39.9215,47.7664,36.8775,44.9984

