Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
0.9160,4.1950,4.4389

1.9020,4.1904,4.4338

2.9020,4.1904,4.4338

3.9020,4.1811,4.4235

4.9020,4.1904,4.4338

5.9020,4.2089,4.4544

6.9020,4.1719,4.4132

7.9020,4.1950,4.4389

8.9020,4.1950,4.4389

9.9030,4.1904,4.4338

10.9020,4.1580,4.3978

11.9020,4.1719,4.4132

12.9020,4.1672,4.4080

13.9020,4.1858,4.4286

14.9020,4.1858,4.4286

15.9030,4.1765,4.4183

16.9020,4.1950,4.4389

17.9020,4.1904,4.4338

18.9020,0.7175,0.5749

19.9020,0.2498,0.0553

20.9020,0.2451,0.0501

21.9020,0.2312,0.0347

22.9020,0.2312,0.0347

23.9020,0.2359,0.0399

24.9030,0.2405,0.0450

25.9020,0.3146,0.1273

26.9020,0.2405,0.0450

27.9020,0.2359,0.0399

28.9020,0.2498,0.0553

29.9020,0.2451,0.0501

30.9020,0.2451,0.0501

31.9020,0.2914,0.1016

32.9030,0.2451,0.0501

33.9020,0.2173,0.0193

34.9020,0.2405,0.0450

35.9020,0.2405,0.0450

36.9020,0.2498,0.0553

37.9030,0.2359,0.0399

38.9030,0.2637,0.0707

39.9020,0.2220,0.0244

40.9020,0.2173,0.0193

41.9020,0.2266,0.0296

42.9020,0.2266,0.0296

43.9020,0.2359,0.0399

44.9020,0.2405,0.0450

45.9020,0.2359,0.0399

46.9020,0.2359,0.0399

47.9020,0.2266,0.0296

48.9020,0.2544,0.0604

49.9020,3.4541,3.6157

50.9020,4.9313,5.2570

51.9020,4.6303,4.9226

52.9020,4.7461,5.0512

53.9020,4.7136,5.0152

54.9020,4.5840,4.8711

55.9020,4.5516,4.8351

56.9030,4.5516,4.8351

57.9020,4.5701,4.8557

58.9020,4.6071,4.8968

59.9020,4.5608,4.8454

60.9020,4.5469,4.8299

61.9020,4.5145,4.7939

62.9030,4.5284,4.8094

63.9030,4.5423,4.8248

64.9030,4.5238,4.8042

65.9020,4.4960,4.7733

66.9020,4.4914,4.7682

67.9030,4.4960,4.7733

68.9020,4.4868,4.7631

69.9020,4.4821,4.7579

70.9020,4.4868,4.7631

71.9020,4.4821,4.7579

72.9030,4.4775,4.7528

73.9020,4.4868,4.7631

74.9030,4.4636,4.7373

75.9020,4.4636,4.7373

76.9030,4.4775,4.7528

77.9030,4.4775,4.7528

78.9020,4.4543,4.7270

79.9030,4.4590,4.7322

80.9020,4.4729,4.7476

81.9030,4.4312,4.7013

82.9030,4.4404,4.7116

83.9020,4.4590,4.7322

84.9030,4.4636,4.7373

85.9020,4.4543,4.7270

86.9030,4.4636,4.7373

87.9030,4.4497,4.7219

88.9020,4.4497,4.7219

89.9020,4.4312,4.7013

90.9020,4.4266,4.6962

91.9020,4.4451,4.7168

92.9020,4.4404,4.7116

93.9020,4.4312,4.7013

94.9020,4.4358,4.7065

95.9020,4.4451,4.7168

96.9020,4.4080,4.6756

97.9020,4.4266,4.6962

98.9030,4.4590,4.7322

99.9020,4.4266,4.6962

100.9020,4.4266,4.6962

101.9020,4.4312,4.7013

102.9030,4.3571,4.6190

103.9020,4.3478,4.6087

104.9030,0.2405,0.0450

105.9020,0.2359,0.0399

106.9020,0.2451,0.0501

107.9020,0.2359,0.0399

108.9030,0.2359,0.0399

109.9020,0.2359,0.0399

110.9020,0.2822,0.0913

111.9020,0.2729,0.0810

112.9020,0.2498,0.0553

113.9020,0.2451,0.0501

114.9030,0.2405,0.0450

115.9020,0.2266,0.0296

116.9020,0.2359,0.0399

117.9020,0.2220,0.0244

118.9020,0.2405,0.0450

119.9030,0.2451,0.0501

120.9020,0.2544,0.0604

121.9020,0.2359,0.0399

122.9020,0.2498,0.0553

123.9020,0.2451,0.0501

124.9020,0.2220,0.0244

125.9020,0.2451,0.0501

126.9020,0.2451,0.0501

127.9020,0.2312,0.0347

128.9020,0.2405,0.0450

129.9020,0.2405,0.0450

130.9020,0.2451,0.0501

131.9020,0.2498,0.0553

