Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
0.9310,4.0793,4.3103

1.6270,4.0978,4.3309

2.6270,2.3752,2.4169

3.6270,0.2544,0.0604

4.6270,0.2729,0.0810

5.6270,0.2544,0.0604

6.6270,0.2590,0.0656

7.6280,0.2359,0.0399

8.6270,0.1942,-0.0065

9.6270,0.2266,0.0296

10.6270,0.2266,0.0296

11.6270,0.2359,0.0399

12.6270,0.2359,0.0399

13.6270,0.2312,0.0347

14.6270,0.2405,0.0450

15.6270,0.2451,0.0501

16.6270,0.1942,-0.0065

17.6270,0.2590,0.0656

18.6270,0.2498,0.0553

19.6270,0.2405,0.0450

20.6270,0.2498,0.0553

21.6270,0.2359,0.0399

22.6270,0.2405,0.0450

23.6270,0.2312,0.0347

24.6270,0.2312,0.0347

25.6290,0.3192,0.1325

26.6270,0.2405,0.0450

27.6270,0.2544,0.0604

28.6270,0.2405,0.0450

29.6270,0.2220,0.0244

30.6270,0.2451,0.0501

31.6270,0.2451,0.0501

32.6270,0.2590,0.0656

33.6270,0.2359,0.0399

34.6270,0.2220,0.0244

35.6270,0.2035,0.0038

36.6270,0.2451,0.0501

37.6280,0.2544,0.0604

38.6270,0.2405,0.0450

39.6270,0.2312,0.0347

40.6270,0.2312,0.0347

41.6270,0.2451,0.0501

42.6280,0.2544,0.0604

43.6270,0.2405,0.0450

44.6270,0.2451,0.0501

45.6270,0.2451,0.0501

46.6270,0.2359,0.0399

47.6270,0.2312,0.0347

48.6270,0.2266,0.0296

49.6280,0.2544,0.0604

50.6270,0.2220,0.0244

51.6280,0.2359,0.0399

52.6270,0.2266,0.0296

53.6270,0.2359,0.0399

54.6280,0.2220,0.0244

55.6270,0.2312,0.0347

56.6270,0.2312,0.0347

57.6270,0.2173,0.0193

58.6280,0.2312,0.0347

59.6270,0.2359,0.0399

60.6280,0.2312,0.0347

61.6270,0.2220,0.0244

62.6280,0.2590,0.0656

63.6290,0.2081,0.0090

64.6270,0.2498,0.0553

65.6270,0.2590,0.0656

66.6280,0.2544,0.0604

67.6270,0.2405,0.0450

68.6280,0.2498,0.0553

69.6280,0.2590,0.0656

70.6270,0.2359,0.0399

71.6270,0.2451,0.0501

72.6270,0.2266,0.0296

73.6270,0.2266,0.0296

