Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.2410,30.2375,28.4692,27.6449,27.7208,29.0355,27.1145,26.9287,30.5670,28.6216,28.8407,28.4648

1.8140,30.2073,28.4645,27.6326,27.7042,29.0675,27.1390,26.8905,30.5481,28.6152,28.8435,28.4567

2.8140,30.2422,28.4961,27.6478,27.7019,29.0783,27.0970,26.9061,30.5566,28.6333,28.8268,28.4657

3.8140,30.2354,28.4624,27.6470,27.7054,29.0719,27.1180,26.9025,30.5503,28.6244,28.8341,28.4616

4.8150,30.2460,28.4787,27.6487,27.7090,29.0793,27.1132,26.8953,30.5619,28.6323,28.8375,28.4665

5.8140,30.2631,28.4734,27.6472,27.7004,29.0886,27.1204,26.8917,30.5423,28.6345,28.8313,28.4659

6.8140,30.2790,28.4996,27.6569,27.6828,29.0799,27.1212,26.8944,30.5633,28.6396,28.8423,28.4721

7.8150,30.2774,28.4895,27.6468,27.6850,29.0854,27.0970,26.9046,30.5439,28.6368,28.8204,28.4662

8.8140,30.2828,28.4828,27.6392,27.6868,29.0576,27.1104,26.9246,30.5610,28.6298,28.8357,28.4681

9.8150,30.2690,28.4790,27.6320,27.6956,29.0739,27.1305,26.8896,30.5307,28.6299,28.8306,28.4625

10.8140,30.2936,28.4925,27.6442,27.6852,29.0691,27.0987,26.8874,30.5512,28.6369,28.8249,28.4652

11.8140,30.2896,28.5016,27.6364,27.6882,29.0646,27.0965,26.9008,30.5739,28.6361,28.8352,28.4690

12.8150,30.3064,28.5016,27.6189,27.6613,29.0458,27.1148,26.8960,30.5856,28.6268,28.8502,28.4663

13.8140,30.3007,28.4649,27.6284,27.6802,29.0712,27.1105,26.8950,30.6052,28.6291,28.8579,28.4695

14.8150,30.2987,28.4876,27.6237,27.6765,29.0534,27.1019,26.8944,30.5929,28.6280,28.8474,28.4661

15.8150,30.3095,28.4944,27.6480,27.6923,29.0598,27.1033,26.8958,30.6216,28.6408,28.8624,28.4781

16.8140,30.2863,28.4839,27.6313,27.6912,29.0709,27.1069,26.9093,30.6294,28.6327,28.8681,28.4761

17.8150,30.3005,28.4996,27.6574,27.6701,29.0917,27.0924,26.9024,30.6394,28.6439,28.8659,28.4817

18.8140,30.2983,28.4975,27.6483,27.6728,29.0991,27.1194,26.8955,30.6442,28.6432,28.8818,28.4844

19.8140,30.2978,28.4991,27.6272,27.6781,29.1054,27.1231,26.9024,30.6310,28.6415,28.8770,28.4830

20.8140,30.2954,28.4889,27.6500,27.6623,29.0867,27.0915,26.8868,30.6417,28.6367,28.8666,28.4754

21.8140,30.2742,28.4862,27.6770,27.6666,29.0642,27.0919,26.8925,30.6520,28.6336,28.8720,28.4756

22.8140,30.2725,28.4837,27.6679,27.6618,29.0820,27.1114,26.9110,30.6484,28.6336,28.8799,28.4798

