Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
1.2410,2.8012,2.8902

1.8140,2.7318,2.8131

2.8140,2.7688,2.8542

3.8140,-0.3198,-0.5776

4.8150,-0.3615,-0.6239

5.8140,-0.3661,-0.6290

6.8140,-0.3476,-0.6084

7.8150,-0.3707,-0.6342

8.8140,-0.3754,-0.6393

9.8150,-0.3939,-0.6599

10.8140,-0.3661,-0.6290

11.8140,-0.3707,-0.6342

12.8150,-0.4448,-0.7165

13.8140,-0.3800,-0.6444

14.8150,-0.3754,-0.6393

15.8150,3.9959,4.2177

16.8140,3.8894,4.0993

17.8150,3.9635,4.1817

18.8140,4.0052,4.2280

19.8140,3.9959,4.2177

20.8140,3.4680,3.6311

21.8140,3.4634,3.6260

22.8140,3.2319,3.3687

23.8140,3.0652,3.1835

24.8140,2.9309,3.0343

25.8150,3.0003,3.1115

26.8140,2.9864,3.0960

27.8140,3.0003,3.1115

28.8140,2.8475,2.9417

29.8140,2.8151,2.9057

30.8140,2.8058,2.8954

31.8140,2.8892,2.9880

32.8150,2.5836,2.6484

33.8140,2.8799,2.9777

34.8150,2.8105,2.9005

35.8140,2.8151,2.9057

36.8140,2.8151,2.9057

37.8140,2.7827,2.8697

38.8150,2.8012,2.8902

39.8140,2.7966,2.8851

40.8150,2.8058,2.8954

41.8140,2.8105,2.9005

42.8140,2.8012,2.8902

43.8140,2.7966,2.8851

44.8140,2.8012,2.8902

45.8140,2.7179,2.7976

46.8150,2.7781,2.8645

47.8150,2.7781,2.8645

48.8150,2.8336,2.9263

49.8150,2.7734,2.8594

50.8140,2.7595,2.8439

51.8140,2.7595,2.8439

52.8140,2.7040,2.7822

53.8140,2.6808,2.7565

54.8140,2.6762,2.7513

55.8150,2.6901,2.7668

56.8140,2.6530,2.7256

57.8150,2.6345,2.7050

58.8140,2.6253,2.6947

59.8140,2.6114,2.6793

60.8150,2.6021,2.6690

61.8140,2.6391,2.7102

62.8140,2.6114,2.6793

63.8140,2.6160,2.6844

64.8150,2.6160,2.6844

65.8140,2.6253,2.6947

66.8150,2.6206,2.6896

67.8150,2.6160,2.6844

68.8150,2.6438,2.7153

69.8140,2.6299,2.6999

70.8140,2.6114,2.6793

71.8150,2.6160,2.6844

72.8150,2.6993,2.7770

73.8140,2.6253,2.6947

74.8140,2.6160,2.6844

75.8140,2.5188,2.5764

76.8150,2.6253,2.6947

77.8140,2.6206,2.6896

78.8140,2.6484,2.7205

79.8140,2.7040,2.7822

80.8140,2.7827,2.8697

81.8140,2.7179,2.7976

82.8140,2.7642,2.8491

83.8150,2.8058,2.8954

84.8140,2.8105,2.9005

85.8140,2.8290,2.9211

86.8150,2.8105,2.9005

87.8150,2.8707,2.9674

88.8140,2.8012,2.8902

89.8160,2.8614,2.9571

90.8140,2.8753,2.9726

91.8140,2.9124,3.0137

92.8140,2.9077,3.0086

93.8140,2.9633,3.0703

94.8150,2.9216,3.0240

95.8140,2.9170,3.0189

96.8140,2.8985,2.9983

97.8150,2.9031,3.0034

98.8140,2.9124,3.0137

99.8140,2.9818,3.0909

100.8150,2.9170,3.0189

101.8150,2.8892,2.9880

102.8140,2.8892,2.9880

103.8150,2.8985,2.9983

104.8150,2.9170,3.0189

105.8150,2.8938,2.9931

106.8140,2.9262,3.0292

107.8150,2.8846,2.9829

108.8150,2.8938,2.9931

109.8140,2.8938,2.9931

110.8140,2.8892,2.9880

111.8140,2.7734,2.8594

112.8150,2.8475,2.9417

113.8140,2.8475,2.9417

114.8140,2.8614,2.9571

115.8140,2.8475,2.9417

116.8140,2.7734,2.8594

117.8140,2.7920,2.8799

118.8150,2.7734,2.8594

119.8160,2.8522,2.9468

120.8150,2.7688,2.8542

121.8140,2.7688,2.8542

122.8150,2.7873,2.8748

123.8140,2.9355,3.0394

124.8150,2.7966,2.8851

125.8140,2.7734,2.8594

126.8150,2.7734,2.8594

127.8140,2.7549,2.8388

128.8140,2.7734,2.8594

129.8150,2.7781,2.8645

130.8150,2.7318,2.8131

131.8140,2.7688,2.8542

132.8140,2.6577,2.7307

133.8140,2.7132,2.7925

134.8150,2.7827,2.8697

135.8140,2.7688,2.8542

136.8140,2.7781,2.8645

137.8140,2.7734,2.8594

138.8150,2.7642,2.8491

139.8140,2.7734,2.8594

140.8140,2.7595,2.8439

141.8140,2.7595,2.8439

142.8150,2.8151,2.9057

143.8140,2.7781,2.8645

144.8140,2.7549,2.8388

145.8150,2.7966,2.8851

146.8140,2.7734,2.8594

147.8140,2.7456,2.8285

148.8150,2.7781,2.8645

149.8140,2.7549,2.8388

150.8140,2.7642,2.8491

151.8140,2.7549,2.8388

152.8140,2.7595,2.8439

153.8140,2.8522,2.9468

