Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.2450,0.0055,0.0450,0.0000,0.0000

1.6450,0.0129,0.0604,0.0000,0.0000

2.6450,0.0088,0.0399,0.0000,0.0001

3.6450,0.2565,1.0740,0.0000,0.0001

4.6450,0.4140,1.1203,0.0000,0.0000

5.6450,0.5182,1.1152,0.0000,0.0000

6.6460,0.5905,1.0997,0.0000,0.0000

7.6460,0.6448,1.0997,0.0000,0.0000

8.6450,0.6875,1.1049,0.0000,0.0000

9.6450,0.7187,1.0740,0.0000,0.0000

10.6450,0.8216,1.1100,0.0000,0.0000

11.6450,0.9220,1.0997,0.0000,0.0000

12.6450,1.0263,1.1203,0.0000,0.0000

13.6450,1.0278,1.0895,0.0000,0.0000

14.6470,1.0273,1.1152,0.0000,0.0001

15.6450,1.0278,1.1203,0.0000,0.0000

16.6450,1.0268,1.0895,0.0000,0.0000

17.6450,1.0278,1.1100,0.0000,0.0000

18.6460,1.0283,1.1100,0.0000,0.0000

19.6450,1.0323,1.1152,0.0000,0.0000

20.6450,1.0313,1.0997,0.0000,0.0000

21.6460,1.0318,1.1049,0.0000,0.0000

22.6450,1.0293,1.0946,0.0000,0.0000

23.6460,1.0328,1.1255,0.0000,0.0000

24.6450,1.0308,1.0946,0.0000,0.0000

25.6450,1.0293,1.1049,0.0000,0.0000

26.6450,1.0338,1.1358,0.0000,0.0000

27.6450,1.0537,1.3158,0.0000,0.0000

28.6450,1.0780,1.3621,0.0000,0.0000

29.6450,1.0999,1.3416,0.0000,0.0000

30.6450,1.1238,1.3467,0.0000,0.0000

31.6450,1.1496,1.3724,0.0000,0.0000

32.6450,1.1754,1.3621,0.0000,0.0000

33.6450,1.1983,1.3621,0.0000,0.0000

34.6460,1.2237,1.3570,0.0000,0.0000

35.6460,1.2495,1.3724,0.0000,0.0000

36.6450,1.2739,1.3879,0.0000,0.0000

37.6450,1.2803,1.3827,0.0000,0.0000

38.6450,1.2768,1.3261,0.0000,0.0000

39.6450,1.2798,1.3724,0.0000,0.0000

40.6450,1.2828,1.3776,0.0000,0.0000

41.6460,1.2818,1.3621,0.0000,0.0000

42.6470,1.2818,1.3621,0.0000,0.0000

43.6450,1.2843,1.3879,0.0000,0.0000

44.6460,1.2863,1.3776,0.0000,0.0000

45.6450,1.2853,1.3621,0.0000,0.0000

46.6450,1.2977,1.5165,0.0000,0.0000

47.6450,1.2917,1.3210,0.0000,0.0000

48.6450,1.2962,1.3724,0.0000,0.0000

49.6450,1.2987,1.3982,0.0000,0.0000

50.6450,1.3588,2.0001,0.0000,0.0000

51.6450,1.4195,1.9898,0.0000,0.0000

52.6450,1.4816,2.0053,0.0000,0.0000

53.6450,1.5398,1.9898,0.0000,0.0000

54.6450,1.5979,1.9796,0.0000,0.0000

55.6450,1.6605,2.0104,0.0000,0.0000

56.6450,1.7068,1.9950,0.0000,0.0000

57.6460,1.7704,1.9796,0.0000,0.0000

58.6460,1.8285,1.9744,0.0000,0.0000

59.6450,1.8862,1.9950,0.0000,0.0000

60.6450,1.8882,2.0207,0.0000,0.0000

61.6450,1.8872,1.9796,0.0000,0.0000

62.6460,1.8862,1.9950,0.0000,0.0000

63.6450,1.8912,2.0413,0.0000,0.0000

64.6450,1.8916,1.9847,0.0000,0.0000

65.6450,1.8926,2.0207,0.0000,0.0000

66.6460,1.8912,1.9796,0.0000,0.0000

67.6460,1.8931,2.0001,0.0000,0.0000

68.6450,1.8926,1.9693,0.0000,0.0000

69.6470,1.8946,2.0156,0.0000,0.0000

70.6460,1.8912,1.9847,0.0000,0.0000

71.6460,1.8921,1.9898,0.0000,0.0000

72.6450,1.8907,1.9796,0.0000,0.0000

73.6450,1.8887,2.0207,0.0000,0.0000

74.6450,1.8867,1.9641,0.0000,0.0000

75.6450,1.8847,2.0001,0.0000,0.0000

76.6460,1.8872,2.0053,0.0000,0.0000

77.6460,1.8867,1.9950,0.0000,0.0000

78.6460,1.8912,2.0156,0.0000,0.0000

79.6450,1.8897,2.0001,0.0000,0.0000

80.6450,1.8916,2.0053,0.0000,0.0000

81.6450,1.8916,1.9898,0.0000,0.0000

82.6450,1.8916,1.9796,0.0000,0.0000

83.6450,1.8916,2.0207,0.0000,0.0000

84.6460,1.8951,2.0001,0.0000,0.0000

85.6450,1.8941,1.9898,0.0000,0.0000

86.6450,1.8951,2.0156,0.0000,0.0000

87.6460,1.8971,2.0156,0.0000,0.0000

88.6450,1.8951,1.9950,0.0000,0.0000

89.6460,1.8941,1.9898,0.0000,0.0000

90.6450,1.8931,1.9950,0.0000,0.0000

91.6450,1.8946,2.0053,0.0000,0.0000

92.6450,1.8981,2.0156,0.0000,0.0000

93.6450,1.8956,1.9950,0.0000,0.0000

94.6450,1.8941,1.9847,0.0000,0.0000

95.6450,1.8941,1.9898,0.0000,0.0000

96.6450,1.8921,1.9950,0.0000,0.0000

97.6450,1.8912,2.0053,0.0000,0.0000

98.6460,1.8902,1.9847,0.0000,0.0000

99.6450,1.8921,2.0104,0.0000,0.0000

100.6450,1.8971,2.0464,0.0000,0.0000

101.6450,1.8971,2.0053,0.0000,0.0000

102.6450,1.8961,2.0053,0.0000,0.0000

103.6460,1.8971,2.0053,0.0000,0.0000

104.6460,1.9006,2.0207,0.0000,0.0000

105.6450,1.9021,2.0053,0.0000,0.0000

106.6450,1.9051,2.0259,0.0000,0.0000

107.6450,1.9051,2.0053,0.0000,0.0000

108.6450,1.9066,2.0001,0.0000,0.0000

109.6460,1.9051,1.9950,0.0000,0.0000

110.6460,1.9021,2.0156,0.0000,0.0000

111.6450,1.9016,2.0001,0.0000,0.0000

112.6450,1.9001,1.9898,0.0000,0.0000

113.6450,1.8976,1.9796,0.0000,0.0000

114.6450,1.8966,2.0104,0.0000,0.0000

115.6450,1.8966,2.0053,0.0000,0.0000

116.6460,1.8946,2.0053,0.0000,0.0000

117.6450,1.8946,2.0053,0.0000,0.0000

118.6450,1.8941,1.9950,0.0000,0.0000

119.6450,1.8951,2.0053,0.0000,0.0000

120.6460,1.8936,2.0001,0.0000,0.0000

121.6450,1.8941,2.0053,0.0000,0.0000

122.6450,1.8946,1.9950,0.0000,0.0000

123.6450,1.8966,2.0001,0.0000,0.0000

124.6450,1.8956,2.0001,0.0000,0.0000

125.6450,1.8961,2.0104,0.0000,0.0000

126.6450,1.8971,2.0156,0.0000,0.0000

127.6450,1.8966,2.0001,0.0000,0.0000

128.6450,1.8986,2.0156,0.0000,0.0000

129.6450,1.8971,1.9898,0.0000,0.0000

130.6460,1.8981,2.0104,0.0000,0.0000

131.6450,1.9001,2.0259,0.0000,0.0000

132.6450,1.9016,2.0104,0.0000,0.0000

133.6450,1.8991,1.9744,0.0000,0.0000

134.6460,1.8966,1.9744,0.0000,0.0000

135.6450,1.8961,2.0053,0.0000,0.0000

136.6450,1.8926,1.9796,0.0000,0.0000

137.6450,1.8921,1.9950,0.0000,0.0000

138.6450,1.8916,2.0104,0.0000,0.0000

139.6450,1.8931,2.0053,0.0000,0.0000

140.6450,1.8946,2.0259,0.0000,0.0000

141.6450,1.8916,1.9950,0.0000,0.0000

142.6450,1.8936,2.0310,0.0000,0.0000

143.6450,1.8971,2.0104,0.0000,0.0000

144.6470,1.9001,2.0053,0.0000,0.0000

145.6450,1.8976,1.9796,0.0000,0.0000

146.6450,1.9001,2.0053,0.0000,0.0000

147.6450,1.9011,2.0053,0.0000,0.0001

148.6450,1.9011,2.0104,0.0000,0.0000

149.6460,1.9006,2.0001,0.0000,0.0000

150.6450,1.8966,1.9847,0.0000,0.0000

151.6450,1.8961,1.9898,0.0000,0.0000

152.6450,1.8931,2.0001,0.0000,0.0000

153.6460,1.8797,1.8715,0.0000,0.0000

154.6450,1.8792,2.0001,0.0000,0.0000

155.6460,1.8807,1.9950,0.0000,0.0000

156.6460,1.8802,2.0001,0.0000,0.0000

157.6450,1.8797,2.0001,0.0000,0.0000

158.6460,1.8797,2.0104,0.0000,0.0000

159.6450,1.8787,1.9898,0.0000,0.0000

160.6450,1.8802,2.0001,0.0000,0.0000

161.6450,1.8822,2.0104,0.0000,0.0000

162.6450,1.8827,2.0053,0.0000,0.0000

163.6450,1.8921,1.9693,0.0000,0.0000

164.6450,1.8956,2.0362,0.0000,0.0000

165.6450,1.8976,2.0156,0.0000,0.0000

166.6450,1.8971,1.9950,0.0000,0.0000

167.6450,1.8971,2.0001,0.0000,0.0000

168.6450,1.8951,1.9898,0.0000,0.0000

169.6470,1.8966,2.0053,0.0000,0.0000

170.6460,1.8951,1.9847,0.0000,0.0000

171.6450,1.8946,2.0053,0.0000,0.0000

172.6450,1.8951,2.0104,0.0000,0.0000

173.6450,1.8981,2.0001,0.0000,0.0000

174.6450,1.8966,2.0207,0.0000,0.0000

175.6460,1.8951,2.0001,0.0000,0.0000

176.6460,1.8931,1.9744,0.0000,0.0000

