Elapsed Time (s), Rod voltage (V)
1.2450,NaN

1.6450,0.0013

2.6450,0.0008

3.6450,0.0008

4.6450,0.0007

5.6450,0.0008

6.6460,0.0008

7.6460,0.0007

8.6450,0.0007

9.6450,0.0008

10.6450,0.0007

11.6450,0.0007

12.6450,0.0007

13.6450,0.0008

14.6470,0.0007

15.6450,0.0007

16.6450,0.0008

17.6450,0.0007

18.6460,0.0007

19.6450,0.0007

20.6450,0.0007

21.6460,0.0007

22.6450,0.0007

23.6460,0.0008

24.6450,0.0007

25.6450,0.0007

26.6450,0.0007

27.6450,0.0007

28.6450,0.0007

29.6450,0.0007

30.6450,0.0007

31.6450,0.0007

32.6450,0.0007

33.6450,0.0007

34.6460,0.0007

35.6460,0.0007

36.6450,0.0007

37.6450,0.0008

38.6450,0.0007

39.6450,0.0008

40.6450,0.0007

41.6460,0.0007

42.6470,0.0007

43.6450,0.0007

44.6460,0.0008

45.6450,0.0007

46.6450,0.0009

47.6450,0.0006

48.6450,0.0008

49.6450,0.0007

50.6450,0.0008

51.6450,0.0007

52.6450,0.0007

53.6450,0.0008

54.6450,0.0007

55.6450,0.0007

56.6450,0.0007

57.6460,0.0007

58.6460,0.0007

59.6450,0.0007

60.6450,0.0008

61.6450,0.0008

62.6460,0.0007

63.6450,0.0007

64.6450,0.0007

65.6450,0.0007

66.6460,0.0007

67.6460,0.0007

68.6450,0.0007

69.6470,0.0008

70.6460,0.0007

71.6460,0.0007

72.6450,0.0008

73.6450,0.0007

74.6450,0.0007

75.6450,0.0007

76.6460,0.0007

77.6460,0.0007

78.6460,0.0007

79.6450,0.0008

80.6450,0.0008

81.6450,0.0008

82.6450,0.0008

83.6450,0.0007

84.6460,0.0007

85.6450,0.0007

86.6450,0.0007

87.6460,0.0007

88.6450,0.0008

89.6460,0.0007

90.6450,0.0007

91.6450,0.0007

92.6450,0.0007

93.6450,0.0008

94.6450,0.0008

95.6450,0.0008

96.6450,0.0007

97.6450,0.0008

98.6460,0.0007

99.6450,0.0008

100.6450,0.0007

101.6450,0.0007

102.6450,0.0008

103.6460,0.0008

104.6460,0.0007

105.6450,0.0008

106.6450,0.0007

107.6450,0.0007

108.6450,0.0008

109.6460,0.0007

110.6460,0.0008

111.6450,0.0007

112.6450,0.0007

113.6450,0.0008

114.6450,0.0007

115.6450,0.0008

116.6460,0.0007

117.6450,0.0008

118.6450,0.0007

119.6450,0.0007

120.6460,0.0008

121.6450,0.0007

122.6450,0.0008

123.6450,0.0008

124.6450,0.0008

125.6450,0.0008

126.6450,0.0007

127.6450,0.0007

128.6450,0.0007

129.6450,0.0007

130.6460,0.0008

131.6450,0.0007

132.6450,0.0008

133.6450,0.0008

134.6460,0.0007

135.6450,0.0006

136.6450,0.0009

137.6450,0.0007

138.6450,0.0008

139.6450,0.0008

140.6450,0.0008

141.6450,0.0008

142.6450,0.0007

143.6450,0.0008

144.6470,0.0008

145.6450,0.0007

146.6450,0.0009

147.6450,0.0007

148.6450,0.0007

149.6460,0.0008

150.6450,0.0008

151.6450,0.0007

152.6450,0.0007

153.6460,0.0007

154.6450,0.0008

155.6460,0.0007

156.6460,0.0008

157.6450,0.0007

158.6460,0.0008

159.6450,0.0008

160.6450,0.0008

161.6450,0.0008

162.6450,0.0008

163.6450,0.0007

164.6450,0.0008

165.6450,0.0008

166.6450,0.0008

167.6450,0.0008

168.6450,0.0008

169.6470,0.0007

170.6460,0.0008

171.6450,0.0008

172.6450,0.0007

173.6450,0.0008

174.6450,0.0008

175.6460,0.0008

176.6460,0.0009

177.6450,0.0008

178.6450,0.0008

179.6450,0.0008

180.6450,0.0008

181.6450,0.0008

182.6450,0.0008

183.6450,0.0008

184.6450,0.0007

185.6450,0.0008

186.6450,0.0007

187.6450,0.0008

188.6470,0.0008

189.6450,0.0008

190.6450,0.0007

191.6460,0.0008

192.6460,0.0009

193.6450,0.0007

194.6450,0.0007

195.6460,0.0007

196.6450,0.0009

197.6460,0.0007

198.6450,0.0008

199.6450,0.0007

200.6450,0.0007

201.6450,0.0008

202.6460,0.0008

203.6450,0.0008

204.6450,0.0007

205.6450,0.0007

206.6460,0.0008

207.6450,0.0008

208.6450,0.0007

209.6450,0.0007

210.6460,0.0007

211.6450,0.0008

212.6450,0.0007

213.6450,0.0008

214.6450,0.0008

215.6450,0.0007

216.6450,0.0007

217.6450,0.0008

218.6460,0.0008

219.6450,0.0007

220.6450,0.0008

221.6450,0.0007

222.6450,0.0008

223.6450,0.0007

224.6460,0.0007

225.6450,0.0007

226.6450,0.0007

227.6450,0.0007

228.6450,0.0007

229.6460,0.0007

230.6450,0.0007

