Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
3.6800,42.3065,42.3011,42.4029,42.2220,42.3429,29.2926,42.0475,35.7856,42.3151,32.5391,39.8376

4.0350,42.2996,42.3210,42.4061,42.2136,42.3107,29.2758,42.0457,35.7786,42.3102,32.5272,39.8314

4.8600,42.3046,42.3073,42.4142,42.2241,42.3329,29.3104,42.0507,35.7817,42.3166,32.5461,39.8407

5.8610,42.2821,42.3133,42.4105,42.2152,42.3045,29.2806,42.0361,35.7694,42.3051,32.5250,39.8265

6.8610,42.3065,42.2969,42.4205,42.2169,42.3359,29.2879,42.0410,35.7640,42.3153,32.5260,39.8337

7.8600,42.2914,42.3160,42.4420,42.2258,42.3151,29.2905,42.0412,35.7862,42.3181,32.5384,39.8385

8.8600,42.2969,42.3185,42.4148,42.2018,42.3362,29.2919,42.0226,35.7834,42.3137,32.5376,39.8333

9.8600,42.3052,42.3043,42.4279,42.2178,42.3177,29.2696,42.0583,35.7711,42.3146,32.5204,39.8340

10.8610,42.3002,42.2958,42.4348,42.2168,42.3340,29.3154,42.0431,35.7680,42.3163,32.5417,39.8385

11.8600,42.3199,42.3187,42.4507,42.2089,42.3303,29.2949,42.0432,35.7775,42.3257,32.5362,39.8430

12.8600,42.2952,42.3123,42.4114,42.2175,42.3142,29.2765,42.0297,35.7700,42.3101,32.5232,39.8283

13.8600,42.2971,42.2892,42.4227,42.2204,42.3269,29.2643,42.0279,35.7667,42.3113,32.5155,39.8269

14.8600,42.2997,42.3085,42.4251,42.2229,42.3215,29.2885,42.0374,35.7688,42.3155,32.5287,39.8341

15.8600,42.3048,42.3230,42.4434,42.2156,42.3095,29.2763,42.0448,35.7852,42.3192,32.5307,39.8378

16.8600,42.2939,42.3044,42.4155,42.2300,42.3365,29.2850,42.0502,35.7714,42.3161,32.5282,39.8359

17.8600,42.3107,42.3285,42.4336,42.2193,42.3211,29.3006,42.0368,35.7869,42.3226,32.5438,39.8422

18.8600,42.3086,42.3109,42.4262,42.2110,42.3221,29.2844,42.0468,35.7830,42.3158,32.5337,39.8366

19.8600,42.2949,42.3021,42.4277,42.2222,42.3054,29.2997,42.0252,35.7594,42.3105,32.5296,39.8296

20.8600,42.3015,42.3151,42.4448,42.2454,42.3137,29.2988,42.0392,35.7538,42.3241,32.5263,39.8391

21.8600,42.3002,42.3209,42.4148,42.2339,42.3167,29.2990,42.0566,35.7479,42.3173,32.5234,39.8362

22.8600,42.2944,42.3126,42.4255,42.2238,42.3316,29.2974,42.0480,35.7627,42.3176,32.5300,39.8370

23.8600,42.2992,42.3041,42.4004,42.2297,42.3190,29.2829,42.0518,35.7656,42.3105,32.5242,39.8316

24.8610,42.3055,42.2919,42.4216,42.2240,42.3240,29.2817,42.0372,35.7832,42.3134,32.5324,39.8337

