Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9660,25.2289,24.9064,24.3342,24.2377,23.5724,24.2840,24.4580,25.5024,24.4559,24.8932,24.5655

2.8780,25.2483,24.8966,24.3069,24.2360,23.5856,24.2849,24.4765,25.4962,24.4546,24.8905,24.5664

3.8780,25.2329,24.9007,24.3336,24.2344,23.5592,24.2860,24.4886,25.5337,24.4521,24.9098,24.5711

4.8780,25.2409,24.9000,24.3259,24.2470,23.5645,24.3002,24.4526,25.5030,24.4557,24.9016,24.5668

5.8780,25.2342,24.8950,24.3124,24.2476,23.5781,24.2779,24.4556,25.5138,24.4535,24.8958,24.5643

6.8790,25.2418,24.9058,24.3222,24.2282,23.5743,24.2855,24.4527,25.4982,24.4545,24.8918,24.5636

7.8780,25.2367,24.9109,24.3198,24.2370,23.5673,24.2827,24.4592,25.5257,24.4543,24.9042,24.5674

8.8780,25.2232,24.9036,24.3167,24.2628,23.5501,24.3104,24.4712,25.5061,24.4513,24.9082,24.5680

9.8780,25.2407,24.8920,24.3283,24.2423,23.5605,24.2859,24.4587,25.5080,24.4528,24.8969,24.5646

10.8780,25.2271,24.9081,24.3127,24.2314,23.5687,24.2992,24.4720,25.5251,24.4496,24.9122,24.5681

11.8780,25.2390,24.9100,24.3183,24.2380,23.5768,24.2799,24.4700,25.5134,24.4564,24.8966,24.5682

12.8780,25.2199,24.9198,24.3149,24.2644,23.5855,24.2773,24.4572,25.4890,24.4609,24.8832,24.5660

13.8780,25.2579,24.9098,24.3087,24.2322,23.5952,24.2955,24.4595,25.5115,24.4608,24.9035,24.5713

14.8790,25.2435,24.9091,24.3019,24.2423,23.5647,24.3009,24.4522,25.5179,24.4523,24.9094,24.5666

15.8780,25.2456,24.8892,24.3061,24.2305,23.5701,24.2808,24.4659,25.5105,24.4483,24.8956,24.5623

16.8780,25.2219,24.9217,24.3197,24.2294,23.5861,24.3006,24.4695,25.5213,24.4558,24.9109,24.5713

17.8790,25.2387,24.8950,24.3223,24.2566,23.5674,24.2942,24.4489,25.5092,24.4560,24.9017,24.5665

18.8780,25.2356,24.9037,24.3300,24.2242,23.5738,24.3251,24.4747,25.5066,24.4535,24.9159,24.5717

