Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9660,0.2302,0.1065,1.8355,1.7747,1.8973,1.8360,0.2294,1.0123,1.8360,1.1299

2.8780,0.0450,-0.3257,2.1442,2.3303,2.0208,1.7743,0.3529,1.0946,1.7743,1.1917

3.8780,0.2302,-0.2022,2.2677,1.7747,1.8355,1.8360,0.7234,1.1049,1.8360,1.2093

4.8780,-0.0168,0.1682,2.0825,1.6512,1.4651,1.7126,0.7234,1.0123,1.7126,1.1123

5.8780,0.2302,-0.0788,2.1442,2.0834,1.8355,1.5274,0.5381,1.1254,1.5274,1.1829

6.8790,-0.0168,0.1065,2.2060,1.9599,1.4033,1.7743,0.7234,1.0637,1.7743,1.1652

7.8780,0.1067,-0.4492,2.5764,1.7129,1.8355,1.7743,0.5999,1.0637,1.7743,1.1652

8.8780,0.1684,-1.2517,2.0825,1.7129,2.2060,1.2804,0.6616,0.9300,1.2804,0.9800

9.8780,0.2302,-0.0788,1.9590,1.8981,1.6503,1.5274,0.4764,1.0225,1.5274,1.0947

10.8780,-0.2019,-0.0788,2.1442,1.7747,1.8973,2.0830,0.7851,1.0534,2.0830,1.2005

11.8780,-0.1402,0.2917,2.2060,1.9599,1.9590,2.0212,0.5381,1.1357,2.0212,1.2622

12.8780,-0.2637,0.1065,2.0208,1.9599,2.0208,1.6508,1.1555,1.1666,1.6508,1.2358

13.8780,0.1684,0.3534,2.4529,1.8364,1.6503,1.5274,0.5381,1.1666,1.5274,1.2181

14.8790,-0.1402,-0.0170,2.2677,0.9104,2.3912,1.8978,0.5381,0.9917,1.8978,1.1211

15.8780,-0.1402,-0.0788,1.7121,2.0834,1.5268,1.6508,0.4764,0.9299,1.6508,1.0329

16.8780,-0.1402,0.0447,2.0208,1.7747,2.0208,1.5274,0.5381,1.0431,1.5274,1.1123

17.8790,0.2919,-0.2022,1.7121,1.9599,1.6503,1.7743,0.4147,0.9711,1.7743,1.0858

18.8780,-0.0785,0.4151,1.8973,1.8364,1.6503,1.8360,0.7851,1.0843,1.8360,1.1917

19.8790,-0.2019,-0.0788,1.9590,1.5277,2.0825,1.8360,0.7851,1.0123,1.8360,1.1300

20.8780,-0.2019,0.1065,1.9590,1.9599,1.7121,2.2682,0.8468,1.0637,2.2682,1.2358

21.8790,-0.6340,0.1682,2.4529,1.9599,2.0208,1.7126,0.6616,1.1049,1.7126,1.1917

22.8790,-0.6958,0.4769,1.8355,1.8981,1.8973,1.6508,0.5999,1.0020,1.6508,1.0947

23.8790,0.0450,-0.4492,1.8973,1.9599,2.1443,1.7743,0.2912,0.9814,1.7743,1.0947

24.8780,-0.3254,-0.2022,1.9590,1.9599,1.9590,1.5891,1.1555,1.0843,1.5891,1.1564

25.8790,-0.3871,0.4769,2.3912,2.0834,1.6503,1.5891,0.5999,1.1358,1.5891,1.2005

26.8790,-0.0785,-0.0788,2.2060,1.8364,1.8973,1.4656,0.7851,1.0946,1.4656,1.1476

27.8780,0.2302,-0.2022,1.8355,1.8981,2.0208,1.7126,0.4764,1.0431,1.7126,1.1388

28.8790,-0.2637,0.1065,1.9590,2.2686,2.2060,1.5891,0.4147,1.1152,1.5891,1.1829

29.8780,0.2302,-0.1405,1.9590,1.9599,1.5886,1.5274,0.4147,1.0020,1.5274,1.0770

30.8780,0.0450,-0.2022,2.0208,2.4538,2.0208,1.5891,0.4764,1.1357,1.5891,1.2005

31.8780,0.1067,0.0447,2.6382,2.3303,1.6503,1.8978,0.4147,1.1975,1.8978,1.2975

32.8780,0.2919,0.1065,1.7738,2.3303,1.8355,1.5891,0.4764,1.1357,1.5891,1.2005

33.8790,-0.0168,0.1065,1.2181,1.9599,2.0208,1.4656,0.5999,0.9814,1.4656,1.0506

34.8780,-0.0168,0.3534,1.8355,1.2808,2.2060,1.7743,0.6616,1.0534,1.7743,1.1564

35.8780,-0.0168,0.1065,2.1442,2.0216,1.8355,1.8978,0.4764,1.0946,1.8978,1.2093

36.8780,-0.0785,-0.0788,1.8355,2.1451,1.8355,1.9595,0.5999,1.0431,1.9595,1.1740

37.8780,0.4153,0.0447,1.6503,1.7747,2.0825,1.7743,0.2294,1.0328,1.7743,1.1388

38.8790,0.2302,0.1065,1.7121,2.2068,2.1443,1.5891,0.5999,1.1666,1.5891,1.2270

39.8780,0.3536,0.4151,2.1442,1.6512,1.6503,1.8360,0.5381,1.1254,1.8360,1.2270

40.8780,-0.0168,0.5386,2.0208,2.1451,1.8973,1.7126,-0.1410,1.0740,1.7126,1.1652

41.8780,-0.2019,0.2917,1.8973,1.9599,1.6503,1.8978,0.6616,1.0431,1.8978,1.1652

42.8790,-0.2019,-0.0788,2.2677,1.8364,1.9590,1.6508,0.8468,1.1049,1.6508,1.1829

43.8790,-0.5106,-0.2022,2.4529,1.9599,1.6503,2.0830,1.0938,1.0740,2.0830,1.2182

44.8790,-0.0785,-0.2640,2.2677,1.5895,1.8973,1.8360,0.9086,1.0534,1.8360,1.1652

45.8780,0.2919,-0.0170,2.1442,2.3303,2.0825,1.7743,0.4147,1.2078,1.7743,1.2887

46.8780,0.1067,-0.2022,2.1442,2.0216,2.2677,2.0212,0.5381,1.1460,2.0212,1.2711

47.8780,-0.2019,-0.0788,2.0208,1.7747,2.0208,1.2804,0.9086,1.0740,1.2804,1.1035

48.8780,0.2919,-0.1405,1.8355,2.1451,1.8973,1.7743,0.5381,1.0946,1.7743,1.1917

49.8790,-0.0168,-0.0788,2.3912,1.8981,2.3295,1.8978,0.4147,1.1563,1.8978,1.2623

50.8780,0.4153,-0.1405,1.8355,2.0834,1.9590,1.9595,0.4764,1.1049,1.9595,1.2270

51.8780,-0.2019,-0.2022,2.2060,1.5895,2.0825,2.6386,0.7234,1.0329,2.6386,1.2623

52.8790,-0.0785,0.2299,2.2060,1.7747,2.2060,1.6508,0.5381,1.1460,1.6508,1.2182

53.8780,-0.0168,-0.0788,2.2060,2.0216,2.0208,2.0830,0.6616,1.1357,2.0830,1.2711

54.8780,0.2302,0.1065,2.2060,2.1451,1.8973,1.5274,0.4764,1.1769,1.5274,1.2270

55.8780,0.2302,-0.0788,2.1442,1.8364,1.5268,2.0830,0.1677,0.9711,2.0830,1.1299

56.8790,0.0450,0.1065,2.0825,1.6512,1.5886,1.8978,0.2294,0.9505,1.8978,1.0858

57.8780,0.0450,-0.2022,1.7738,2.0834,2.0825,1.4039,0.6616,1.0740,1.4039,1.1211

58.8780,-0.2637,-0.1405,1.8973,1.7747,1.9590,1.6508,0.8468,1.0123,1.6508,1.1035

59.8780,-0.2019,0.3534,1.8973,1.9599,1.8973,1.6508,0.7234,1.1049,1.6508,1.1829

60.8780,0.0450,0.0447,2.0825,1.8364,2.2060,1.6508,1.0321,1.2078,1.6508,1.2711

61.8780,-0.2019,-0.1405,2.0825,2.2068,1.8973,1.5891,0.7851,1.1049,1.5891,1.1741

62.8780,-0.2019,0.2299,2.0825,2.2068,2.2060,1.8360,0.2912,1.1357,1.8360,1.2358

63.8780,-0.0785,-0.1405,2.0208,1.7129,2.2677,1.7126,0.7851,1.0946,1.7126,1.1829

64.8780,-0.0168,-0.0788,1.9590,2.1451,2.2677,1.5891,1.0321,1.2181,1.5891,1.2711

65.8780,0.0450,0.1065,1.4651,1.7129,2.1443,1.6508,0.7851,1.0431,1.6508,1.1300

66.8780,-0.1402,-0.0788,2.2677,1.7747,1.8355,1.4656,0.2294,0.9814,1.4656,1.0506

67.8780,0.2302,-0.0170,1.6503,2.0834,1.5268,1.7743,0.5999,1.0123,1.7743,1.1211

68.8780,-0.0785,0.1682,1.6503,1.8364,2.0208,1.7743,0.7234,1.0534,1.7743,1.1564

69.8780,0.1684,0.0447,2.4529,2.2068,1.7738,1.8360,0.5381,1.1975,1.8360,1.2887

70.8780,0.6622,-0.0170,2.1442,1.8981,2.2677,1.4656,0.4764,1.2386,1.4656,1.2711

71.8780,-0.2019,0.6003,1.8973,1.8981,2.0208,1.5274,0.5381,1.1255,1.5274,1.1829

72.8780,-0.8192,-0.1405,2.3295,1.8364,1.8973,1.7743,0.7234,0.9711,1.7743,1.0859

73.8780,-0.0785,0.6003,1.9590,1.7747,2.0825,1.5274,0.5381,1.1460,1.5274,1.2005

74.8780,0.2302,0.1682,1.9590,1.7129,1.8355,1.8360,0.1677,1.0123,1.8360,1.1299

75.8780,0.4771,-0.2640,1.7738,2.0216,1.7738,1.7126,0.1677,0.9917,1.7126,1.0947

76.8780,-0.1402,-0.2640,1.4651,2.1451,1.8355,1.9595,0.7234,0.9608,1.9595,1.1035

77.8780,-0.0168,-0.0170,2.1442,1.9599,2.3295,1.8978,0.4147,1.1357,1.8978,1.2446

78.8780,0.1067,0.1065,2.3295,1.0339,1.8973,1.8360,0.5999,1.0123,1.8360,1.1300

79.8790,-0.0785,0.3534,1.9590,2.0834,1.9590,1.7126,0.4147,1.1152,1.7126,1.2005

80.8780,0.0450,-0.0788,1.8355,1.8364,1.7121,1.7743,0.4147,0.9608,1.7743,1.0770

81.8780,-0.4489,0.0447,2.2677,1.8981,1.9590,1.7126,0.2912,1.0020,1.7126,1.1035

82.8780,-0.0168,-0.0788,2.2060,1.6512,1.8973,1.7743,0.2294,0.9814,1.7743,1.0947

83.8780,0.2919,0.0447,1.8355,2.3920,1.8355,1.6508,0.3529,1.1254,1.6508,1.2005

84.8780,0.2302,-0.0170,1.9590,2.0216,2.0208,1.1569,0.5381,1.1254,1.1569,1.1299

85.8790,-0.0785,0.1682,1.4651,1.9599,1.9590,1.5891,0.5999,1.0123,1.5891,1.0947

86.8780,-0.1402,0.1682,2.0825,2.2068,1.8973,1.7126,1.0321,1.2078,1.7126,1.2799

87.8790,0.3536,-0.0170,1.7738,2.1451,1.7121,1.6508,0.3529,1.0534,1.6508,1.1388

88.8780,0.2302,-0.0170,2.2060,2.0216,1.9590,1.8360,0.2294,1.1049,1.8360,1.2093

89.8780,-0.1402,-0.0788,1.6503,2.1451,1.9590,2.1447,0.8468,1.0637,2.1447,1.2181

90.8780,0.1684,0.9708,2.2677,2.0834,1.8355,1.6508,0.5381,1.3107,1.6508,1.3593

91.8780,0.2919,-0.0170,2.0208,1.5895,1.8355,1.9595,0.2294,0.9917,1.9595,1.1299

92.8780,0.1067,-0.2022,2.4529,1.7747,1.8355,1.4656,0.7234,1.1152,1.4656,1.1652

93.8780,0.4153,0.2299,1.6503,1.9599,1.8973,1.8978,0.1677,1.0534,1.8978,1.1740

94.8790,0.2302,0.4769,2.0825,1.7747,2.2060,1.4039,0.3529,1.1872,1.4039,1.2181

95.8790,-0.5723,0.5386,1.9590,1.8364,1.9590,1.7126,0.5381,1.0432,1.7126,1.1388

96.8780,-0.2019,0.2917,1.9590,1.9599,1.6503,1.8978,0.6616,1.0534,1.8978,1.1740

97.8790,-0.1402,0.1065,2.0208,1.9599,1.5886,1.6508,0.7234,1.0431,1.6508,1.1299

98.8780,0.0450,0.4769,2.2060,1.8364,1.4033,1.4656,0.5999,1.0946,1.4656,1.1476

99.8780,0.3536,0.1682,1.8355,1.9599,1.8973,1.8978,0.1060,1.0534,1.8978,1.1740

100.8780,0.2302,-0.0788,1.8973,1.7747,1.9590,1.8360,0.5381,1.0534,1.8360,1.1652

101.8780,0.2919,-0.1405,2.0208,2.0216,1.8355,1.4656,0.4147,1.0740,1.4656,1.1299

102.8780,0.2302,-0.0170,2.6999,1.8364,1.6503,1.9595,0.4147,1.1357,1.9595,1.2534

103.8780,0.1067,-0.1405,2.2060,1.7129,1.8355,1.8360,0.7234,1.0740,1.8360,1.1829

104.8780,-0.4489,0.1065,1.8973,2.1451,1.9590,2.3917,0.7234,1.0637,2.3917,1.2534

105.8780,0.1684,-0.1405,1.9590,2.8242,3.0704,1.2804,0.4147,1.3827,1.2804,1.3681

106.8790,-0.0168,0.1065,1.7121,1.9599,1.9590,2.3299,0.4147,1.0226,2.3299,1.2093

107.8780,-0.0785,-0.3257,2.0208,1.8364,2.0208,1.7126,1.0938,1.0946,1.7126,1.1829

108.8780,-0.5106,0.4769,1.4034,2.0216,2.0825,1.5891,0.6616,1.0226,1.5891,1.1035

109.8780,-0.0785,-0.0170,1.8973,1.9599,1.6503,1.9595,0.4764,0.9814,1.9595,1.1211

110.8790,0.1684,0.1065,2.0208,1.4660,1.7738,2.0830,0.9703,1.0843,2.0830,1.2270

111.8780,-0.0168,0.2299,0.6007,1.4043,1.8973,1.8978,0.5381,0.7756,1.8978,0.9359

112.8790,-0.2019,0.2917,1.8355,2.0216,1.9590,2.0212,0.6616,1.0946,2.0212,1.2270

113.8780,0.6005,-0.0788,1.3416,2.3303,1.5886,1.6508,0.2912,1.0122,1.6508,1.1035

114.8780,0.1067,-0.0788,2.2060,1.8364,2.5765,1.7743,0.3529,1.1666,1.7743,1.2534

115.8780,0.2302,0.6003,2.0825,1.8981,1.3416,2.2064,0.2912,1.0740,2.2064,1.2358

116.8780,0.1684,-0.1405,2.5147,2.0216,1.7121,1.5274,0.4147,1.1152,1.5274,1.1740

117.8780,-0.0785,0.2917,1.7738,2.4538,1.8973,1.6508,0.4764,1.1357,1.6508,1.2093

118.8780,0.2919,-0.2640,1.8355,1.8981,2.0208,0.9717,0.5381,1.0534,0.9717,1.0417

119.8780,0.2302,-0.5109,1.8355,2.0216,1.5886,1.8360,0.4764,0.9402,1.8360,1.0682

120.8790,-0.3254,0.1065,2.0825,1.8981,1.8973,1.4656,0.9086,1.0946,1.4656,1.1476

121.8860,0.6005,0.2917,2.1442,1.6512,2.0208,2.2064,0.6616,1.2283,2.2064,1.3681

122.8780,-0.0168,-0.0788,2.2677,1.9599,1.6503,1.6508,0.4147,1.0328,1.6508,1.1211

123.8780,0.1067,0.2917,2.0208,2.0216,2.0208,1.5891,0.4147,1.1460,1.5891,1.2093

124.8780,0.1684,0.6621,2.0208,1.9599,1.8973,1.7743,0.2912,1.1666,1.7743,1.2534

125.8780,0.0450,0.1065,1.5268,1.8981,1.9590,1.6508,0.5381,1.0123,1.6508,1.1035

