Elapsed Time (s), Rod voltage (V)
1.1860,NaN

2.1130,0.0407

3.1130,0.0407

4.1120,0.0407

5.1130,0.0407

6.1120,0.0407

7.1130,0.0407

8.1130,0.0407

9.1120,0.0407

10.1120,0.0407

11.1120,0.0407

12.1120,0.0407

13.1120,0.0407

14.1120,0.0407

15.1130,0.0407

16.1120,0.0407

17.1120,0.0407

18.1120,0.0407

19.1120,0.0407

20.1120,0.0407

21.1130,0.0407

22.1130,0.0407

23.1120,0.0407

24.1120,0.0407

25.1120,0.0407

26.1120,0.0407

27.1120,0.0407

28.1120,0.0407

29.1120,0.0399

30.1120,0.4180

31.1120,3.4835

32.1130,3.6758

33.1130,3.7050

34.1120,3.7153

35.1120,3.7245

36.1130,3.7323

37.1130,3.7369

38.1120,3.7402

39.1120,3.7424

40.1130,3.7438

41.1130,3.7447

42.1120,3.7467

43.1130,3.7497

44.1130,3.7522

45.1120,3.7549

46.1120,3.7578

47.1120,3.7594

48.1120,3.7591

49.1120,3.7622

50.1120,3.7658

51.1120,3.7683

52.1120,3.7694

53.1120,3.7714

54.1120,3.7723

55.1120,3.7731

56.1120,3.7742

57.1120,3.7755

58.1120,3.7765

59.1120,3.7776

60.1120,3.7787

61.1120,3.7803

62.1120,3.7823

63.1120,3.7833

64.1120,3.7836

65.1120,3.7839

66.1120,3.7849

67.1120,3.7864

68.1120,3.7866

69.1120,3.7868

70.1120,3.7865

71.1130,3.7864

72.1130,3.7871

73.1130,3.7868

74.1120,3.7872

75.1120,3.7873

76.1130,3.7871

77.1120,3.7871

78.1120,3.7679

79.1120,3.7374

80.1120,3.7315

81.1120,3.7358

82.1120,3.7378

83.1120,3.7362

84.1120,3.7200

85.1120,3.7118

86.1130,3.7127

87.1120,3.7138

88.1140,3.7129

89.1120,3.7142

90.1130,3.7141

91.1120,3.7156

92.1130,3.7175

93.1120,3.7194

94.1130,3.7208

95.1130,3.7254

96.1120,3.7288

97.1130,3.7300

98.1130,3.7418

99.1120,3.7454

100.1120,3.7443

101.1120,3.7469

102.1120,4.1565

103.1120,4.9221

104.1130,5.7254

105.1120,6.4714

106.1120,6.6808

107.1120,6.3523

108.1120,5.9357

109.1120,6.6762

110.1120,6.6802

111.1120,6.6819

112.1130,6.5097

113.1120,6.4853

114.1120,6.4875

115.1120,6.4746

116.1130,6.4591

117.1120,6.4476

118.1130,6.4379

119.1120,6.4300

120.1120,6.4234

121.1130,6.4177

122.1120,6.4139

123.1120,6.4087

124.1120,6.4034

125.1120,6.3989

126.1120,6.3946

127.1130,6.3905

128.1120,6.3880

129.1120,6.3869

130.1120,6.3860

131.1130,6.3881

132.1130,5.9997

133.1120,5.1479

134.1120,4.4280

135.1120,3.6983

136.1120,3.1231

137.1120,2.6047

138.1130,0.8185

139.1130,-0.0237

140.1120,-0.0288

141.1120,-0.0227

142.1120,-0.0230

143.1120,-0.0089

144.1120,-0.0193

145.1120,-0.0221

146.1120,-0.0069

147.1120,-0.0446

148.1130,-0.0053

149.1120,-0.0050

150.1120,-0.0361

151.1120,-0.0733

152.1130,-0.0734

153.1120,-0.0728

154.1120,-0.0718

155.1120,-0.0708

156.1120,-0.0698

157.1120,-0.0687

158.1120,-0.0677

159.1120,-0.0667

160.1120,-0.0657

161.1120,-0.0646

162.1130,-0.0636

163.1120,-0.0626

164.1120,-0.0616

165.1120,-0.0607

166.1120,-0.0595

167.1120,-0.0588

168.1120,-0.0580

169.1120,-0.0571

170.1130,-0.0564

171.1130,-0.0556

172.1120,-0.0549

173.1120,-0.0542

174.1120,-0.0535

175.1120,-0.0529

176.1120,-0.0523

