Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9200,27.6666,26.4865,25.1068,24.8352,24.1797,25.2806,24.8645,27.2071,25.6550,26.2438,25.7034

2.3010,27.6647,26.4884,25.0959,24.8352,24.1981,25.3203,24.8706,27.1750,25.6565,26.2477,25.7060

3.3010,27.6641,26.4826,25.0991,24.8336,24.1970,25.3168,24.8804,27.1900,25.6553,26.2534,25.7079

4.3000,27.6456,26.4837,25.1078,24.8649,24.1780,25.3172,24.8574,27.1851,25.6560,26.2512,25.7050

5.3010,27.6771,26.4713,25.1119,24.8251,24.1917,25.3251,24.8705,27.1677,25.6554,26.2464,25.7050

6.3010,27.6577,26.4780,25.1068,24.8370,24.1825,25.3047,24.8706,27.1746,25.6524,26.2396,25.7015

7.3000,27.6544,26.4743,25.1125,24.8380,24.1887,25.3184,24.8650,27.1737,25.6536,26.2461,25.7031

8.3000,27.6378,26.4635,25.1069,24.8447,24.1867,25.3070,24.8688,27.1976,25.6479,26.2523,25.7016

9.3000,27.6592,26.4669,25.1018,24.8585,24.2058,25.3147,24.8661,27.1846,25.6585,26.2496,25.7072

10.3000,27.6670,26.4899,25.1172,24.8650,24.1943,25.3226,24.8598,27.1769,25.6667,26.2497,25.7116

11.3000,27.6628,26.4614,25.1104,24.8568,24.1843,25.3008,24.8865,27.1849,25.6551,26.2428,25.7060

12.3000,27.6438,26.4761,25.1011,24.8408,24.1842,25.2969,24.8738,27.1767,25.6492,26.2368,25.6992

13.3000,27.6348,26.4801,25.0839,24.8359,24.1931,25.3006,24.8727,27.1606,25.6456,26.2306,25.6952

14.3000,27.6750,26.4883,25.0968,24.8223,24.1786,25.3074,24.8568,27.1900,25.6522,26.2487,25.7019

15.3000,27.6574,26.4909,25.1083,24.8457,24.1808,25.3067,24.8735,27.1625,25.6566,26.2346,25.7032

16.3000,27.6361,26.4844,25.0999,24.8245,24.1935,25.2911,24.8595,27.1705,25.6477,26.2308,25.6950

17.3000,27.6493,26.4821,25.0919,24.8198,24.1817,25.2916,24.8779,27.1657,25.6450,26.2287,25.6950

18.3000,27.6436,26.4675,25.0953,24.8346,24.1883,25.3152,24.8700,27.1949,25.6459,26.2550,25.7012

19.3010,27.6559,26.4852,25.0993,24.8532,24.1945,25.3091,24.8617,27.1771,25.6576,26.2431,25.7045

20.3000,27.6356,26.4822,25.1024,24.8393,24.2124,25.3109,24.8700,27.1827,25.6544,26.2468,25.7045

21.3000,27.6753,26.4804,25.0926,24.8361,24.1893,25.3134,24.8734,27.1724,25.6547,26.2429,25.7041

22.3000,27.6579,26.4800,25.1050,24.8381,24.2012,25.3229,24.8664,27.1664,25.6564,26.2446,25.7047

