Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9250,1.0943,1.2177,3.6878,3.5650,3.1939,8.9974,1.8964,2.4425,8.9974,3.3789

2.7620,0.9092,1.1560,3.5643,2.8242,3.5643,9.0591,1.7730,2.2985,9.0591,3.2643

3.7630,0.8474,1.1560,3.7495,3.3798,3.0704,9.1826,1.7112,2.3190,9.1826,3.2996

4.7620,1.0943,1.0942,3.7495,3.1328,2.9469,9.2443,1.6495,2.2779,9.2443,3.2731

5.7620,0.9092,1.3412,3.6878,2.7007,3.0704,9.4295,1.7112,2.2367,9.4295,3.2643

6.7620,0.8474,1.2177,3.4408,3.4415,3.4409,9.2443,1.8964,2.3808,9.2443,3.3613

7.7620,0.6005,1.0942,3.3791,3.1946,3.2556,9.1826,2.8843,2.4014,9.1826,3.3701

8.7620,1.2795,1.3412,3.6878,3.3180,3.3174,9.1826,1.8347,2.4631,9.1826,3.4230

9.7630,0.8474,0.8473,3.6878,4.3058,3.3791,9.0591,1.8964,2.4940,9.0591,3.4318

10.7620,1.2178,1.2177,3.2556,3.1328,3.3791,8.9974,1.8964,2.3499,8.9974,3.2996

11.7620,0.8474,0.9708,3.5643,3.0094,3.2556,9.1826,1.8964,2.2573,9.1826,3.2466

12.7620,1.3412,0.3534,3.8730,2.8859,3.0087,9.2443,1.7730,2.2059,9.2443,3.2114

13.7620,0.5388,1.2794,3.6260,3.6267,3.5026,9.5530,1.7112,2.3808,9.5530,3.4054

14.7620,0.9092,1.2177,3.5643,2.8859,3.1321,9.2443,1.9582,2.2779,9.2443,3.2731

15.7620,1.4647,1.1560,3.3791,3.1946,3.1939,9.2443,2.0199,2.4014,9.2443,3.3789

16.7620,0.9709,1.4029,3.9965,3.5033,3.1939,8.2565,2.2669,2.5557,8.2565,3.3701

17.7630,0.7857,1.2177,2.6999,3.6885,3.0087,8.9356,1.8347,2.2059,8.9356,3.1673

18.7620,0.7857,1.4647,3.3173,3.6885,3.3791,8.9974,1.3408,2.3293,8.9974,3.2819

19.7620,0.6622,0.9090,3.6878,3.2563,3.1939,9.1208,2.3286,2.3396,9.1208,3.3084

20.7620,0.5388,1.2794,3.3173,1.9599,3.7496,8.8739,2.0817,2.1544,8.8739,3.1144

21.7620,1.3412,1.2177,3.1938,3.1946,3.3174,9.3061,1.4643,2.2882,9.3061,3.2907

22.7620,0.9709,0.6621,3.0704,3.8737,3.1321,9.3678,1.1555,2.1441,9.3678,3.1761

23.7620,0.8474,1.3412,3.0086,3.3798,4.3670,9.2443,1.8964,2.4734,9.2443,3.4407

24.7620,0.5388,1.1560,3.6260,3.6267,3.3791,8.8739,2.5756,2.4837,8.8739,3.3966

25.7620,0.7857,1.2794,3.1938,3.1946,3.0087,9.2443,2.0199,2.2470,9.2443,3.2466

26.7620,0.9709,0.8473,3.6260,3.3180,3.5026,9.4295,1.8964,2.3602,9.4295,3.3701

27.7620,0.6622,1.4647,3.3173,3.8119,4.1200,8.6270,2.0817,2.5763,8.6270,3.4407

28.7620,1.1561,1.2177,3.5643,3.3798,3.6261,2.3917,1.1555,2.3499,2.3917,2.3559

29.7630,0.9092,1.0325,3.5643,3.4415,3.6878,3.4412,1.7730,2.4014,3.4412,2.5499

30.7630,1.2795,1.4029,3.1938,3.1946,3.5643,4.3672,2.1434,2.4631,4.3672,2.7351

31.7630,1.0943,1.3412,4.3669,3.5033,3.1321,3.6264,2.0199,2.5763,3.6264,2.7263

32.7620,1.2795,0.6003,3.4408,3.5650,3.3174,3.2560,1.7730,2.3293,3.2560,2.4617

33.7620,0.9709,1.2177,3.2556,3.2563,3.2556,4.3055,2.0199,2.3293,4.3055,2.6116

34.7630,0.7857,0.9090,3.9965,3.3180,3.0087,3.0707,1.8347,2.3088,3.0707,2.4176

35.7620,1.0326,1.1560,3.4408,3.3180,3.1321,3.2560,1.4025,2.2470,3.2560,2.3911

36.7620,0.9709,1.1560,3.9965,3.0711,2.9469,3.3794,2.2669,2.4014,3.3794,2.5411

37.7620,1.0943,1.3412,3.2556,3.5650,2.4530,2.8855,1.9582,2.2779,2.8855,2.3647

38.7620,0.6622,1.1560,3.4408,3.1328,3.0087,3.1942,2.1434,2.2573,3.1942,2.3912

39.7630,1.0326,0.9708,3.6260,3.1328,3.0087,3.0707,1.7112,2.2470,3.0707,2.3647

40.7630,0.7240,1.2177,3.3791,3.3798,3.3174,3.0707,1.9582,2.3293,3.0707,2.4353

41.7620,0.6005,1.2177,3.3791,2.8859,3.5026,3.3794,1.8347,2.2367,3.3794,2.4000

42.7620,1.0326,1.2794,3.4408,3.1328,3.5026,3.1325,1.6495,2.3396,3.1325,2.4529

43.7620,0.9092,0.9090,3.3173,3.2563,3.5026,3.1325,2.2669,2.3602,3.1325,2.4705

44.7620,0.8474,0.9090,3.5025,3.4415,2.6999,3.1325,1.5877,2.1647,3.1325,2.3030

45.7630,0.6622,0.9708,3.4408,3.3180,3.3174,3.1325,1.8964,2.2676,3.1325,2.3912

46.7620,0.8474,0.9708,2.8851,3.1946,3.3791,3.1325,1.8347,2.1853,3.1325,2.3206

47.7630,0.6622,1.2794,3.6878,3.5650,3.1939,3.0707,1.5260,2.3191,3.0707,2.4264

48.7620,1.0943,1.0942,3.3173,3.3798,3.1321,2.8855,1.5877,2.2676,2.8855,2.3559

49.7620,0.9092,0.7856,3.1321,3.0094,3.3174,3.0090,1.6495,2.1338,3.0090,2.2589

50.7630,0.7240,2.1438,3.5643,3.3798,3.1939,2.8855,1.6495,2.4425,2.8855,2.5058

51.7620,0.6622,0.7856,4.8608,3.2563,3.1939,2.7003,1.8964,2.4425,2.7003,2.4794

52.7630,1.0943,1.1560,3.5643,3.3180,3.0704,2.4534,2.0817,2.3808,2.4534,2.3912

53.7620,0.6622,1.3412,3.5025,3.1946,3.3791,3.8733,2.0817,2.3602,3.8733,2.5764

54.7620,0.7240,0.9708,3.5025,3.1328,3.4409,2.5151,1.6495,2.2367,2.5151,2.2765

55.7620,1.0943,1.3412,3.2556,3.5033,3.3174,2.2064,2.0817,2.4322,2.2064,2.4000

56.7620,0.7857,0.9708,3.2556,3.0094,3.1939,2.3917,2.2051,2.2367,2.3917,2.2589

57.7630,0.7240,0.8473,3.5643,3.0094,3.5643,1.9595,2.3904,2.3499,1.9595,2.2942

